Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分01秒   999    141048   51.00   17.00    0.00    0.00   68.00     0     54.00      0.00 2672852  119072   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分02秒   999    141048  170.00   40.00    0.00    0.00  210.00     0  46720.00      0.00 2708892  148012   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分03秒   999    141048  173.00   39.00    0.00    0.00  212.00     0  78389.00      0.00 2716596  150116   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分04秒   999    141048  159.00   45.00    0.00    0.00  204.00     0  82907.00      0.00 2713548  147696   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分05秒   999    141048  161.00   45.00    0.00    0.00  206.00     0  78298.00      0.00 2713732  149192   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分06秒   999    141048  166.00   39.00    0.00    0.00  205.00     0  80388.00      0.00 2732644  161112   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分07秒   999    141048  168.00   38.00    0.00    0.00  206.00     0  75465.00      0.00 2726448  157868   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分08秒   999    141048  157.00   42.00    0.00    0.00  199.00     0  82858.00      0.00 2722860  155004   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分09秒   999    141048  163.00   44.00    0.00    0.00  207.00     0  79529.00      0.00 2720212  153164   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分10秒   999    141048  165.00   41.00    0.00    0.00  206.00     0  80426.00      0.00 2725872  157912   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分11秒   999    141048  168.00   43.00    0.00    0.00  211.00     0  82922.00      0.00 2728788  158420   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分12秒   999    141048  167.00   39.00    0.00    0.00  206.00     0  78796.00      0.00 2722396  154836   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分13秒   999    141048  158.00   43.00    0.00    0.00  201.00     0  79310.00      0.00 2728924  157920   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分14秒   999    141048  169.00   42.00    0.00    0.00  211.00     0  80090.00      0.00 2726588  159048   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分15秒   999    141048  163.00   46.00    0.00    0.00  209.00     0  85237.00      0.00 2729084  157048   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分16秒   999    141048  167.00   39.00    0.00    0.00  206.00     0  82157.00      0.00 2734168  163704   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
20时07分17秒   999    141048  168.00   37.00    0.00    0.00  205.00     0  81804.00      0.00 2722760  156000   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
