id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.003,32360,,32034,0,31736,158,7640,11587,20134,22597,93,1213,3007,6924,11802
warmup,2.000,57204,,57030,0,57507,1452,5593,16147,27655,35768,333,7517,8340,11989,14231
warmup,3.000,66292,,66389,0,66085,2283,4787,5442,6934,8321,1637,7246,7888,8921,10179
warmup,4.000,66616,,66519,0,66763,2594,4632,5158,6002,8998,482,7305,7849,8684,9384
warmup,5.000,66577,,66601,0,66649,2327,4651,5245,6297,7188,1459,7227,7873,8908,9708
warmup,6.000,65881,,65857,0,65960,2144,4636,5189,6624,12824,1521,7310,7966,8832,9429
warmup,7.000,65080,,65081,0,65062,2227,4815,5390,6435,6997,3069,7457,8108,9124,9656
warmup,8.000,65061,,65061,0,64840,658,4671,5284,6287,8227,390,7353,8008,9184,10213
warmup,9.000,63054,,63053,0,63260,2557,4644,5118,6030,6745,491,7638,8429,9547,10260
warmup,10.000,64122,,64123,0,63991,2237,4776,5372,6564,7338,2296,7588,8234,9268,10180
warmup,11.000,62003,,62007,0,62126,2424,4784,5373,6688,8362,2595,7932,8849,9680,10318
warmup,12.000,64004,,63999,0,63972,2937,4709,5222,6303,7081,3204,7529,8330,9318,9899
warmup,13.000,61749,,61749,0,61757,1635,4772,5309,6231,7656,539,7868,8717,9597,10297
warmup,14.000,62906,,62920,0,62849,2337,4825,5372,6529,7103,3876,7796,8569,9519,10167
warmup,15.000,64681,,64684,0,64778,2152,4709,5222,6081,7000,4136,7551,8172,9010,9567
warmup,16.000,63516,,63553,0,63462,2886,4701,5294,6321,6830,3151,7728,8384,9457,10334
warmup,17.000,64441,,64412,0,64470,2161,4692,5185,6129,7085,3857,7483,8239,9225,9910
warmup,18.000,63672,,63647,0,63615,1784,4754,5468,6640,7283,3322,7611,8321,9245,10042
warmup,19.000,64214,,64258,0,64169,2271,4770,5274,6506,8145,3947,7486,8283,9353,10185
warmup,20.000,60519,,60475,0,60655,3053,4802,5297,6053,6926,4425,7987,8840,9760,10481
warmup,21.000,64470,,64622,0,64479,2856,4741,5273,6139,6667,3629,7617,8245,9279,9881
warmup,22.000,63556,,63404,0,63507,2768,4841,5442,6896,8006,3482,7639,8415,9358,9960
warmup,23.000,63986,,63990,0,63991,2373,4803,5417,7048,7967,2988,7600,8404,9375,10044
warmup,24.000,64866,,64864,0,64861,2435,4724,5281,6229,6973,3381,7464,8113,9166,9708
warmup,25.000,65511,,65552,0,65499,2277,4673,5186,6168,7696,4292,7453,8107,8920,9246
warmup,26.000,65931,,65946,0,65858,2908,4593,5136,6061,6839,4051,7400,7957,8809,9423
warmup,27.000,66307,,66253,0,66338,2771,4594,5152,6083,7016,4082,7327,7933,8861,9436
warmup,28.000,65299,,65295,0,65364,1986,4583,5165,6092,6555,4148,7438,8053,8973,9500
warmup,29.000,64842,,64889,0,64865,2750,4808,5398,6365,7284,3391,7466,8155,9253,9833
warmup,30.000,66169,,66124,0,66165,2807,4739,5300,6329,7217,4437,7287,8069,9060,9658
