id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.001,51270,,47311,0,37264,450,68164,117266,357137,404134,542,45697,68834,101529,119587
calibration,2.001,52227,,52190,0,46048,33490,315907,431996,806269,905952,4916,62369,96688,139169,158009
calibration,3.001,54337,,54375,0,50579,66908,374235,546250,960840,1009425,4393,66693,92245,139607,166528
calibration,4.001,53156,,53118,0,51068,13000,394770,749188,980385,1012223,9129,59362,88340,154771,245019
calibration,5.001,53158,,53158,0,50533,11325,447722,794093,913021,1002381,9016,67766,91350,165494,217953
calibration,6.001,54942,,54942,0,48016,19167,525400,742391,1207101,1302291,10528,64505,88150,152741,173253
calibration,7.001,47147,,47147,0,57526,35486,479255,787988,1126865,1198061,5621,68880,97917,172883,203541
calibration,8.001,53268,,53654,0,49705,46184,518206,767058,1249681,1288147,4985,59706,94534,141341,170158
calibration,9.001,54640,,54254,0,48541,8434,495842,880274,1401016,1476984,6432,61926,93566,147387,196818
calibration,10.001,53763,,53763,0,48406,14409,648842,942100,1386745,1506153,3046,61297,96848,148392,170713
calibration,11.001,51870,,51870,0,51506,3000,548743,1165515,1573858,1664781,3105,63845,95558,145640,197837
calibration,12.001,54767,,55446,0,49093,7137,479688,1274242,1784747,1822599,4277,64254,93123,127975,171806
calibration,13.001,52896,,52217,0,49903,37955,674173,1380672,1967275,2038203,6156,62064,89729,153005,236812
calibration,14.001,54793,,55006,0,47886,9394,782843,1532436,2039996,2185354,2332,60837,89452,137824,180587
calibration,15.001,53983,,53792,0,47300,113688,1023576,1650128,2175938,2277749,3281,64202,95663,147489,176143
calibration,16.001,50713,,50692,0,51988,188866,1107061,1419119,2340145,2377682,5004,65703,103390,154047,181510
calibration,17.001,53898,,53898,0,50303,17981,1266937,1426999,2464832,2517867,5650,62080,93599,167121,304735
calibration,18.001,53172,,53172,0,48883,30033,1326727,1486442,2642317,2697891,8571,63513,88839,151241,196478
calibration,19.001,48358,,48403,0,55261,134509,1252698,1426273,2762897,2819137,5748,65414,93628,175648,220502
calibration,20.001,51881,,51836,0,51105,161717,1131640,1568585,2864757,2910862,3951,68658,97561,149047,237538
calibration,21.001,55164,,55520,0,47641,286574,1095694,1561518,2997984,3043133,2950,61561,93898,144760,191546
calibration,22.001,50619,,50263,0,52712,474703,1281547,1682910,2932447,2963869,4449,59041,93611,163560,193714
calibration,23.001,51926,,51926,0,51093,562826,1332232,1684000,2861379,2999756,5473,66606,88346,141367,208693
calibration,24.001,55353,,55783,0,48202,618153,1259715,1460974,2648599,2866739,8391,59111,80313,180357,240249
calibration,25.001,53369,,52938,0,50755,749402,1137024,1676150,2682756,2757835,5336,59892,92831,156112,180272
calibration,26.001,50082,,50122,0,52703,587128,1178693,1937086,2813663,2844697,6601,64096,101688,183181,207733
calibration,27.001,50495,,50891,0,50789,349027,1217100,2313405,2816514,2871798,5818,65825,102759,172489,198879
calibration,28.001,48780,,48344,0,51710,472420,1220582,2071171,2812905,2893422,6083,61583,99871,172873,233755
calibration,29.001,50070,,50070,0,54034,125155,1131002,2206006,2828789,2917535,3190,66609,109406,156245,230749
calibration,30.000,51635,,51635,0,52624,18320,1210683,2264315,2835731,2900585,2760,61495,98296,154125,219060
calibration,31.001,50463,,50970,0,51716,58701,976523,2404853,2610263,2662484,4774,67051,105474,147137,189589
calibration,32.001,46685,,46178,0,54960,19259,910443,1821507,2759482,2832373,3392,70527,99742,174252,200352
calibration,33.001,51624,,51984,0,52855,20739,941285,1600122,2892104,3019974,3275,62732,103534,167711,242190
calibration,34.001,49404,,49044,0,54379,14461,922123,2410835,3062724,3151243,5076,66148,97327,184705,237265
calibration,35.001,57405,,57710,0,46707,46627,520589,1503494,2957180,3085360,4486,60463,82709,130553,149242
calibration,36.001,52938,,52633,0,50419,5335,597393,2479369,3128583,3234105,2558,66050,93450,164219,189050
calibration,37.001,53191,,53713,0,49388,15140,820789,2579266,3309743,3366679,2847,64145,103490,159431,198490
calibration,38.001,51289,,50851,0,51004,35477,1096021,2089418,3273094,3339523,4885,69187,100013,156435,193218
calibration,39.001,53107,,53022,0,51854,9947,961709,1957928,3231548,3277708,2639,59547,94763,165867,216668
calibration,40.001,52156,,52156,0,51849,20941,1106593,2981753,3204983,3260545,2415,65906,95751,185758,221561
calibration,41.001,51808,,52059,0,51933,42538,1002904,1807273,3364810,3519645,2913,59857,85994,165208,214700
calibration,42.001,54083,,53831,0,47669,5695,1095380,1766077,3489276,3553181,3101,63286,102144,145794,212636
calibration,43.001,56385,,56553,0,46807,11079,1221772,2090218,3572926,3656289,7389,60261,81599,141841,184830
calibration,44.001,51301,,51133,0,52035,28845,1204779,3064303,3677573,3735630,3726,66820,100467,141417,216854
calibration,45.001,52436,,52892,0,50780,10232,1683199,2239279,3574469,3631942,3095,65204,100180,152064,189118
calibration,46.001,48044,,47588,0,55011,54936,1364291,2268543,3785550,3876640,2740,69252,102271,156793,224631
calibration,47.001,53783,,54038,0,47018,88058,1289207,2143071,3990176,4041044,7047,62203,86435,142049,221079
calibration,48.001,49411,,50373,0,53571,132772,1817656,2905256,4003208,4051657,3254,76084,110305,168918,207654
calibration,49.001,52240,,51022,0,49496,118301,1868579,2964156,4113436,4202163,8238,69797,96410,134435,193313
calibration,50.001,50876,,50876,0,50345,14320,1485768,2250709,4031215,4188397,5979,67305,103658,163428,188260
calibration,51.001,55187,,55187,0,46068,97268,1578540,2165869,4064294,4193244,6998,61877,94997,145819,189070
calibration,52.001,52804,,52817,0,50863,132722,1716839,1903068,4269052,4447459,4938,63962,99934,163233,214103
calibration,53.001,50523,,50780,0,53096,7305,1786911,3413352,4296728,4364217,7746,61916,92739,191814,223658
calibration,54.001,53153,,52975,0,51769,1624,1764468,1954648,4438661,4493249,8268,69275,96739,161639,198066
calibration,55.001,52845,,52775,0,49799,1370,1825703,3418985,4488244,4557642,4014,64899,94939,158492,192723
calibration,56.001,56480,,56548,0,45116,184420,1908026,2430118,4621953,4702129,4718,63347,91781,142914,171288
calibration,57.001,53529,,53508,0,47681,240531,2247639,3526224,4660008,4710513,13125,59990,94351,158905,214827
calibration,58.001,57346,,57442,0,44012,321073,2335531,2748132,4272465,4392147,3188,55581,89459,162816,213752
calibration,59.001,50114,,49961,0,52485,680955,2376676,2899954,4318749,4356101,8319,64737,103329,162972,229431
calibration,60.001,47639,,47626,0,55591,568680,2831691,3070858,4169332,4247220,3836,67324,118443,196614,221596
calibration,61.001,49509,,49698,0,52275,202633,2748291,3037581,4119613,4208113,8077,67578,97574,156476,215818
calibration,62.001,52499,,52502,0,49917,113418,2638108,2930640,4387883,4486928,1765,66062,100388,164052,208479
calibration,63.001,49640,,49868,0,52119,261525,2389193,2858500,4479316,4508583,3901,67446,109070,165215,194400
calibration,64.001,51793,,51984,0,49785,403321,2406521,4264492,4461285,4517493,3315,59449,101511,181289,196467
calibration,65.001,53620,,53019,0,48010,375141,2446080,2563811,4688802,4716915,6321,63954,90665,146754,195882
calibration,66.001,51760,,51930,0,49879,416872,2460845,4426848,4645118,4699109,4909,63365,90293,143484,207583
calibration,67.001,48138,,47957,0,54710,406473,2221166,4225226,4506889,4554441,3572,70499,105250,174318,233432
calibration,68.001,46759,,46759,0,56159,120763,2248759,2934328,4358302,4438527,1994,71034,110718,173430,228253
calibration,69.001,50604,,50604,0,54111,37631,1973424,3003696,4295173,4411122,9291,69270,100855,167626,193764
calibration,70.001,52793,,52793,0,49717,14309,1959484,4286241,4423149,4567174,6814,66520,95927,137573,197866
calibration,71.001,53715,,54391,0,49194,49518,2091416,4128404,4469096,4665296,7989,61462,90285,154336,198133
calibration,72.001,56899,,56445,0,44784,177412,2076616,4254461,4877502,4930464,3452,60535,84189,136808,148870
calibration,73.001,54559,,54338,0,47901,432761,2122305,3043995,4562900,4862672,4577,67199,96044,154061,215760
calibration,74.001,53050,,53050,0,47711,463244,2238967,3187356,4749087,4820628,8613,58532,94956,164294,300178
calibration,75.001,51059,,51525,0,51177,460884,2371268,4391638,4663507,4784743,6161,67264,97154,197111,223058
calibration,76.001,52510,,52153,0,50486,488849,2373192,3533046,4787898,4855228,6243,60402,97066,152080,165110
calibration,77.001,51974,,51936,0,51582,330031,2570926,4419079,4907114,4963620,5645,64652,106686,150088,225939
calibration,78.001,51745,,52174,0,51039,377330,2561116,4321247,5171465,5236361,9073,62168,95823,147567,257867
