4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12538.49          ---          ---         0.72609         0.71100         0.75100         1.41500         1.47100     13050.82 
Gets       125382.10    125382.10         0.00         0.72472         0.71100         0.75100         1.41500         1.46300    129893.06 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     137920.59    125382.10         0.00         0.72485         0.71100         0.75100         1.41500         1.46300    142943.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.151        0.000
SET       0.687        5.000
SET       0.695       10.000
SET       0.695       15.000
SET       0.703       20.000
SET       0.703       25.000
SET       0.703       30.000
SET       0.703       35.000
SET       0.703       40.000
SET       0.711       45.000
SET       0.711       50.000
SET       0.711       52.500
SET       0.711       55.000
SET       0.711       57.500
SET       0.711       60.000
SET       0.711       62.500
SET       0.711       65.000
SET       0.711       67.500
SET       0.719       70.000
SET       0.719       72.500
SET       0.719       75.000
SET       0.719       76.250
SET       0.719       77.500
SET       0.719       78.750
SET       0.719       80.000
SET       0.719       81.250
SET       0.719       82.500
SET       0.719       83.750
SET       0.727       85.000
SET       0.727       86.250
SET       0.727       87.500
SET       0.727       88.125
SET       0.727       88.750
SET       0.727       89.375
SET       0.727       90.000
SET       0.727       90.625
SET       0.727       91.250
SET       0.735       91.875
SET       0.735       92.500
SET       0.735       93.125
SET       0.743       93.750
SET       0.743       94.062
SET       0.743       94.375
SET       0.751       94.688
SET       0.751       95.000
SET       0.759       95.312
SET       0.767       95.625
SET       0.783       95.938
SET       0.815       96.250
SET       0.831       96.562
SET       0.863       96.875
SET       0.935       97.031
SET       0.967       97.188
SET       0.983       97.344
SET       1.127       97.500
SET       1.367       97.656
SET       1.383       97.812
SET       1.391       97.969
SET       1.399       98.125
SET       1.399       98.281
SET       1.407       98.438
SET       1.407       98.516
SET       1.407       98.594
SET       1.407       98.672
SET       1.415       98.750
SET       1.415       98.828
SET       1.415       98.906
SET       1.415       98.984
SET       1.423       99.062
SET       1.423       99.141
SET       1.423       99.219
SET       1.423       99.258
SET       1.423       99.297
SET       1.423       99.336
SET       1.431       99.375
SET       1.431       99.414
SET       1.431       99.453
SET       1.431       99.492
SET       1.431       99.531
SET       1.431       99.570
SET       1.439       99.609
SET       1.439       99.629
SET       1.439       99.648
SET       1.439       99.668
SET       1.439       99.688
SET       1.439       99.707
SET       1.447       99.727
SET       1.447       99.746
SET       1.447       99.766
SET       1.447       99.785
SET       1.447       99.805
SET       1.455       99.814
SET       1.455       99.824
SET       1.455       99.834
SET       1.455       99.844
SET       1.455       99.854
SET       1.455       99.863
SET       1.463       99.873
SET       1.463       99.883
SET       1.463       99.893
SET       1.471       99.902
SET       1.471       99.907
SET       1.479       99.912
SET       1.479       99.917
SET       1.479       99.922
SET       1.487       99.927
SET       1.495       99.932
SET       1.495       99.937
SET       1.503       99.941
SET       1.511       99.946
SET       1.519       99.951
SET       1.519       99.954
SET       1.527       99.956
SET       1.527       99.958
SET       1.527       99.961
SET       1.535       99.963
SET       1.535       99.966
SET       1.543       99.968
SET       1.543       99.971
SET       1.551       99.973
SET       1.551       99.976
SET       1.551       99.977
SET       1.559       99.978
SET       1.559       99.979
SET       1.559       99.980
SET       1.567       99.982
SET       1.567       99.983
SET       1.575       99.984
SET       1.583       99.985
SET       1.591       99.987
SET       1.615       99.988
SET       1.623       99.988
SET       1.639       99.989
SET       1.671       99.990
SET       1.711       99.990
SET       1.759       99.991
SET       1.823       99.991
SET       1.911       99.992
SET       1.927       99.993
SET       1.943       99.993
SET       1.967       99.994
SET       2.007       99.994
SET       2.047       99.995
SET       2.079       99.995
SET       2.111       99.995
SET       2.175       99.995
SET       2.207       99.996
SET       2.367       99.996
SET       2.655       99.996
SET       2.943       99.997
SET       3.375       99.997
SET       3.663       99.997
SET       3.743       99.997
SET       3.791       99.997
SET       3.839       99.998
SET       3.935       99.998
SET       4.031       99.998
SET       4.511       99.998
SET       4.831       99.998
SET       6.335       99.998
SET       7.455       99.998
SET       7.455       99.999
SET       7.455       99.999
SET       7.487       99.999
SET       7.775       99.999
SET       7.775       99.999
SET       7.775       99.999
SET       7.807       99.999
SET       7.807       99.999
SET       7.871       99.999
SET       7.871       99.999
SET       7.871       99.999
SET       7.903       99.999
SET       7.903       99.999
SET       7.903       99.999
SET       7.903       99.999
SET       7.903       99.999
SET       7.935      100.000
