id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,33580,,33080,0,32669,232,9293,16791,30976,32990,105,2130,5257,9982,15414
warmup,2.001,57794,,57794,0,58231,481,6803,9549,49433,55378,172,7307,8247,10397,18157
warmup,3.001,63096,,63096,0,63225,2442,5350,6147,7854,9099,3185,7522,8289,9480,10302
warmup,4.001,61889,,61889,0,61894,2303,5303,6007,7294,8248,2796,7899,8686,9748,10573
warmup,5.001,61319,,61346,0,61382,2391,5430,6410,8287,9611,721,7805,8780,10070,10961
warmup,6.001,60143,,60116,0,60067,1620,5237,5972,7340,8331,2300,8160,8881,9986,10453
warmup,7.001,61555,,61555,0,61608,2683,5347,6306,7983,9202,2544,7862,8803,9818,10556
warmup,8.001,61798,,61808,0,61665,2936,5055,5655,7029,7931,4082,7919,8724,9701,10360
warmup,9.001,61213,,61203,0,61258,2408,5333,6273,7915,8997,401,7823,8713,9892,10589
warmup,10.001,61892,,61954,0,61982,1389,5218,5882,7218,8173,361,7798,8593,9841,10460
warmup,11.001,62548,,62553,0,62596,2673,5451,6405,7928,9157,1192,7767,8500,9569,10321
warmup,12.001,64400,,64333,0,64482,2623,5100,5905,7274,8510,315,7514,8227,9234,10132
warmup,13.001,59077,,59087,0,58929,2328,5238,5885,7518,8747,829,8202,9207,10198,10902
warmup,14.001,62224,,62214,0,62268,2761,5103,5792,7181,8044,1318,7695,8605,9864,10459
warmup,15.001,63619,,63619,0,63478,2927,5191,6010,7643,8888,3036,7658,8375,9407,10135
warmup,16.001,62741,,62741,0,62853,2581,5279,6089,7994,8744,3904,7720,8404,9517,11120
warmup,17.001,62323,,62323,0,62191,2158,5134,5821,6710,7508,4345,7813,8485,9631,10468
warmup,18.001,61702,,61702,0,61834,1846,5048,5619,6791,7851,4677,7873,8583,9561,10357
warmup,19.001,63973,,63974,0,63991,2640,5025,5833,7002,8117,2937,7537,8283,9200,9988
warmup,20.001,64668,,64667,0,64681,2428,5124,5711,6639,7417,4015,7498,8212,9228,9808
warmup,21.001,62195,,62195,0,62025,2074,5320,6123,7411,8777,2500,7847,8718,9595,10077
warmup,22.001,61285,,61330,0,61441,2904,5127,5806,6915,7624,3613,7974,8795,9936,10867
warmup,23.001,63884,,63839,0,63803,2485,5078,5718,6997,9630,3575,7606,8330,9399,10025
warmup,24.001,62948,,62951,0,63044,2910,5263,6113,7336,8406,3309,7752,8425,9605,10332
warmup,25.001,63399,,63468,0,63376,2528,5145,5802,7489,8299,3077,7670,8349,9617,10306
warmup,26.001,61551,,61479,0,61579,3037,5109,5677,7135,8032,4578,7937,8642,9816,10189
warmup,27.001,62467,,62473,0,62393,2848,5094,5664,6836,7740,3649,7637,8379,9619,13599
warmup,28.001,63919,,63913,0,63805,1994,5318,6044,7609,9248,3109,7531,8264,9463,10172
warmup,29.001,63264,,63320,0,63247,2557,5122,5843,7159,8331,3776,7746,8412,9452,10132
warmup,30.001,64022,,63989,0,64158,2451,5034,5629,7094,8068,3568,7411,8145,9460,10088
warmup,31.001,63512,,63489,0,63486,2686,5428,6448,7993,9852,3482,7674,8359,9517,10358
warmup,32.001,63364,,63363,0,63349,1902,4927,5531,6394,7249,3770,7574,8376,9422,9997
warmup,33.001,63736,,63736,0,63673,381,5186,5874,6864,8320,115,7479,8168,9139,9747
