id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.004,48847,,45692,0,36114,566,107251,200616,285939,374290,327,47544,72099,109366,134451
calibration,2.002,50017,,49765,0,47640,23168,206836,299974,489100,582278,4998,67097,94087,145332,185264
calibration,3.000,50482,,50022,0,45639,15300,308788,456477,616868,696616,4069,67479,92788,131984,166496
calibration,4.000,49648,,49523,0,49503,8555,410624,605614,804055,905874,3948,71259,98283,153868,207910
calibration,5.000,53776,,53896,0,45378,53520,468237,596161,845324,914497,2418,59960,84486,147587,176827
calibration,6.000,48916,,48796,0,50647,74761,488696,728175,1006730,1140636,3139,68840,99859,168313,218432
calibration,7.000,53434,,53771,0,46651,8651,490087,766177,1194337,1229417,7368,63169,86608,135649,176077
calibration,8.000,52288,,52199,0,48632,64151,578044,1210840,1351178,1402141,4411,65967,95499,142878,190615
calibration,9.000,48849,,48601,0,50661,49736,577543,798188,1598310,1669268,4445,76833,106918,155748,176825
calibration,10.000,51364,,51541,0,50401,8626,353114,691429,1760489,2057240,4674,66007,92547,155470,187654
calibration,11.000,50381,,50216,0,50636,109618,575357,782599,2160279,2213648,9225,68801,95895,155999,171815
calibration,12.000,52130,,52118,0,47473,166451,517033,1335261,2065091,2129592,2507,66595,97641,145760,163845
calibration,13.000,47421,,47421,0,53623,19192,536425,719454,1951266,2000724,2626,67832,105516,188620,234233
calibration,14.000,51501,,51576,0,47769,74787,551814,814163,2095061,2127207,10233,64406,86766,156224,185796
calibration,15.000,52506,,52431,0,48627,208340,632864,928921,2066530,2151128,14895,62113,96002,163250,192776
calibration,16.000,53013,,53312,0,47658,219902,663307,789527,2311364,2368758,5419,68206,89460,150329,198367
calibration,17.000,52530,,52326,0,48380,170732,904038,1383986,2299667,2377494,14830,66373,90738,155714,183761
calibration,18.000,50997,,51277,0,48480,129715,856019,1345649,2379066,2424350,6452,70209,103456,146843,187860
calibration,19.000,54526,,54152,0,44815,168273,898067,1413691,2569464,2732688,2659,56774,87347,156207,181959
calibration,20.000,51217,,51217,0,49410,189024,1135819,1481510,2792189,2879692,3052,64694,95138,138384,226402
calibration,21.000,54494,,54494,0,44777,134001,1014122,1639908,3111343,3407624,6423,63145,87615,137478,223731
calibration,22.000,49344,,49470,0,50984,351694,1074580,1775220,3400829,3441382,6076,70426,106743,159146,223207
calibration,23.000,54039,,53912,0,44265,374783,1263376,1871611,3617429,3718753,7194,58181,94338,148055,230072
calibration,24.000,51668,,51668,0,47560,227103,1588306,2369255,3641303,3702442,6603,64639,98830,153427,180855
calibration,25.000,47206,,47599,0,53036,14846,1596692,2016053,3593687,3642495,7610,74145,115551,160054,201143
calibration,26.000,53342,,52949,0,46370,54142,1594244,1916100,3574611,3819696,2025,62014,86906,155273,194322
calibration,27.000,51281,,51281,0,51050,49476,1668332,1912157,3997470,4085423,5167,72054,98031,169712,190035
calibration,28.000,50323,,50534,0,48737,106776,1820589,2264464,4077037,4109378,12205,65909,98384,165291,210435
calibration,29.000,50602,,50391,0,49452,215410,2133635,2345420,4131212,4287035,3333,62681,98809,174854,211341
calibration,30.000,52456,,52592,0,48612,14270,2113967,2471532,4336614,4396526,3256,66493,98402,153232,194898
calibration,31.000,51525,,51389,0,47100,20387,2178487,2688975,4408377,4551000,5377,63787,94889,163546,180168
calibration,32.000,46036,,46257,0,52693,195799,2216036,2720635,4101672,4215127,5751,79800,112817,162572,186359
calibration,33.000,55090,,54869,0,46205,223645,2259069,2866685,3860100,4011097,4090,62710,90388,140960,187029
calibration,34.000,53253,,53294,0,47116,460953,2201030,3021639,3847927,3913007,6996,65958,89708,147200,184780
calibration,35.000,50312,,50280,0,49226,621519,2082114,3052342,3873910,3938547,5455,64139,101613,165294,195300
calibration,36.000,46867,,47242,0,52668,703854,2116600,3065251,3625487,3751144,5341,72191,109996,183733,246597
calibration,37.000,46916,,46752,0,52713,152911,2376707,2879364,3307785,3395321,4776,77415,113221,176402,212659
calibration,38.000,48376,,48591,0,51873,90983,2207216,2777367,3346781,3432018,8335,71944,99876,163589,209686
calibration,39.000,48994,,49058,0,48577,7495,2247115,2583974,3409105,3473604,3740,74767,98840,146986,221556
calibration,40.000,49219,,48914,0,49437,98776,2203511,2569020,3009289,3150833,3294,67107,98069,157991,204473
calibration,41.000,53035,,52840,0,45932,20265,2303923,2665629,3059822,3106904,2996,61102,95801,159031,193794
calibration,42.001,49221,,49495,0,52256,100168,2265166,2640062,2938767,3026836,7739,71385,96453,170493,191933
calibration,43.000,48646,,48392,0,51067,12896,2162557,2482339,2870100,2937526,11247,69862,99643,152380,171181
calibration,44.000,56202,,56472,0,44090,4535,2189261,2640011,2958508,3019236,6129,57763,86893,140882,191799
calibration,45.000,53446,,53259,0,45838,87184,2163256,2844941,3045602,3091941,6882,64640,93568,152011,211278
calibration,46.000,51195,,51138,0,50204,6882,2125902,2812334,3008572,3081468,4030,64321,101960,177801,201646
calibration,47.000,49942,,50093,0,50143,22092,2273488,2924504,3332911,3394556,6670,68790,108758,175310,211444
calibration,48.000,52458,,52467,0,48043,221350,2662173,2948460,3398045,3454551,6038,59653,96422,165935,189139
calibration,49.000,53773,,53567,0,44772,697194,2646029,2916485,3688600,3803746,4815,60820,88121,162501,227341
calibration,50.000,47261,,47699,0,52302,757229,2583395,2906819,3594171,3732842,5564,66727,108701,180061,221508
calibration,51.000,51599,,51464,0,48487,475540,2571443,2905036,3620058,3746772,8736,64826,101564,150788,195617
calibration,52.000,48451,,48430,0,51147,549211,2548108,3151015,3523573,3578182,2766,63717,105149,155949,212057
calibration,53.000,47984,,47702,0,52278,691272,2386815,3323062,3509220,3535527,5063,70938,111559,173391,346964
calibration,54.000,48610,,48610,0,50512,699578,2449207,3261491,3624808,3690829,5142,73465,107651,155834,199938
calibration,55.000,51505,,51859,0,49321,930787,2418622,3267717,3483706,3546210,5180,69925,100434,142698,205637
calibration,56.001,51870,,51521,0,48501,1095535,2420804,3329206,3459131,3514133,2279,64527,92972,149200,176684
calibration,57.000,51304,,51364,0,48164,1059677,2479516,3326304,3492509,3567961,6904,62334,96766,160279,193881
calibration,58.000,50891,,50826,0,48708,1100183,2616750,3230385,3720504,3783047,6543,68253,94762,170005,191823
calibration,59.000,54723,,54748,0,45533,1163356,2694271,3241374,3688304,3772940,3533,58375,90325,166861,211376
calibration,60.000,47618,,47593,0,51494,1437617,2833092,3219002,3693136,3749048,4767,69490,107128,164095,199142
calibration,61.000,49471,,49771,0,51386,1394126,2644150,3420406,3599620,3656809,4303,65090,98346,164810,210108
calibration,62.000,51352,,51157,0,48004,1383204,3140412,3326882,3492541,3560401,10487,62251,104811,157089,185426
calibration,63.000,51615,,51546,0,48572,1151448,3183038,3492343,3607350,3705796,6753,62998,101905,152097,178662
calibration,64.000,48903,,48973,0,50753,1109544,3110126,3322973,3584899,3680501,10480,66258,110841,195097,229790
calibration,65.000,52202,,52096,0,46552,1300373,3154033,3414759,3843832,3883740,5265,63209,97505,150798,189441
calibration,66.000,50002,,50018,0,51405,1343678,3039163,3501988,3885863,3952411,10011,64728,104284,157502,178225
calibration,67.000,50568,,50695,0,47851,1132526,2784842,3562204,3937944,3985360,2940,63403,98825,155875,174897
calibration,68.000,48416,,48913,0,49942,1019254,3312386,3685628,3884546,3968972,10250,62366,97963,186930,240541
calibration,69.000,49868,,49698,0,49089,1034274,3492832,3751203,3852249,3939699,2859,66561,92257,150751,244174
calibration,70.000,51856,,51386,0,48045,719915,2959341,3738582,3957526,3990005,3428,65598,104284,165279,218397
calibration,71.000,53877,,53925,0,46244,694526,3006738,3823458,4167747,4249669,3263,64479,93991,145824,221262
calibration,72.000,49150,,49102,0,51665,690412,3483250,3885702,4348385,4389571,4101,67387,94846,159663,190986
calibration,73.000,51309,,51309,0,48940,773562,3541466,3851800,4461173,4523877,6351,59527,104069,148999,215015
calibration,74.000,54546,,54665,0,45314,987976,3503981,3926803,4272372,4424136,7247,58884,85571,139600,190006
calibration,75.000,48161,,48042,0,52119,1095807,3648343,3911343,4506897,4584429,9053,72971,111304,157300,240963
calibration,76.000,49633,,49633,0,48255,1135444,3739021,3913604,4527794,4596085,7368,61258,95926,162180,213127
calibration,77.000,50509,,50619,0,50931,968711,3647101,3769227,4487750,4579687,5977,67207,101638,151085,223220
calibration,78.000,45381,,45271,0,53103,829013,3725056,4172816,4549647,4633785,7216,73995,111118,179879,211094
calibration,79.000,53906,,54341,0,44914,831529,3613430,4024364,4697106,4727107,5501,58097,90945,141071,213260
calibration,80.000,45939,,45504,0,55007,763368,3546741,3857986,4604489,4730156,7216,68862,117231,196861,228643
calibration,81.000,51176,,51176,0,47628,829645,3554209,3871974,4516219,4556958,6573,72948,102271,140770,187516
calibration,82.000,50096,,50140,0,48583,1047519,3224277,3931893,4576844,4662689,7131,67638,98697,152680,175753
calibration,83.000,52679,,52679,0,46730,853196,3151007,4126628,4540651,4657988,8131,61876,99457,149680,176272
calibration,84.000,47129,,47217,0,54620,712503,3204960,4155610,4482213,4529272,3388,70036,112788,164137,267561
calibration,85.000,46899,,47126,0,52922,400177,3393087,4140280,4319111,4395473,6905,72162,110250,186109,224715
calibration,86.000,50994,,51026,0,45450,360148,3444129,4135086,4326190,4411550,5416,61120,92549,141795,176634
calibration,87.001,52354,,51963,0,47822,326342,3549710,4040908,4209505,4340987,5223,63791,101829,146537,180411
calibration,88.000,52498,,53053,0,47779,225802,3407755,4037405,4473271,4591935,5803,63156,90252,166672,203993
calibration,89.000,49534,,49152,0,49319,227046,3802286,4162822,4272216,4314736,1937,69205,105098,153480,169914
calibration,90.000,49879,,49905,0,50692,92296,3421567,4107446,4250780,4314843,5387,71148,102484,157867,217071
calibration,91.000,50440,,50242,0,50151,80649,3633315,4234867,4416695,4455794,8549,64574,93766,161992,179989
calibration,92.000,51822,,51822,0,46587,25054,3684565,4331977,4591328,4705329,6800,58624,86561,196478,257833
calibration,93.000,50110,,50110,0,49222,2333,3926759,4388576,4722031,4789634,10260,61756,110440,156789,197110
calibration,94.000,52844,,53344,0,44745,11588,4118365,4450467,4925814,5001394,4518,63266,94029,158898,187050
calibration,95.000,51594,,51237,0,48867,137865,4092110,4525303,4920501,4951008,6583,63998,95156,172364,234945
calibration,96.000,46363,,46220,0,53567,289665,4011738,4421002,4930226,4999773,11313,74899,99235,151791,219608
calibration,97.000,46524,,46698,0,56327,11451,3929449,4393884,4750829,4803813,2675,67856,120214,184989,261871
calibration,98.000,51156,,50981,0,48190,15361,3754675,4230074,4879408,5106373,1738,62802,104904,165244,214611
calibration,99.000,53674,,53719,0,45649,80972,3986688,4528051,5202673,5244304,6778,65541,98125,132130,162708
calibration,100.000,50583,,50538,0,48172,75757,3933936,4709209,5276558,5362033,5634,61660,96125,182103,196768
calibration,101.000,49774,,49863,0,49813,214072,3874780,4451855,4962555,5109034,5049,71643,100124,165122,210665
calibration,102.000,51752,,51663,0,49293,384828,3868332,4520835,4887800,4966454,3368,63249,102072,169414,199835
calibration,103.000,50043,,50243,0,48360,14423,3991759,4600252,4843895,4903953,3585,64538,89278,175974,252314
calibration,104.000,49218,,49018,0,51532,17500,4162562,4725281,4879281,4910741,5287,64430,97780,170766,206683
calibration,105.000,53830,,53830,0,45475,9089,4192428,4369540,4918284,5063576,3499,62279,106220,152369,172545
calibration,106.000,47573,,47573,0,51363,14394,4291875,4591144,4966789,5057812,9787,71530,98074,153861,192916
calibration,107.000,52635,,52635,0,47969,33485,4286068,4569610,4988807,5083944,5453,64625,95473,158062,191800
calibration,108.000,52054,,52054,0,46655,89348,4345249,4616163,5250338,5308835,9659,65510,99383,158296,177825
calibration,109.000,52665,,52921,0,48785,332136,4081983,4607192,5041777,5073545,8049,60906,102606,153476,187679
calibration,110.000,50851,,51221,0,46166,432444,4259546,4618054,5297199,5374611,5326,66978,103033,157568,177722
calibration,111.000,57862,,57737,0,42514,798257,4446418,5272577,5469888,5517115,6669,61043,87160,120977,200412
calibration,112.000,51658,,51158,0,47962,892513,4412933,4784339,5637645,5756949,4777,62803,98180,153582,178505
calibration,113.000,50251,,50251,0,49205,997783,4407494,5415292,5703890,5748415,6125,64610,104551,156063,180532
