4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12498.88          ---          ---         0.72828         0.71100         0.75900         1.42300         1.48700     13009.59 
Gets       124986.10    124986.10         0.00         0.72709         0.71100         0.75900         1.42300         1.48700    129482.81 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     137484.98    124986.10         0.00         0.72720         0.71100         0.75900         1.42300         1.48700    142492.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.103        0.000
SET       0.695        5.000
SET       0.695       10.000
SET       0.703       15.000
SET       0.703       20.000
SET       0.703       25.000
SET       0.703       30.000
SET       0.703       35.000
SET       0.711       40.000
SET       0.711       45.000
SET       0.711       50.000
SET       0.711       52.500
SET       0.711       55.000
SET       0.711       57.500
SET       0.711       60.000
SET       0.719       62.500
SET       0.719       65.000
SET       0.719       67.500
SET       0.719       70.000
SET       0.719       72.500
SET       0.719       75.000
SET       0.719       76.250
SET       0.719       77.500
SET       0.719       78.750
SET       0.719       80.000
SET       0.727       81.250
SET       0.727       82.500
SET       0.727       83.750
SET       0.727       85.000
SET       0.727       86.250
SET       0.727       87.500
SET       0.727       88.125
SET       0.735       88.750
SET       0.735       89.375
SET       0.735       90.000
SET       0.735       90.625
SET       0.735       91.250
SET       0.743       91.875
SET       0.743       92.500
SET       0.743       93.125
SET       0.751       93.750
SET       0.751       94.062
SET       0.751       94.375
SET       0.759       94.688
SET       0.759       95.000
SET       0.767       95.312
SET       0.775       95.625
SET       0.791       95.938
SET       0.823       96.250
SET       0.839       96.562
SET       0.855       96.875
SET       0.903       97.031
SET       0.959       97.188
SET       0.983       97.344
SET       1.023       97.500
SET       1.359       97.656
SET       1.383       97.812
SET       1.391       97.969
SET       1.399       98.125
SET       1.407       98.281
SET       1.407       98.438
SET       1.407       98.516
SET       1.415       98.594
SET       1.415       98.672
SET       1.415       98.750
SET       1.415       98.828
SET       1.423       98.906
SET       1.423       98.984
