Linux 6.6.30+ (kylin) 	2026年07月14日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分03秒   999    103921    5.94    3.96    0.00    0.00    9.90     0    239.60      0.00 2672352  117572   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分04秒   999    103921  259.00   85.00    0.00    0.00  344.00     0  39099.00      0.00 2717824  149648   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分05秒   999    103921  276.00   98.00    0.00    0.00  374.00     0   8831.00      0.00 2715212  149868   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分06秒   999    103921  273.00   96.00    0.00    0.00  369.00     0   3893.00      0.00 2717096  150308   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分07秒   999    103921  257.00  113.00    0.00    0.00  370.00     0   3404.00      0.00 2716072  150152   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分08秒   999    103921  259.00  110.00    0.00    0.00  369.00     0   2770.00      0.00 2716856  149872   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分09秒   999    103921  257.00  109.00    0.00    0.00  366.00     0   2801.00      0.00 2715832  150152   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分10秒   999    103921  246.00  117.00    0.00    0.00  363.00     0   1851.00      0.00 2716604  150816   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分11秒   999    103921  256.00  105.00    0.00    0.00  361.00     0   1749.00      0.00 2715580  149856   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分12秒   999    103921  255.00  108.00    0.00    0.00  363.00     0   2280.00      0.00 2716092  151156   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分13秒   999    103921  252.00  108.00    0.00    0.00  360.00     0   1563.00      0.00 2714828  149888   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分14秒   999    103921  255.00  108.00    0.00    0.00  363.00     0   1352.00      0.00 2715852  150448   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分15秒   999    103921  261.00  111.00    0.00    0.00  372.00     0   3266.00      0.00 2717576  150800   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分16秒   999    103921  259.00  105.00    0.00    0.00  364.00     0   2444.00      0.00 2716040  150576   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分17秒   999    103921  266.00   95.00    0.00    0.00  361.00     0   1833.00      0.00 2715016  149724   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分18秒   999    103921  252.00  109.00    0.00    0.00  361.00     0   2636.00      0.00 2717432  150556   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时54分19秒   999    103921  251.00  108.00    0.00    0.00  359.00     0   1002.00      0.00 2716408  150464   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
