Linux 6.6.30+ (kylin) 	2026年07月14日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分27秒   999    113233   17.00    7.00    0.00    0.00   24.00     3    831.00      0.00 2671928  118304   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分28秒   999    113233  275.00   81.00    0.00    0.00  356.00     3  74709.00      0.00 2724000  157040   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分29秒   999    113233  274.00  104.00    0.00    0.00  378.00     3  39902.00      0.00 2727148  158512   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分30秒   999    113233  259.00  121.00    0.00    0.00  380.00     3   5624.00      0.00 2725600  157784   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分31秒   999    113233  269.00  108.00    0.00    0.00  377.00     3   3932.00      0.00 2725456  157744   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分32秒   999    113233  273.00  102.00    0.00    0.00  375.00     3   4000.00      0.00 2726112  158464   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分33秒   999    113233  275.00  104.00    0.00    0.00  379.00     3   2988.00      0.00 2725872  157876   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分34秒   999    113233  272.00  107.00    0.00    0.00  379.00     3   2125.00      0.00 2724992  157132   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分35秒   999    113233  268.00  110.00    0.00    0.00  378.00     3   2274.00      0.00 2724928  157732   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分36秒   999    113233  268.00  110.00    0.00    0.00  378.00     3   1748.00      0.00 2726080  158152   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分37秒   999    113233  281.00   98.00    0.00    0.00  379.00     3   1100.00      0.00 2724496  157680   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分38秒   999    113233  265.00  112.00    0.00    0.00  377.00     3   1207.00      0.00 2725412  157740   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分39秒   999    113233  272.00  106.00    0.00    0.00  378.00     3   1097.00      0.00 2725412  157948   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分40秒   999    113233  277.00  102.00    0.00    0.00  379.00     3   1140.00      0.00 2726292  158968   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分41秒   999    113233  267.00  111.00    0.00    0.00  378.00     3    497.00      0.00 2725268  158432   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分42秒   999    113233  275.00  103.00    0.00    0.00  378.00     3    673.00      0.00 2724756  158340   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时10分43秒   999    113233  262.00  115.00    0.00    0.00  377.00     3    989.00      0.00 2726564  158680   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
