id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,31247,,30759,0,30143,293,20632,28676,33886,34602,113,2209,4924,13465,17751
warmup,2.000,54701,,54690,0,55475,2906,8656,14074,36826,39658,224,7005,8122,11662,18257
warmup,3.000,64643,,64650,0,64611,924,5353,6304,9262,10418,1406,7424,8094,9092,9740
warmup,4.000,63171,,63164,0,63267,2567,5673,6806,8521,9443,1726,7709,8486,9654,10645
warmup,5.000,62634,,62634,0,62619,2457,5486,6718,8261,9576,3083,7756,8612,9616,10270
warmup,6.000,61118,,61118,0,61148,2326,5284,5987,7220,8075,2425,7895,8879,9967,10485
warmup,7.000,62368,,62372,0,62334,2196,5310,6095,7845,9145,2803,7847,8679,9654,10166
warmup,8.000,62082,,62078,0,62009,2633,5482,6357,8072,9402,1120,7753,8611,9672,10103
warmup,9.000,62622,,62636,0,62724,2650,5159,5844,7139,7927,2261,7656,8515,9492,10323
warmup,10.000,64845,,64831,0,64714,303,5063,5761,7643,8925,952,7427,8174,9386,10167
warmup,11.000,62455,,62455,0,62464,3022,5644,6732,20730,33063,3872,7630,8453,9967,15976
warmup,12.000,65072,,65180,0,65114,2400,5206,5925,7331,8413,780,7413,8207,9217,10057
warmup,13.000,64831,,64774,0,64860,2418,5366,6341,7685,8672,745,7401,8109,9201,10242
warmup,14.000,66076,,66025,0,66142,2692,5108,6110,7811,9097,3508,7318,7998,9026,9573
warmup,15.000,65203,,65203,0,64908,2165,5017,5489,6520,7343,2778,7368,8164,9255,9657
warmup,16.000,64398,,64400,0,64448,2940,5260,6032,7652,8726,3013,7479,8204,9259,9888
warmup,17.000,64766,,64764,0,64915,2492,5272,6079,8042,9737,3750,7421,8249,9439,10166
warmup,18.000,65500,,65500,0,65501,2234,5312,6058,7095,8326,3085,7384,8138,9355,10015
warmup,19.000,65939,,66023,0,66050,2381,4903,5588,7183,8086,3148,7334,8049,9067,9844
warmup,20.000,64399,,64343,0,64400,2634,5074,5794,7217,8303,2697,7480,8292,9323,10020
warmup,21.000,66692,,66666,0,66567,2477,4874,5452,6814,7644,3600,7271,7880,8802,9745
warmup,22.000,65678,,65697,0,65763,2786,5240,6023,7551,8501,3188,7425,8052,9193,10066
warmup,23.000,65954,,65937,0,65898,2255,5014,5832,7241,8024,3007,7411,8081,9109,9717
warmup,24.000,66080,,66077,0,66042,2708,5062,5724,7084,7657,2331,7367,8033,9005,9948
warmup,25.000,66266,,66285,0,66248,2559,5381,6192,7578,8307,2575,7388,8049,9231,10098
warmup,26.000,61860,,61841,0,61992,2284,5216,6230,8627,21545,2297,7755,8567,9941,14519
