id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,10032,,10032,0,0,0,0,0,0,0,196,477,603,2103,3387
q4-join-late,2.000,10017,,10005,0,0,0,0,0,0,0,384,529,562,626,679
q4-join-late,3.000,10004,,10016,0,0,0,0,0,0,0,421,525,553,589,613
q4-join-late,4.000,10015,,10015,0,0,0,0,0,0,0,417,528,556,589,608
q4-join-late,5.000,10006,,10006,0,0,0,0,0,0,0,203,515,544,583,613
q4-join-late,6.000,10008,,9997,0,0,0,0,0,0,0,431,525,552,590,613
q4-join-late,7.000,10008,,10019,0,0,0,0,0,0,0,421,520,546,585,613
q4-join-late,8.000,10001,,10001,0,0,0,0,0,0,0,420,522,550,584,609
q4-join-late,9.000,10012,,10012,0,0,0,0,0,0,0,414,520,548,585,605
q4-join-late,10.000,10003,,10003,0,0,0,0,0,0,0,193,505,534,574,646
q4-join-late,11.000,10020,,10008,0,0,0,0,0,0,0,401,509,534,567,589
q4-join-late,12.000,10000,,10012,0,0,0,0,0,0,0,420,511,533,567,588
q4-join-late,13.000,10013,,10013,0,0,0,0,0,0,0,368,505,529,561,579
q4-join-late,14.000,10009,,9997,0,0,0,0,0,0,0,403,512,536,574,605
q4-join-late,15.000,10009,,10016,0,0,0,0,0,0,0,189,495,533,580,1334
q4-join-late,16.000,10005,,10010,0,0,0,0,0,0,0,185,503,529,561,583
q4-join-late,17.000,10005,,9997,0,0,0,0,0,0,0,402,512,535,566,589
q4-join-late,18.000,10017,,10014,0,0,0,0,0,0,0,196,509,537,573,602
q4-join-late,19.000,9998,,10009,0,0,0,0,0,0,0,417,506,531,565,591
q4-join-late,20.000,10021,,10009,0,0,0,0,0,0,0,408,507,533,568,599
q4-join-late,21.000,10000,,10012,0,0,0,0,0,0,0,413,507,532,565,587
q4-join-late,22.000,10014,,10014,0,0,0,0,0,0,0,415,507,531,562,581
q4-join-late,23.000,10003,,10003,0,0,0,0,0,0,0,407,506,532,563,583
q4-join-late,24.000,10020,,10020,0,0,0,0,0,0,0,187,504,529,561,581
q4-join-late,25.000,10008,,9996,0,0,0,0,0,0,0,191,500,528,564,595
q4-join-late,26.000,10006,,10018,0,0,0,0,0,0,0,391,509,532,563,585
q4-join-late,27.000,10012,,10001,0,0,0,0,0,0,0,412,510,532,562,579
q4-join-late,28.000,10007,,10007,0,0,0,0,0,0,0,408,506,530,561,588
q4-join-late,29.000,10014,,10014,0,0,0,0,0,0,0,401,507,531,568,591
q4-join-late,30.000,10013,,10016,0,0,0,0,0,0,0,186,505,531,570,618
q4-join-late,31.000,10007,,10003,0,0,0,0,0,0,0,363,509,533,567,591
q4-join-late,32.000,10012,,10015,0,0,0,0,0,0,0,409,512,538,569,602
q4-join-late,33.000,10008,,10005,0,0,0,0,0,0,0,297,508,535,569,592
q4-join-late,34.000,10011,,10015,0,0,0,0,0,0,0,412,510,535,572,598
q4-join-late,35.000,10009,,10017,0,0,0,0,0,0,0,182,506,531,570,591
q4-join-late,36.000,10013,,10002,0,0,0,0,0,0,0,405,508,532,567,594
q4-join-late,37.000,10009,,10020,0,0,0,0,0,0,0,404,508,533,565,589
q4-join-late,38.000,10003,,10003,0,0,0,0,0,0,0,403,505,531,566,589
q4-join-late,39.000,10017,,10017,0,0,0,0,0,0,0,394,509,533,575,601
q4-join-late,40.000,10019,,10007,0,0,0,0,0,0,0,204,507,533,564,600
q4-join-late,41.000,10009,,10021,0,0,0,0,0,0,0,408,510,534,569,600
q4-join-late,42.000,10011,,9999,0,0,0,0,0,0,0,402,510,533,566,589
q4-join-late,43.000,9997,,10009,0,0,0,0,0,0,0,409,511,534,567,593
q4-join-late,44.000,10023,,10012,0,0,0,0,0,0,0,414,510,534,568,588
q4-join-late,45.000,10012,,10023,0,0,0,0,0,0,0,193,510,538,574,637
q4-join-late,46.000,10006,,10006,0,0,0,0,0,0,0,410,508,531,570,644
q4-join-late,47.000,10006,,9996,0,0,0,0,0,0,0,410,509,533,569,591
q4-join-late,48.000,10016,,10015,0,0,0,0,0,0,0,406,509,533,568,593
q4-join-late,49.000,10008,,10019,0,0,0,0,0,0,0,402,508,532,561,581
q4-join-late,50.000,10015,,10004,0,0,0,0,0,0,0,192,501,524,557,580
q4-join-late,51.000,10013,,10013,0,0,0,0,0,0,0,403,502,526,559,583
q4-join-late,52.000,10000,,10011,0,0,0,0,0,0,0,190,499,525,559,593
q4-join-late,53.000,10021,,10009,0,0,0,0,0,0,0,403,507,529,558,582
q4-join-late,54.000,10000,,10012,0,0,0,0,0,0,0,408,514,539,570,588
q4-join-late,55.000,10019,,10007,0,0,0,0,0,0,0,207,503,529,565,600
q4-join-late,56.000,9999,,10011,0,0,0,0,0,0,0,394,502,525,557,587
q4-join-late,57.000,10012,,10000,0,0,0,0,0,0,0,399,501,526,563,592
q4-join-late,58.000,10008,,10020,0,0,0,0,0,0,0,405,503,525,556,586
q4-join-late,59.000,10014,,10014,0,0,0,0,0,0,0,399,502,524,554,575
q4-join-late,60.000,10020,,10008,0,0,0,0,0,0,0,407,504,531,572,758
q4-join-late,61.000,9999,,10011,0,0,0,0,0,0,0,220,513,539,582,3740
q4-join-late,62.000,10004,,10004,0,0,0,0,0,0,0,401,501,525,559,584
q4-join-late,63.000,10012,,10000,0,0,0,0,0,0,0,337,501,527,557,575
q4-join-late,64.000,10009,,10021,0,0,0,0,0,0,0,407,502,524,556,572
q4-join-late,65.000,10017,,10007,0,0,0,0,0,0,0,255,503,527,556,580
q4-join-late,66.000,10008,,10006,0,0,0,0,0,0,0,408,498,522,561,609
q4-join-late,67.000,9999,,10008,0,0,0,0,0,0,0,370,502,526,556,575
q4-join-late,68.000,10015,,10018,0,0,0,0,0,0,0,411,502,524,556,578
q4-join-late,69.000,10007,,10007,0,0,0,0,0,0,0,410,501,524,556,590
q4-join-late,70.000,10020,,10009,0,0,0,0,0,0,0,187,492,522,558,607
q4-join-late,71.000,10007,,10018,0,0,0,0,0,0,0,414,510,535,567,586
q4-join-late,72.000,10007,,10007,0,0,0,0,0,0,0,415,512,535,569,594
q4-join-late,73.000,10004,,10004,0,0,0,0,0,0,0,413,514,538,568,594
q4-join-late,74.000,10011,,10000,0,0,0,0,0,0,0,403,512,535,566,588
q4-join-late,75.000,10010,,10021,0,0,0,0,0,0,0,258,501,526,562,608
q4-join-late,76.000,10010,,9999,0,0,0,0,0,0,0,405,503,527,560,610
q4-join-late,77.000,10011,,10022,0,0,0,0,0,0,0,360,502,527,560,587
q4-join-late,78.000,10001,,10001,0,0,0,0,0,0,0,401,502,525,555,578
q4-join-late,79.000,10020,,10014,0,0,0,0,0,0,0,394,500,524,556,579
q4-join-late,80.000,10004,,10010,0,0,0,0,0,0,0,404,497,523,556,590
q4-join-late,81.000,10002,,10000,0,0,0,0,0,0,0,403,498,521,553,573
q4-join-late,82.000,10017,,10019,0,0,0,0,0,0,0,402,500,526,556,577
q4-join-late,83.000,10019,,10008,0,0,0,0,0,0,0,404,500,522,555,576
q4-join-late,84.000,9999,,10010,0,0,0,0,0,0,0,407,501,525,557,596
q4-join-late,85.000,10020,,10008,0,0,0,0,0,0,0,200,501,526,554,580
q4-join-late,86.000,10006,,10007,0,0,0,0,0,0,0,404,502,524,557,590
q4-join-late,87.000,10013,,10013,0,0,0,0,0,0,0,406,500,525,554,568
q4-join-late,88.000,10007,,10006,0,0,0,0,0,0,0,410,502,524,556,585
q4-join-late,89.000,10008,,10020,0,0,0,0,0,0,0,259,499,524,559,659
q4-join-late,90.000,10015,,10006,0,0,0,0,0,0,0,235,534,558,588,612
q4-join-late,91.000,10001,,10010,0,0,0,0,0,0,0,440,537,560,593,617
q4-join-late,92.000,10008,,9996,0,0,0,0,0,0,0,442,533,555,589,626
q4-join-late,93.000,10010,,10011,0,0,0,0,0,0,0,411,525,549,584,651
q4-join-late,94.000,9998,,10009,0,0,0,0,0,0,0,426,533,555,586,606
q4-join-late,95.000,10018,,10008,0,0,0,0,0,0,0,228,528,554,589,615
q4-join-late,96.000,10016,,10014,0,0,0,0,0,0,0,437,533,552,580,606
q4-join-late,97.000,10008,,10015,0,0,0,0,0,0,0,435,533,557,587,613
q4-join-late,98.000,10001,,10006,0,0,0,0,0,0,0,436,529,552,582,604
q4-join-late,99.000,10007,,9998,0,0,0,0,0,0,0,426,532,554,582,601
q4-join-late,100.000,10009,,10018,0,0,0,0,0,0,0,209,528,553,582,606
q4-join-late,101.000,10019,,10008,0,0,0,0,0,0,0,431,532,555,586,612
q4-join-late,102.000,9997,,10008,0,0,0,0,0,0,0,429,531,553,585,619
q4-join-late,103.000,10009,,9998,0,0,0,0,0,0,0,424,531,553,576,598
q4-join-late,104.000,9999,,10001,0,0,0,0,0,0,0,415,534,557,590,618
q4-join-late,105.000,10006,,10015,0,0,0,0,0,0,0,222,533,557,591,610
q4-join-late,106.000,10017,,10017,0,0,0,0,0,0,0,356,529,556,600,723
q4-join-late,107.000,10010,,9999,0,0,0,0,0,0,0,203,499,524,564,614
q4-join-late,108.000,10009,,10020,0,0,0,0,0,0,0,412,505,529,562,585
q4-join-late,109.000,10008,,10008,0,0,0,0,0,0,0,397,506,532,569,619
q4-join-late,110.000,10007,,9995,0,0,0,0,0,0,0,207,502,527,564,607
q4-join-late,111.000,10017,,10017,0,0,0,0,0,0,0,411,504,527,562,584
q4-join-late,112.000,10014,,10014,0,0,0,0,0,0,0,406,503,527,562,583
q4-join-late,113.000,10003,,10004,0,0,0,0,0,0,0,407,502,526,558,595
q4-join-late,114.000,10015,,10015,0,0,0,0,0,0,0,412,502,529,562,579
q4-join-late,115.000,10004,,10004,0,0,0,0,0,0,0,207,502,528,565,602
q4-join-late,116.000,10018,,10018,0,0,0,0,0,0,0,408,501,525,558,589
q4-join-late,117.000,10007,,10018,0,0,0,0,0,0,0,408,499,526,558,579
q4-join-late,118.000,10006,,10006,0,0,0,0,0,0,0,401,499,522,555,579
q4-join-late,119.000,10007,,10007,0,0,0,0,0,0,0,403,499,524,555,584
q4-join-late,120.000,10020,,10008,0,0,0,0,0,0,0,185,499,523,565,619
q4-join-late,121.001,264,,176,0,54255,115567860,117730056,118801846,119572793,119650239,446,9990,13732,17984,18113
q4-join-late,122.000,0,,0,0,70483,109540168,112528939,114078794,115317876,115527777,0,0,0,0,0
q4-join-late,123.000,400,,400,0,71266,103426434,106360619,107859841,109203705,109456593,218938,228437,230147,2160996,2161332
q4-join-late,124.000,400,,400,0,65453,97897435,100484686,101991255,103068306,103324997,219119,229756,235085,235478,235623
q4-join-late,125.000,400,,400,0,52545,93615925,95592790,96670200,97684539,97838567,228471,231410,239474,240108,240245
q4-join-late,126.000,500,,500,0,59854,88650929,91160766,92429215,93382633,93564241,230315,236954,239275,241665,241811
q4-join-late,127.000,400,,400,0,71731,82492682,85534047,87018844,88324353,88593368,220311,227909,233869,234453,234573
q4-join-late,128.000,400,,400,0,71111,76377468,79246358,80903289,82166965,82414887,220039,226938,228580,232580,232698
q4-join-late,129.000,500,,500,0,65394,70853842,73658161,74995188,76047945,76279004,228684,229923,233337,239727,239847
q4-join-late,130.000,400,,400,0,70783,64775440,67761636,69296193,70495746,70789082,229853,230720,232070,232653,232771
q4-join-late,131.000,400,,400,0,68109,58967940,62016485,63333722,64444917,64675918,228867,229698,229943,230163,230276
q4-join-late,132.000,500,,500,0,64606,53526444,56324865,57759429,58710071,58877949,228898,235699,236162,237380,237519
q4-join-late,133.000,400,,400,0,61808,48353258,50848285,52217658,53287119,53474369,217839,236369,239839,240428,240559
q4-join-late,134.000,400,,400,0,61530,43197549,45778946,47108258,48001073,48294886,224355,231335,241549,241946,242076
q4-join-late,135.000,500,,500,0,70763,37137193,40080101,41678304,42922005,43133860,221521,229274,229801,235455,235620
q4-join-late,136.000,400,,400,0,53992,32732530,34843234,36051374,36884045,37085047,233050,237262,238153,238464,238583
q4-join-late,137.000,400,,400,0,65601,27189845,29966688,31399913,32523092,32687003,219434,232741,236457,241304,241426
q4-join-late,138.000,400,,400,0,65265,21666704,24442046,25848209,26841142,27077287,226251,234690,242729,243341,243479
q4-join-late,139.000,10308,,10308,0,54030,172,19222651,20488968,21399024,21619280,794,2655,3224,222302,227229
q4-join-late,140.000,13106,,13206,0,13161,154,257,862,1959,2587,405,573,2072,3543,4145
q4-join-late,141.000,10019,,10008,0,10014,135,230,260,603,663,400,533,578,763,902
q4-join-late,142.000,9998,,10009,0,10003,150,232,258,597,668,366,531,577,729,829
q4-join-late,143.000,10014,,10014,0,10014,158,230,257,550,662,397,530,573,787,884
q4-join-late,144.000,10021,,10009,0,10009,145,231,260,591,683,366,530,574,756,880
q4-join-late,145.000,9998,,10009,0,10009,152,234,262,621,1639,409,532,572,769,947
q4-join-late,146.000,10019,,10010,0,10010,155,230,258,455,678,405,535,584,770,872
q4-join-late,147.000,10000,,10010,0,10010,151,228,251,315,647,341,535,573,646,838
q4-join-late,148.000,10007,,9996,0,10006,148,232,260,578,671,383,539,587,778,947
q4-join-late,149.000,10009,,10020,0,10010,153,227,259,602,675,407,534,578,766,895
q4-join-late,150.000,10020,,10010,0,10010,149,237,273,1283,2525,407,541,595,2578,4318
q4-join-late,151.000,10005,,10003,0,10003,160,232,257,532,666,360,529,573,748,920
q4-join-late,152.000,9997,,10009,0,10009,149,233,269,448,767,381,540,585,774,1062
q4-join-late,153.000,10017,,10011,0,10011,158,232,264,675,12809,407,535,587,937,12622
q4-join-late,154.000,10001,,10007,0,10007,150,230,257,527,678,402,536,575,725,861
q4-join-late,155.000,10017,,10016,0,10016,155,230,257,366,658,417,532,574,755,907
q4-join-late,156.000,10016,,10006,0,10016,155,230,257,580,676,376,532,573,698,851
q4-join-late,157.001,10006,,10005,0,10006,155,232,257,557,667,397,538,584,714,852
q4-join-late,158.000,10006,,10018,0,10007,153,230,256,367,685,390,534,575,688,850
q4-join-late,159.000,10007,,10007,0,10007,160,233,261,414,672,395,531,578,800,1086
q4-join-late,160.000,10007,,9996,0,10006,156,230,259,602,683,400,537,584,784,935
q4-join-late,161.000,9999,,10010,0,10000,150,230,254,341,689,401,531,574,701,930
q4-join-late,162.000,10012,,10002,0,10002,151,232,259,594,686,388,535,577,790,1226
q4-join-late,163.000,9998,,10008,0,10008,154,231,259,568,676,382,536,580,708,846
q4-join-late,164.000,10021,,10010,0,10010,157,232,262,393,686,310,535,584,778,894
q4-join-late,165.000,10005,,10016,0,10016,152,230,260,382,663,410,536,574,711,840
q4-join-late,166.000,10008,,10008,0,10008,152,232,263,601,741,392,535,577,753,925
q4-join-late,167.000,10005,,9994,0,10005,150,238,269,639,1536,393,533,578,818,10839
q4-join-late,168.000,10007,,10007,0,10000,135,233,265,653,14765,396,531,576,871,19024
q4-join-late,169.000,10008,,10019,0,10015,154,230,259,618,688,372,534,580,770,912
q4-join-late,170.000,10018,,10006,0,10014,153,229,258,564,682,379,532,576,760,992
q4-join-late,171.000,10001,,10013,0,10005,138,230,259,579,661,294,535,579,736,850
q4-join-late,172.000,10009,,9997,0,10009,147,230,255,356,671,325,529,572,708,848
q4-join-late,173.000,10010,,10022,0,10010,161,231,258,576,701,412,535,575,699,1378
q4-join-late,174.000,10006,,10006,0,10006,144,228,257,377,681,322,528,567,732,870
q4-join-late,175.000,10016,,10005,0,10016,152,231,260,587,675,338,534,577,765,925
q4-join-late,176.000,9998,,10009,0,9998,157,229,255,351,660,407,530,570,718,885
q4-join-late,177.000,10009,,9997,0,10009,160,229,255,325,666,401,528,571,662,865
q4-join-late,178.000,9998,,10010,0,9998,145,232,258,576,682,375,537,578,756,892
q4-join-late,179.000,10018,,10018,0,10018,159,232,257,349,667,385,532,573,667,817
q4-join-late,180.000,10019,,10007,0,10007,145,232,259,618,710,399,542,586,818,1022
q4-join-late,181.001,9999,,10011,0,10011,142,234,261,437,663,398,539,586,756,923
q4-join-late,182.000,10013,,10001,0,10001,153,232,259,376,687,400,540,589,781,952
q4-join-late,183.000,10003,,10015,0,10015,120,231,265,615,932,298,536,581,779,959
q4-join-late,184.000,10020,,10008,0,10020,144,228,254,584,668,372,526,568,754,872
q4-join-late,185.000,10007,,10018,0,10006,156,231,259,598,674,413,531,570,681,853
q4-join-late,186.000,10019,,10009,0,10020,153,231,259,570,687,366,529,575,779,890
q4-join-late,187.000,10006,,10005,0,10005,150,232,257,379,662,343,535,579,707,848
q4-join-late,188.000,10007,,10019,0,10008,155,229,260,375,669,393,535,575,737,893
q4-join-late,189.000,10010,,9999,0,10004,157,228,254,325,660,395,529,570,661,810
q4-join-late,190.000,10007,,10018,0,10013,153,231,258,321,670,396,536,577,669,823
q4-join-late,191.000,10013,,10001,0,10001,151,233,262,384,681,402,531,574,698,844
q4-join-late,192.000,10006,,10018,0,10018,159,230,259,564,668,397,530,570,756,841
q4-join-late,193.000,10004,,10004,0,10004,152,229,258,388,678,398,529,574,751,897
q4-join-late,194.000,10016,,10016,0,10016,149,231,261,601,684,384,531,574,688,865
q4-join-late,195.000,10008,,9996,0,10008,155,227,253,322,655,420,529,574,704,832
q4-join-late,196.000,10007,,10019,0,10007,147,230,259,548,683,368,535,581,760,878
q4-join-late,197.000,10021,,10009,0,10021,143,231,260,444,701,392,534,575,708,855
q4-join-late,198.000,9998,,10010,0,9998,154,233,267,590,6492,331,535,580,762,6717
q4-join-late,199.000,10020,,10008,0,10020,152,233,262,600,685,348,534,585,778,950
q4-join-late,200.000,10005,,10006,0,9999,154,230,262,612,757,373,541,588,794,1024
q4-join-late,201.000,10005,,10016,0,10011,150,230,258,337,680,408,534,576,681,830
q4-join-late,202.000,10017,,10017,0,10017,150,231,257,599,696,400,531,575,773,1098
q4-join-late,203.000,10008,,9997,0,10007,160,228,256,364,669,390,526,566,666,837
q4-join-late,204.000,10013,,10012,0,10014,147,231,258,571,687,390,532,577,784,941
q4-join-late,205.000,10006,,10007,0,10003,151,231,258,591,700,401,537,581,772,928
q4-join-late,206.000,10015,,10014,0,10007,151,229,258,358,669,409,530,568,666,828
q4-join-late,207.000,10009,,10021,0,10020,156,227,255,425,691,385,533,571,712,858
q4-join-late,208.000,10006,,10005,0,10005,146,230,258,598,695,364,534,576,729,891
q4-join-late,209.000,10004,,9994,0,10005,152,230,258,442,663,382,531,576,764,831
q4-join-late,210.000,10018,,10018,0,10007,142,229,257,588,680,390,535,576,751,880
q4-join-late,211.000,9996,,10007,0,10007,152,229,256,581,674,402,534,582,767,976
q4-join-late,212.000,10018,,10018,0,10018,160,230,257,370,679,385,530,573,700,829
q4-join-late,213.000,10000,,10000,0,10000,164,236,266,543,675,402,542,589,750,940
q4-join-late,214.000,10014,,10012,0,10012,129,236,267,608,703,266,533,583,805,948
q4-join-late,215.000,10008,,10007,0,10007,140,231,264,582,661,372,537,581,773,853
q4-join-late,216.000,10001,,10004,0,10004,149,232,262,605,692,379,534,581,772,855
q4-join-late,217.000,10018,,10007,0,10018,154,229,256,599,680,392,533,573,739,893
q4-join-late,218.000,10000,,10011,0,10000,158,233,261,605,666,396,532,576,772,878
q4-join-late,219.000,10012,,10000,0,10000,156,228,254,383,683,406,533,578,757,937
q4-join-late,220.000,10010,,10010,0,10022,156,229,259,356,674,402,536,579,787,892
q4-join-late,221.000,10009,,10021,0,10009,140,230,259,564,695,376,531,575,744,868
q4-join-late,222.000,10010,,9998,0,10010,155,229,260,579,671,386,526,575,762,881
q4-join-late,223.000,10000,,10012,0,10000,152,232,263,614,692,333,534,584,804,941
q4-join-late,224.000,10003,,10003,0,10003,156,233,262,625,714,389,531,579,771,994
q4-join-late,225.000,10014,,10014,0,10014,124,233,261,579,687,378,536,581,787,3029
q4-join-late,226.000,10011,,9999,0,10002,150,231,261,581,669,389,535,581,803,879
q4-join-late,227.000,10012,,10012,0,10021,154,231,260,362,683,348,529,572,692,830
q4-join-late,228.000,9999,,10011,0,9999,156,233,264,578,1231,390,539,587,764,1000
q4-join-late,229.000,10019,,10008,0,10019,153,233,261,465,708,387,533,576,761,924
q4-join-late,230.000,10003,,10014,0,10003,144,229,258,605,675,316,539,581,803,918
