Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分09秒   999    136724   46.00   14.00    0.00    0.00   60.00     3   1302.00      0.00 2679908  121280   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分10秒   999    136724  181.00   35.00    0.00    0.00  216.00     3  56020.00      0.00 2715092  148216   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分11秒   999    136724  183.00   35.00    0.00    0.00  218.00     3  95583.00      0.00 2724684  153020   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分12秒   999    136724  186.00   32.00    0.00    0.00  218.00     3  91097.00      0.00 2721168  155136   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分13秒   999    136724  171.00   41.00    0.00    0.00  212.00     3  86215.00      0.00 2725092  154620   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分14秒   999    136724  179.00   38.00    0.00    0.00  217.00     3  91990.00      0.00 2724912  155116   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分15秒   999    136724  174.00   39.00    0.00    0.00  213.00     3  82911.00      0.00 2724260  152088   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分16秒   999    136724  172.00   42.00    0.00    0.00  214.00     3  86124.00      0.00 2724212  154320   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分17秒   999    136724  180.00   37.00    0.00    0.00  217.00     3  83163.00      0.00 2726588  159576   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分18秒   999    136724  182.00   36.00    0.00    0.00  218.00     3  88769.00      0.00 2720308  152216   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分19秒   999    136724  175.00   41.00    0.00    0.00  216.00     3  87381.00      0.00 2725000  155436   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分20秒   999    136724  178.00   39.00    0.00    0.00  217.00     3  93396.00      0.00 2725220  154540   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分21秒   999    136724  183.00   38.00    0.00    0.00  221.00     3  88718.00      0.00 2719564  152332   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分22秒   999    136724  179.00   36.00    0.00    0.00  215.00     3  93849.00      0.00 2724556  154644   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分23秒   999    136724  177.00   40.00    0.00    0.00  217.00     3  85037.00      0.00 2726412  156312   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分24秒   999    136724  176.00   40.00    0.00    0.00  216.00     3  80087.00      0.00 2722880  151872   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时23分25秒   999    136724  172.00   44.00    0.00    0.00  216.00     3  87427.00      0.00 2729988  157204   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
