id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,36007,,35508,0,35498,364,6965,13916,19627,26101,85,2891,7014,10374,11752
warmup,2.000,59178,,59180,0,59346,2753,5740,8420,28000,34247,1074,7469,8397,9739,15412
warmup,3.000,62870,,63149,0,62777,2637,5315,5943,7214,10908,604,7707,8498,9675,10396
warmup,4.000,63351,,63120,0,63533,2508,5292,6016,7417,8703,440,7584,8390,9413,9945
warmup,5.000,62898,,62911,0,62871,2721,5324,6028,7062,8184,2924,7714,8400,9383,10179
warmup,6.000,63228,,63166,0,63145,2270,5421,6034,7471,8505,3443,7746,8473,9639,10951
warmup,7.000,62808,,62878,0,62841,2964,5132,5754,7158,8748,3833,7731,8454,9465,10798
warmup,8.000,63044,,63030,0,63097,2144,5022,5575,6777,8095,1503,7663,8505,9654,10483
warmup,9.000,61287,,61231,0,61187,2123,5193,6163,8388,13172,846,7673,8387,9675,12675
warmup,10.000,62404,,62576,0,62486,2347,5197,5847,7178,8293,3645,7726,8464,9503,10223
warmup,11.000,62879,,62708,0,62728,2613,5234,5962,7317,8219,3810,7669,8345,9374,10238
warmup,12.000,61483,,61530,0,61609,2018,5302,6065,7413,8026,3671,7952,8634,9594,10514
warmup,13.000,63895,,63851,0,63826,2523,5169,6003,7416,8556,4290,7650,8392,9407,10466
warmup,14.000,62526,,62583,0,62640,2243,5247,6028,7434,8612,3707,7774,8549,9685,10565
warmup,15.000,63436,,63384,0,63454,2649,5334,6197,7643,8694,2365,7719,8420,9536,10023
warmup,16.000,63368,,63368,0,63227,2250,5087,5766,7122,8077,3393,7652,8406,9569,10366
warmup,17.000,62592,,62587,0,62630,2547,5382,6263,8480,9490,3128,7690,8565,9704,10242
warmup,18.000,62377,,62376,0,62386,2494,5286,6023,7381,8324,5070,7789,8498,9524,10206
warmup,19.000,62579,,62576,0,62500,2650,5107,5848,7076,8174,4089,7806,8461,9632,10356
warmup,20.000,62408,,62408,0,62556,2650,5415,6219,7782,9404,3517,7843,8777,9588,9980
warmup,21.000,64175,,64176,0,63951,2044,5244,5987,7233,8039,3381,7634,8286,9251,9791
warmup,22.000,61968,,61977,0,62097,3060,5083,5699,6813,7480,4313,7898,8682,9664,10285
warmup,23.000,63542,,63532,0,63439,2670,5228,5949,7425,8913,3472,7557,8328,9495,10290
warmup,24.000,60711,,60711,0,60840,2640,5679,6566,15705,34378,2605,7848,8759,10101,14096
warmup,25.000,61552,,61552,0,61573,2859,5257,5991,7417,8660,3196,7928,8793,9748,10350
warmup,26.000,61740,,61740,0,61647,3217,5063,5727,6953,7668,4323,7969,8545,9572,10034
warmup,27.000,61431,,61431,0,61599,2543,5203,5801,7239,8269,3579,7832,8835,10107,10466
warmup,28.000,62692,,62692,0,62725,2132,5545,6378,7907,9470,2557,7873,8601,9667,10317
warmup,29.000,63416,,63416,0,63213,2749,5182,6020,7636,8446,3189,7679,8366,9474,10106
warmup,30.000,64868,,64910,0,64884,2418,5178,5977,7165,7806,3672,7506,8149,9106,9930
warmup,31.000,64046,,64006,0,64160,2298,5316,6001,7531,8429,3579,7602,8268,9197,9926
warmup,32.000,64185,,64183,0,64138,415,5126,5778,7117,8263,193,7294,8108,9355,10596
warmup,33.000,64417,,64441,0,64415,2944,5170,5865,6990,8328,2945,7550,8214,9251,10105
warmup,34.000,63411,,63387,0,63527,2700,5046,5671,6731,8475,4309,7617,8212,9260,10001
warmup,35.000,64748,,64753,0,64556,2926,5027,5683,6832,7834,3175,7536,8178,9120,9606
warmup,36.000,64397,,64392,0,64444,2539,5013,5621,6610,7487,3215,7476,8170,9128,9610
warmup,37.000,65464,,65468,0,65553,2778,5156,5795,6813,7473,2546,7430,8012,8836,9652
warmup,38.000,64573,,64641,0,64529,2567,5033,5767,7478,8947,3160,7501,8112,9232,10233
warmup,39.000,62424,,62352,0,62458,2838,5232,6161,7776,9858,3270,7579,8273,9540,10902
warmup,40.000,65409,,65409,0,65345,2576,5203,5966,7223,8632,2877,7384,8093,9038,9705
warmup,41.000,66516,,66532,0,66551,2237,5121,5732,6774,7810,2583,7253,7877,8729,9344
warmup,42.000,65830,,65814,0,65817,2378,4925,5580,6556,7392,2201,7314,8015,8912,9526
warmup,43.000,65990,,65999,0,65925,2233,4909,5437,6339,6895,3855,7427,8051,8823,9669
warmup,44.000,64781,,64773,0,64867,2162,4943,5659,6871,8392,2738,7629,8146,8966,9767
warmup,45.000,66437,,66477,0,66445,2190,5255,6039,7355,8282,1612,7299,7918,8706,9350
warmup,46.000,65707,,65667,0,65699,2395,4939,5632,7439,8156,2348,7345,8083,8866,9453
warmup,47.000,65129,,65141,0,65157,2769,5373,6381,8074,9699,4274,7468,8152,9160,9908
warmup,48.000,64889,,64877,0,64872,2687,5026,5728,6786,7888,3904,7467,8189,9117,9864
warmup,49.000,64974,,65002,0,64978,2829,5217,6004,7787,9403,4012,7516,8165,9134,9674
warmup,50.000,65785,,65761,0,65801,2608,5103,5794,7040,8078,3629,7406,8161,9254,10062
warmup,51.000,64808,,64808,0,64789,2492,4838,5566,6640,7305,3735,7491,8094,9058,9607
