id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,33387,,33045,0,32561,289,12962,20227,23670,26504,105,2536,5362,10532,12055
warmup,2.000,55623,,55465,0,56049,886,6064,12397,46258,51127,230,7293,8396,11716,16543
warmup,3.000,63509,,63509,0,63515,2334,5055,6017,10772,14923,3849,7568,8280,9669,10551
warmup,4.000,64665,,64665,0,64764,2581,4950,5682,7072,8243,2033,7486,8246,9419,10472
warmup,5.000,65619,,65621,0,65622,2602,4900,5490,7034,7803,1570,7294,7991,9176,10117
warmup,6.000,65917,,65915,0,65921,2365,4747,5365,6563,7528,797,7331,7983,9082,9478
warmup,7.000,65736,,65736,0,65625,2635,4882,5543,7065,8619,3706,7379,8031,9067,9938
warmup,8.000,64618,,64634,0,64724,2226,4996,5713,9175,14678,354,7410,8146,9105,9865
warmup,9.000,64004,,63993,0,64058,2139,5031,5869,7953,8772,993,7569,8316,9259,10066
warmup,10.000,64236,,64235,0,64207,2151,5157,5762,6895,8185,2576,7479,8238,9372,10234
warmup,11.000,66474,,66470,0,66396,2045,4839,5529,6562,7520,1978,7330,7907,8776,9801
warmup,12.000,65359,,65375,0,65359,2578,4792,5439,6702,7416,2994,7374,8046,9232,10025
warmup,13.000,66556,,66541,0,66463,2459,4657,5379,7050,8577,2774,7256,7923,8938,9922
warmup,14.000,66254,,66255,0,66467,2460,4919,5470,7231,8911,2110,7280,7971,9016,9603
warmup,15.000,66370,,66374,0,66299,1182,4782,5374,6350,7510,3223,7254,7845,8810,9514
warmup,16.000,65247,,65246,0,65263,2316,4819,5415,6618,7704,3088,7293,8150,9214,10062
warmup,17.000,66200,,66195,0,66216,2823,4740,5249,6176,6652,3508,7279,7904,8859,9619
warmup,18.000,65476,,65497,0,65501,2188,4704,5282,6111,6672,3062,7395,8158,9188,10005
warmup,19.000,66813,,66800,0,66853,2146,4631,5154,6249,6980,2901,7203,7887,8865,9504
warmup,20.000,65970,,65962,0,65892,2578,4863,5476,6809,7533,3990,7390,7969,8798,9516
warmup,21.000,66671,,66717,0,66622,2799,4902,5509,6444,7285,2668,7299,8016,8955,9314
