id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.003,49289,,45851,0,41257,758,54548,109007,211870,266421,358,46153,64645,113436,148570
q2-reliable,2.000,53134,,52580,0,48422,4916,177796,250291,486723,559986,3548,60582,84595,137980,155095
q2-reliable,3.000,50589,,50589,0,52743,7234,223970,454567,585185,632635,5730,69510,93569,141555,164865
q2-reliable,4.000,54694,,54694,0,48114,3965,237313,350214,558841,640473,6711,66052,85095,127922,151340
q2-reliable,5.000,52345,,52345,0,53267,15191,226187,341201,540065,659004,2873,67715,99482,154733,192529
q2-reliable,6.000,55538,,55538,0,47641,919,270719,556038,781028,850144,3763,55421,88588,154258,196065
q2-reliable,7.000,51822,,51822,0,52023,13884,439187,797805,954532,1038325,4671,65728,97004,152122,212605
q2-reliable,8.000,52352,,52582,0,51663,33335,576153,738470,976294,1011053,3688,62541,99807,173414,209471
q2-reliable,9.000,52062,,51876,0,51270,45963,367053,557766,949699,1045228,4848,64417,96949,155426,220289
q2-reliable,10.000,52091,,52215,0,51639,7380,376200,687370,986802,1067507,6419,67057,93794,135962,187902
q2-reliable,11.000,56444,,56275,0,46576,10122,489153,831019,1102338,1146197,6935,63376,86990,154695,170151
q2-reliable,12.000,51050,,51050,0,51451,11202,678230,1044934,1417378,1462098,2487,70422,103161,143236,206451
q2-reliable,13.000,49738,,49749,0,51909,114131,620778,1129227,1406136,1455176,4911,64896,94170,153124,219672
q2-reliable,14.000,50523,,50623,0,51827,3494,415155,993051,1346105,1400821,3896,62173,87466,173957,228721
q2-reliable,15.000,54283,,54661,0,48457,8196,481334,1207349,1572755,1621229,9862,59426,81347,148718,227850
q2-reliable,16.000,51876,,51654,0,52318,13181,506171,1458238,1703407,1782883,6566,62856,95567,159200,218386
q2-reliable,17.000,50893,,50626,0,53787,9207,295953,976352,1845926,1954315,6518,62670,95321,173730,231991
q2-reliable,18.000,53191,,53191,0,50544,5483,398946,1643269,2038173,2196711,11830,65075,91953,151561,225541
q2-reliable,19.000,53149,,53453,0,50581,11929,393597,1430716,1801118,1850444,2726,61984,91967,158474,211498
q2-reliable,20.000,53541,,53302,0,49581,11244,535698,1290008,1823931,1892421,7821,59987,90485,140929,184484
q2-reliable,21.000,52043,,51978,0,48192,22225,822070,1352136,1957559,2018134,9382,63646,103567,152255,177750
q2-reliable,22.000,53735,,53735,0,50795,9746,938252,1634030,1969573,2008905,11816,68890,93449,141205,202533
q2-reliable,23.000,54205,,54491,0,48282,5433,869378,1467535,2022823,2078337,3813,59169,86636,168799,213711
q2-reliable,24.000,52418,,52132,0,50356,47212,1089428,1559743,2064671,2197481,5190,60969,85736,141035,181528
q2-reliable,25.000,53114,,53151,0,49551,70252,1187363,2003224,2235186,2269502,8565,64742,97502,152463,185069
q2-reliable,26.000,51908,,51871,0,51723,20521,1245669,1526985,2228172,2348758,10689,62430,92591,150016,180951
q2-reliable,27.000,58296,,58302,0,42560,39824,1160846,1980530,2492035,2610345,6936,57583,82486,143926,218915
q2-reliable,28.000,54585,,54579,0,48652,4691,1291118,2197818,2776453,2803578,3581,59147,93840,142441,169962
q2-reliable,29.000,49598,,49941,0,52964,36627,1742733,2271066,2775078,2833857,7439,70636,104280,155760,180769
q2-reliable,30.000,50402,,50059,0,55371,8393,1825272,2218949,2988502,3030594,2920,61271,89378,175298,220617
q2-reliable,31.000,53532,,53532,0,50979,9354,1914801,2346043,2931866,3084350,7598,64544,90763,167407,227466
q2-reliable,32.000,50868,,50984,0,50510,64430,1734289,2274799,2795365,2849248,3784,64467,101065,151674,187317
q2-reliable,33.000,54167,,54051,0,48303,98392,1490614,2385341,2686379,2755641,5085,62838,89665,135066,159018
q2-reliable,34.000,54074,,54074,0,49116,283797,1617152,2479665,2731462,2790529,6040,62792,94677,163062,210462
q2-reliable,35.000,51204,,51204,0,50851,197406,1645271,2479476,2822633,2896645,7484,68065,102635,154158,169727
q2-reliable,36.000,51904,,51904,0,49738,264546,1663754,2646535,2873493,2935325,11200,64561,86654,168028,212125
q2-reliable,37.000,48954,,48954,0,54036,156270,1730242,2581813,2774498,2853049,9163,65292,103492,155059,197749
q2-reliable,38.000,54922,,55218,0,48285,6471,1928784,2587511,2777201,2814319,3526,54674,84777,153288,194276
q2-reliable,39.000,57626,,57331,0,46226,120085,2012945,2564507,2986619,3074559,3731,57067,91355,139219,186864
q2-reliable,40.000,51982,,52121,0,50172,485879,2158592,2476804,3123579,3224352,3523,57604,94993,158034,191674
q2-reliable,41.000,47420,,47307,0,57549,344069,2045488,2635926,3381683,3451884,10894,73605,101025,160718,211845
q2-reliable,42.000,49477,,49905,0,52333,247222,2186135,2841660,3347831,3386293,4754,62590,98503,172584,207177
q2-reliable,43.000,49932,,49745,0,53730,173255,2166955,2802019,3091782,3172506,5695,66064,103419,151034,189214
q2-reliable,44.000,54234,,54381,0,48452,117188,2092638,2771304,2976999,3008822,5640,66789,94011,160182,206427
q2-reliable,45.000,49681,,49636,0,51873,313049,1841751,2317349,3087145,3183299,7907,65130,106386,173613,231945
q2-reliable,46.000,47847,,47478,0,53909,275515,1610699,2405665,3079376,3105010,4386,79012,108622,156010,171915
q2-reliable,47.000,54869,,54869,0,47811,208153,2268117,2961716,3127620,3177349,1855,56914,88405,161393,202891
q2-reliable,48.000,53958,,54220,0,49321,485755,1962628,2993556,3226723,3278622,2638,63439,97326,147752,195468
q2-reliable,49.000,50670,,50409,0,49914,474253,1580777,2547654,3238750,3290316,2277,65546,100520,164666,184934
q2-reliable,50.000,54279,,54512,0,46660,555931,2167603,2498025,3308301,3435082,4254,61278,94717,141804,188499
q2-reliable,51.000,52549,,52376,0,49334,866219,1666508,2766985,3558985,3628476,7720,63444,99142,172112,193123
q2-reliable,52.000,46682,,46622,0,55279,1014406,1647023,2750087,3737454,3784715,5322,68174,110908,182001,219871
q2-reliable,53.000,48761,,48761,0,52554,536690,1472049,2899091,3744947,3796518,3762,74855,109721,166913,199706
q2-reliable,54.000,52773,,52789,0,50722,226355,1541485,2741609,3889836,3973459,7775,68427,88852,137862,167309
q2-reliable,55.000,51171,,51155,0,51552,358375,1402220,2766330,3776599,3923895,2531,69379,107505,149772,184324
q2-reliable,56.000,53358,,53398,0,49037,314308,2371863,3007086,3683240,3777098,2705,64266,99723,154243,195738
q2-reliable,57.000,41288,,41521,0,61771,151562,2285662,2799013,3424337,3564148,1240,97053,131654,182010,244838
q2-reliable,58.000,51167,,50979,0,52025,37372,2350952,2599497,3388788,3540432,1918,67282,100811,181546,220462
q2-reliable,59.000,49911,,50182,0,53172,14570,1795591,2564820,3538066,3612206,4294,69001,104861,164825,202541
q2-reliable,60.000,51936,,52286,0,49808,81025,1753509,2676101,3422434,3453294,13386,68513,97321,137782,155833
q2-reliable,61.000,49703,,48997,0,53091,17816,1308824,2636860,3230100,3364700,4939,63976,99403,161562,213894
q2-reliable,62.000,51728,,52077,0,50977,134070,1923445,2733913,3477489,3554650,11206,68182,97377,155774,195721
q2-reliable,63.000,49412,,49182,0,54893,26097,925428,2549832,3455963,3530392,6655,63807,96071,190059,207187
q2-reliable,64.000,53178,,53059,0,47403,95380,2136264,2595415,3474210,3506071,2355,69834,95430,144844,179679
q2-reliable,65.000,53576,,53576,0,47476,8667,2231068,2578802,3423607,3486553,9702,65644,100802,163550,223811
q2-reliable,66.000,53488,,53698,0,50096,27720,2234059,2434831,3236645,3372203,6160,58531,91465,160743,196856
q2-reliable,67.000,50088,,49939,0,52124,76571,1433094,2551297,2991663,3086071,4010,64502,101006,172254,212637
q2-reliable,68.000,53083,,53291,0,50447,3754,2073205,2533679,2932230,2975675,4521,65111,92691,156625,176186
q2-reliable,69.000,54390,,54121,0,48145,277115,2013282,2622042,2785602,2842784,6782,58334,103057,157590,194020
q2-reliable,70.000,51461,,51523,0,51160,85519,1490845,2562733,2794823,2848977,6213,70967,102128,164937,212208
q2-reliable,71.000,54732,,54670,0,48048,137814,1853187,2710221,2894766,2927392,4607,65440,88612,134316,171446
q2-reliable,72.000,51592,,51628,0,51681,461518,1682596,2763021,2895259,3024860,7708,70254,103405,154350,208265
q2-reliable,73.000,49757,,49724,0,52603,19996,1546978,2794758,3047317,3168961,5106,61727,94259,159803,180386
q2-reliable,74.000,53342,,53339,0,50557,48842,2423599,2923681,3131376,3195252,4262,61729,90626,148582,254321
q2-reliable,75.000,55011,,55011,0,46471,11927,2290662,3097952,3224681,3337057,5493,62839,87211,148991,215196
q2-reliable,76.000,51018,,51050,0,50334,203581,2265341,3094563,3408299,3465481,6446,66764,96062,155605,194892
q2-reliable,77.000,47578,,47546,0,55153,367041,1915752,3015513,3437267,3513469,4149,65723,103461,179249,201787
q2-reliable,78.000,54996,,55192,0,46372,379501,1917819,2756226,3657555,3773267,4977,62340,95943,153148,182907
q2-reliable,79.000,49721,,49619,0,54020,435262,1878904,3559998,3798375,3829896,3544,73948,106933,169323,209214
q2-reliable,80.000,52501,,52407,0,47542,543583,1694450,2580971,3786451,3902634,2605,62229,90870,155930,209132
q2-reliable,81.000,53774,,53774,0,47996,544118,2023728,3842065,4013278,4095840,4284,59252,99346,155278,196787
q2-reliable,82.000,55027,,56159,0,48285,692947,2132256,3927705,4133678,4159913,8398,63540,97280,172048,218672
q2-reliable,83.000,52816,,52078,0,48353,541176,1750608,2800616,4219896,4277044,2662,64717,91622,146920,189719
q2-reliable,84.000,53354,,52960,0,50349,616840,1910161,2991469,4324962,4356865,5188,61652,92212,147977,168600
q2-reliable,85.000,55299,,55299,0,48995,702601,2197909,3288585,4546892,4610577,6033,62110,104902,166189,182064
q2-reliable,86.000,54081,,54147,0,47299,755103,2223221,4083542,4685308,4773689,5003,59306,88909,151789,190027
q2-reliable,87.000,50405,,50339,0,49567,828158,2201544,3558995,4946720,4992260,4071,72391,104787,150991,182586
q2-reliable,88.000,53408,,53526,0,49106,913358,2483555,3434079,4978383,5050291,3943,64400,98350,152356,189827
q2-reliable,89.000,49088,,48970,0,53392,781753,2498597,4511353,4861970,4958363,9513,65598,107150,167252,189634
q2-reliable,90.000,52948,,52948,0,50397,550437,2492398,4740253,5044991,5112468,2845,65392,95378,171061,227376
q2-reliable,91.000,49604,,49604,0,53669,723328,2482526,4739885,5120919,5156530,3761,67102,102756,181425,204580
q2-reliable,92.000,54348,,55235,0,46091,704283,2311119,3241078,5240336,5296370,5088,58355,87497,162953,214133
q2-reliable,93.000,49180,,48293,0,52178,786316,2317866,3204617,5311548,5365495,4387,68903,95601,169226,258039
q2-reliable,94.000,50620,,50869,0,51044,741343,2276951,2975417,5590625,5664059,3807,73665,104376,145909,184021
q2-reliable,95.000,52919,,52707,0,49303,432893,2383570,3075491,5668962,5741537,4355,62291,95674,146995,171660
q2-reliable,96.000,55676,,56075,0,47314,249066,2574894,5564235,5862553,5953806,2289,62384,90526,160910,200279
q2-reliable,97.000,55384,,54970,0,45320,286125,2662387,5664636,6161806,6289050,4464,63667,87734,139244,174934
q2-reliable,98.000,52619,,52598,0,48789,459095,2864958,3093077,6476713,6542301,1949,62285,89292,145326,195778
q2-reliable,99.000,51770,,51770,0,50589,560785,2989363,5978088,6529042,6568279,4161,67084,96721,146878,285010
