id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,30313,,30099,0,29277,195,18196,22944,26703,27819,81,2478,4804,9199,14387
warmup,2.000,54967,,54724,0,55668,392,5329,13737,27497,31234,119,7422,8315,11607,18160
warmup,3.000,62830,,62787,0,62906,2418,4850,5438,6849,7652,3227,7685,8452,9537,10165
warmup,4.000,65114,,65114,0,65078,2402,4745,5346,6459,7812,876,7408,8099,8891,9733
warmup,5.000,65691,,65702,0,65707,1864,4554,5099,6183,7143,2074,7302,7997,8964,9729
warmup,6.000,62539,,62528,0,62492,2191,4811,5416,6851,8330,3191,7793,8629,9462,9976
warmup,7.000,65006,,65059,0,65006,2397,4568,5170,6298,8551,2183,7428,8110,9102,9706
warmup,8.000,65508,,65500,0,65574,2459,4831,5588,7086,9352,1999,7332,8021,9024,9612
warmup,9.000,63505,,63533,0,63501,1844,4751,5277,6288,7913,526,7611,8328,9360,10336
warmup,10.000,65180,,65108,0,65210,2526,4535,5099,5830,6588,3383,7479,8108,8950,9550
warmup,11.000,63989,,63988,0,63948,2346,4631,5083,5850,6960,2370,7526,8285,9109,9790
warmup,12.000,64623,,64623,0,64622,1978,4623,5073,6170,7766,603,7504,8212,9213,10026
warmup,13.000,65071,,65117,0,65068,2586,4612,5319,6471,7778,2541,7414,8107,9070,9600
warmup,14.000,64607,,64608,0,64597,1848,4597,5113,6069,6718,4128,7499,8176,9198,9760
warmup,15.000,64834,,64787,0,64918,2370,4607,5007,6023,7058,3229,7454,8110,9097,9907
warmup,16.000,65931,,65931,0,65827,2540,4518,5062,6101,7799,3245,7305,7990,8866,9621
warmup,17.000,65570,,65570,0,65607,2390,4543,5040,5876,6427,3080,7392,8038,8857,9543
warmup,18.000,66050,,66061,0,66077,2307,4732,5408,6348,7403,4213,7391,7980,8790,9480
warmup,19.000,63542,,63531,0,63483,2391,4683,5245,6140,6839,3777,7647,8423,9575,10364
warmup,20.000,64583,,64583,0,64542,2881,4802,5439,6353,7325,3427,7513,8175,9134,9684
warmup,21.000,64868,,64951,0,64961,2260,4840,5543,7221,8430,3228,7370,8196,9235,10061
warmup,22.000,60785,,60702,0,60761,2834,4723,5121,5804,6720,4781,8094,8817,9598,10037
warmup,23.000,64218,,64234,0,64181,3064,4723,5248,6218,7093,3839,7453,8215,9299,9939
warmup,24.000,65289,,65275,0,65402,2119,4709,5224,6194,6962,3600,7355,8120,8999,9488
warmup,25.000,61104,,61172,0,60933,2576,4766,5276,6121,7372,3456,7987,8933,9752,10133
warmup,26.000,63511,,63441,0,63574,2704,4851,5438,6732,8532,4078,7657,8373,9499,10287
warmup,27.000,64769,,64770,0,64754,3035,4580,5061,5902,7037,4435,7500,8068,9086,9656
warmup,28.000,64400,,64552,0,64390,2478,4654,5290,6259,7181,3600,7462,8200,9351,10198
warmup,29.000,64861,,64713,0,64907,2296,4717,5297,6238,7365,4536,7507,8172,9122,9702
warmup,30.000,64616,,64611,0,64656,2048,4873,5333,6366,7056,4299,7546,8170,9130,10028
warmup,31.000,63808,,63808,0,63759,2514,4681,5318,6367,7181,4193,7506,8335,9381,10128
warmup,32.000,64240,,64240,0,64251,236,4659,5162,5885,6443,123,7521,8230,9274,9773
warmup,33.000,63377,,63378,0,63380,2614,4728,5286,5977,6525,3065,7594,8300,9342,9886
warmup,34.000,64811,,64840,0,64806,2231,4715,5270,6238,6828,3391,7487,8241,9151,9710
warmup,35.000,66248,,66234,0,66226,2480,4525,4993,5757,6162,3366,7264,7898,8787,9440
warmup,36.000,64442,,64428,0,64497,2541,4683,5317,6248,6688,3995,7497,8162,9111,9817
warmup,37.000,63958,,64001,0,63955,1866,4845,5596,6824,7866,4061,7665,8296,9309,9990
warmup,38.000,65496,,65465,0,65429,2518,4761,5294,6666,7797,4099,7431,8054,8965,9652
warmup,39.000,66650,,66637,0,66745,2144,4607,5118,6232,6931,2333,7281,7905,8781,9383
warmup,40.000,64148,,64148,0,64107,2196,4620,5127,6061,6758,2973,7532,8209,9240,9807
warmup,41.000,66376,,66381,0,66347,2697,4623,5175,6442,7012,3533,7340,7904,8791,9272
warmup,42.000,64709,,64704,0,64666,2765,4607,5156,6229,7829,3906,7495,8077,9072,10539
warmup,43.000,66230,,66281,0,66311,2451,4636,5290,6198,6843,3130,7303,7876,8782,9836
warmup,44.000,66266,,66221,0,66075,2382,4654,5228,6098,7245,3973,7259,7923,8743,9187
warmup,45.000,65836,,65831,0,65968,2202,4557,5053,5909,6620,2233,7325,7945,8955,9665
warmup,46.000,65891,,65895,0,65965,2652,4534,5081,6211,6909,3477,7308,8002,8859,9349
warmup,47.000,66115,,66127,0,66103,2525,4521,5058,6179,7114,3400,7363,8048,8746,9280
warmup,48.000,66603,,66593,0,66504,2581,4504,4990,5789,6676,3828,7349,7891,8606,9094
warmup,49.000,63011,,63005,0,63050,2632,4780,5251,6047,6627,4039,7628,8405,9327,9813
warmup,50.000,63798,,63844,0,63860,2666,4823,5392,6705,8438,2819,7491,8200,9285,9669
warmup,51.000,64377,,64343,0,64332,2736,4765,5372,6595,8057,3712,7532,8258,9391,10066
warmup,52.000,64725,,64712,0,64741,2672,4755,5322,6505,7514,4198,7396,8153,9199,10016
warmup,53.000,64988,,65004,0,64969,2813,4770,5408,6373,7279,3892,7489,8122,9121,9503
warmup,54.000,65240,,65238,0,65269,2748,4533,5028,5957,6833,4077,7423,8116,9030,9852
warmup,55.000,63250,,63292,0,63190,1657,4816,5411,6624,7375,2320,7603,8490,9521,10147
warmup,56.000,61971,,61995,0,62023,2658,4706,5173,6026,7383,4582,7882,8787,9549,10033
warmup,57.000,59610,,59554,0,59690,2703,4735,5197,5965,6736,3937,8166,8990,9839,11367
warmup,58.000,62399,,62376,0,62342,2094,4935,5547,7226,7934,3715,7804,8566,9607,10335
warmup,59.000,62953,,63019,0,62911,2476,4756,5325,6542,7925,4668,7559,8434,9403,10129
warmup,60.000,65775,,65778,0,65733,2713,4663,5143,6080,6803,4110,7364,7995,8870,9545
