Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分44秒   999    103102    4.00    1.00    0.00    0.00    5.00     0     72.00      0.00 2673100  117440   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分45秒   999    103102  242.00   65.00    0.00    0.00  307.00     0  88092.00      0.00 2784616  188888   0.58  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分46秒   999    103102  295.00   86.00    0.00    0.00  381.00     0 143884.00      0.00 2775528  184404   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分47秒   999    103102  270.00  107.00    0.00    0.00  377.00     0  54154.00      0.00 2748764  171808   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分48秒   999    103102  277.00   99.00    0.00    0.00  376.00     0  10122.00      0.00 2744040  170696   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分49秒   999    103102  274.00  102.00    0.00    0.00  376.00     0   4174.00      0.00 2743816  171352   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分50秒   999    103102  265.00  113.00    0.00    0.00  378.00     0   3505.00      0.00 2743664  171768   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分51秒   999    103102  263.00  114.00    0.00    0.00  377.00     0   2995.00      0.00 2743584  172480   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分52秒   999    103102  280.00   96.00    0.00    0.00  376.00     0   2138.00      0.00 2741024  169748   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分53秒   999    103102  263.00  113.00    0.00    0.00  376.00     0   2215.00      0.00 2740944  170268   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分54秒   999    103102  268.00  109.00    0.00    0.00  377.00     0   1893.00      0.00 2740028  169156   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分55秒   999    103102  269.00  108.00    0.00    0.00  377.00     0   1824.00      0.00 2739580  167972   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分56秒   999    103102  272.00  104.00    0.00    0.00  376.00     0   1948.00      0.00 2739500  167292   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分57秒   999    103102  275.00  102.00    0.00    0.00  377.00     0   1532.00      0.00 2738396  167132   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分58秒   999    103102  265.00  112.00    0.00    0.00  377.00     0   1172.00      0.00 2737372  166376   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时32分59秒   999    103102  275.00  101.00    0.00    0.00  376.00     0   1214.00      0.00 2736780  166256   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时33分00秒   999    103102  270.00  106.00    0.00    0.00  376.00     0   1042.00      0.00 2735244  166520   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
