Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分21秒   999    114355   22.00    5.00    0.00    0.00   27.00     2     21.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分22秒   999    114355   46.00   12.00    0.00    0.00   58.00     2     49.00      0.00 2667832  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分23秒   999    114355   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分24秒   999    114355   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分25秒   999    114355   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分26秒   999    114355   43.00   11.00    0.00    0.00   54.00     2     31.00      0.00 2667832  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分27秒   999    114355   42.00   11.00    0.00    0.00   53.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分28秒   999    114355   40.00   13.00    0.00    0.00   53.00     2     23.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分29秒   999    114355   45.00    8.00    0.00    0.00   53.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分30秒   999    114355   44.00   10.00    0.00    0.00   54.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分31秒   999    114355   42.00   12.00    0.00    0.00   54.00     2      3.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分32秒   999    114355   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分33秒   999    114355   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分34秒   999    114355   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分35秒   999    114355   44.00   10.00    0.00    0.00   54.00     2      0.00      0.00 2667320  116816   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分36秒   999    114355   43.00   11.00    0.00    0.00   54.00     2     60.00      0.00 2667832  116944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分37秒   999    114355   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2667832  116944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分38秒   999    114355   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2667832  116944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分39秒   999    114355   43.00   11.00    0.00    0.00   54.00     2     11.00      0.00 2667832  117072   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分40秒   999    114355   38.00   14.00    0.00    0.00   52.00     2      0.00      0.00 2667832  117072   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分41秒   999    114355   44.00   10.00    0.00    0.00   54.00     2     37.00      0.00 2667832  117200   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分42秒   999    114355   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2667832  117200   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分43秒   999    114355   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2667832  117200   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分44秒   999    114355   35.00   19.00    0.00    0.00   54.00     2      0.00      0.00 2667832  117200   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分45秒   999    114355   33.00   19.00    0.00    0.00   52.00     2      1.00      0.00 2667832  117200   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分46秒   999    114355   32.00   22.00    0.00    0.00   54.00     2     27.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分47秒   999    114355   39.00   14.00    0.00    0.00   53.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分48秒   999    114355   42.00   10.00    0.00    0.00   52.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分49秒   999    114355   34.00   20.00    0.00    0.00   54.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分50秒   999    114355   35.00   18.00    0.00    0.00   53.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分51秒   999    114355   44.00    9.00    0.00    0.00   53.00     2      3.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分52秒   999    114355   38.00   14.00    0.00    0.00   52.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分53秒   999    114355   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分54秒   999    114355   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分55秒   999    114355   41.00   12.00    0.00    0.00   53.00     2      0.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分56秒   999    114355   43.00   12.00    0.00    0.00   55.00     2      1.00      0.00 2667576  116968   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分57秒   999    114355   42.00    9.00    0.00    0.00   51.00     2     34.00      0.00 2668088  117096   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分58秒   999    114355   41.00   12.00    0.00    0.00   53.00     2      0.00      0.00 2667576  117096   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时57分59秒   999    114355   43.00   10.00    0.00    0.00   53.00     2      0.00      0.00 2667576  117096   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时58分00秒   999    114355   44.00    9.00    0.00    0.00   53.00     2      0.00      0.00 2667576  117096   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
13时58分01秒   999    114355   42.00   11.00    0.00    0.00   53.00     2      0.00      0.00 2667576  117096   0.36  beam.smp

