Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分32秒   999    116252    2.00    1.00    0.00    0.00    3.00     1     24.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分33秒   999    116252   47.00   18.00    0.00    0.00   65.00     1     29.00      0.00 2668512  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分34秒   999    116252   52.00   14.00    0.00    0.00   66.00     1     11.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分35秒   999    116252   40.00   16.00    0.00    0.00   56.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分36秒   999    116252   42.00   15.00    0.00    0.00   57.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分37秒   999    116252   45.00   12.00    0.00    0.00   57.00     1     16.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分38秒   999    116252   39.00   14.00    0.00    0.00   53.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分39秒   999    116252   46.00    7.00    0.00    0.00   53.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分40秒   999    116252   42.00   13.00    0.00    0.00   55.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分41秒   999    116252   44.00    9.00    0.00    0.00   53.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分42秒   999    116252   43.00   11.00    0.00    0.00   54.00     1      6.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分43秒   999    116252   43.00   11.00    0.00    0.00   54.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分44秒   999    116252   41.00   12.00    0.00    0.00   53.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分45秒   999    116252   44.00   10.00    0.00    0.00   54.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分46秒   999    116252   42.00   12.00    0.00    0.00   54.00     1      7.00      0.00 2668512  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分47秒   999    116252   46.00    9.00    0.00    0.00   55.00     1     40.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时05分48秒   999    116252   41.00   12.00    0.00    0.00   53.00     1      0.00      0.00 2668000  115776   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
