id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.000,10019,,10019,0,0,0,0,0,0,0,209,383,544,1766,3170
q4-join-late,2.000,10009,,10009,0,0,0,0,0,0,0,256,520,552,606,669
q4-join-late,3.000,10022,,10010,0,0,0,0,0,0,0,421,511,540,579,598
q4-join-late,4.000,9997,,10009,0,0,0,0,0,0,0,425,513,540,577,605
q4-join-late,5.000,10001,,10001,0,0,0,0,0,0,0,199,504,535,575,614
q4-join-late,6.000,10013,,10013,0,0,0,0,0,0,0,401,513,542,575,607
q4-join-late,7.000,10013,,10002,0,0,0,0,0,0,0,407,510,534,572,593
q4-join-late,8.000,10013,,10013,0,0,0,0,0,0,0,406,503,532,573,602
q4-join-late,9.000,10006,,10017,0,0,0,0,0,0,0,408,508,536,574,600
q4-join-late,10.000,10016,,10016,0,0,0,0,0,0,0,206,501,532,570,677
q4-join-late,11.000,10007,,9995,0,0,0,0,0,0,0,409,506,532,565,586
q4-join-late,12.000,9997,,10009,0,0,0,0,0,0,0,414,505,531,568,597
q4-join-late,13.000,10014,,10014,0,0,0,0,0,0,0,405,506,533,567,591
q4-join-late,14.000,10008,,9996,0,0,0,0,0,0,0,406,505,533,565,591
q4-join-late,15.000,10013,,10013,0,0,0,0,0,0,0,184,491,528,575,3364
q4-join-late,16.000,10010,,10022,0,0,0,0,0,0,0,414,513,537,575,703
q4-join-late,17.000,10008,,9997,0,0,0,0,0,0,0,419,520,545,579,600
q4-join-late,18.000,10000,,10011,0,0,0,0,0,0,0,414,520,546,577,597
q4-join-late,19.000,10009,,10009,0,0,0,0,0,0,0,422,518,543,577,605
q4-join-late,20.000,10007,,10007,0,0,0,0,0,0,0,294,514,538,573,598
q4-join-late,21.000,10005,,9993,0,0,0,0,0,0,0,375,509,533,565,588
q4-join-late,22.000,9999,,10011,0,0,0,0,0,0,0,416,515,540,569,592
q4-join-late,23.000,10011,,10011,0,0,0,0,0,0,0,410,512,537,571,591
q4-join-late,24.000,10001,,10001,0,0,0,0,0,0,0,421,515,536,570,595
q4-join-late,25.000,10014,,10014,0,0,0,0,0,0,0,250,515,539,573,607
q4-join-late,26.000,10008,,9996,0,0,0,0,0,0,0,401,517,539,569,588
q4-join-late,27.000,10013,,10014,0,0,0,0,0,0,0,417,515,538,570,591
q4-join-late,28.000,9996,,10007,0,0,0,0,0,0,0,404,516,538,572,599
q4-join-late,29.000,10014,,10014,0,0,0,0,0,0,0,426,517,541,575,599
q4-join-late,30.000,10013,,10013,0,0,0,0,0,0,0,224,516,541,576,598
q4-join-late,31.000,10003,,10003,0,0,0,0,0,0,0,421,519,543,575,602
q4-join-late,32.000,10001,,10001,0,0,0,0,0,0,0,403,514,539,569,598
q4-join-late,33.000,10001,,10001,0,0,0,0,0,0,0,258,518,540,575,1121
q4-join-late,34.000,10015,,10015,0,0,0,0,0,0,0,409,512,535,564,587
q4-join-late,35.000,10007,,9995,0,0,0,0,0,0,0,218,518,541,577,620
q4-join-late,36.000,10012,,10014,0,0,0,0,0,0,0,413,519,541,576,598
q4-join-late,37.000,10012,,10022,0,0,0,0,0,0,0,359,518,541,571,603
q4-join-late,38.000,10001,,10001,0,0,0,0,0,0,0,409,519,545,578,605
q4-join-late,39.000,10001,,10001,0,0,0,0,0,0,0,418,514,538,568,595
q4-join-late,40.000,10013,,10013,0,0,0,0,0,0,0,208,513,538,573,620
q4-join-late,41.000,10002,,10000,0,0,0,0,0,0,0,405,513,537,567,587
q4-join-late,42.000,10012,,10014,0,0,0,0,0,0,0,205,512,534,570,612
q4-join-late,43.000,10010,,10010,0,0,0,0,0,0,0,412,509,536,570,602
q4-join-late,44.000,10013,,10008,0,0,0,0,0,0,0,396,509,533,568,601
q4-join-late,45.000,10001,,10006,0,0,0,0,0,0,0,304,512,535,571,598
q4-join-late,46.000,10008,,10008,0,0,0,0,0,0,0,411,512,537,572,595
q4-join-late,47.000,10019,,10008,0,0,0,0,0,0,0,412,510,533,566,593
q4-join-late,48.000,9996,,10007,0,0,0,0,0,0,0,408,512,536,573,674
q4-join-late,49.000,10019,,10007,0,0,0,0,0,0,0,412,513,537,571,598
q4-join-late,50.000,9998,,10010,0,0,0,0,0,0,0,240,513,539,571,595
q4-join-late,51.000,10023,,10011,0,0,0,0,0,0,0,407,515,538,574,608
q4-join-late,52.000,9998,,10010,0,0,0,0,0,0,0,219,514,538,580,652
q4-join-late,53.000,10003,,10003,0,0,0,0,0,0,0,299,510,533,572,589
q4-join-late,54.000,10021,,10010,0,0,0,0,0,0,0,415,518,541,576,601
q4-join-late,55.000,10012,,10011,0,0,0,0,0,0,0,190,507,533,568,638
q4-join-late,56.000,10014,,10017,0,0,0,0,0,0,0,401,506,531,564,584
q4-join-late,57.000,10014,,10013,0,0,0,0,0,0,0,416,508,535,566,593
q4-join-late,58.000,10017,,10016,0,0,0,0,0,0,0,409,508,534,571,601
q4-join-late,59.000,10003,,10002,0,0,0,0,0,0,0,397,506,529,564,587
q4-join-late,60.000,10015,,10014,0,0,0,0,0,0,0,203,507,533,571,601
q4-join-late,61.000,9999,,10012,0,0,0,0,0,0,0,381,509,540,589,632
q4-join-late,62.000,10002,,10002,0,0,0,0,0,0,0,402,509,533,563,589
q4-join-late,63.000,10020,,10010,0,0,0,0,0,0,0,188,502,527,562,603
q4-join-late,64.000,10015,,10013,0,0,0,0,0,0,0,385,506,533,567,594
q4-join-late,65.000,10007,,10008,0,0,0,0,0,0,0,268,508,535,569,601
q4-join-late,66.000,9997,,10008,0,0,0,0,0,0,0,412,507,531,561,584
q4-join-late,67.000,10004,,10004,0,0,0,0,0,0,0,410,507,533,565,597
q4-join-late,68.000,10019,,10008,0,0,0,0,0,0,0,393,505,530,568,614
q4-join-late,69.000,10009,,10020,0,0,0,0,0,0,0,408,509,534,566,588
q4-join-late,70.000,10014,,10002,0,0,0,0,0,0,0,191,502,528,569,599
q4-join-late,71.000,10005,,10017,0,0,0,0,0,0,0,402,507,532,564,590
q4-join-late,72.000,10014,,10014,0,0,0,0,0,0,0,416,510,536,575,596
q4-join-late,73.000,10007,,10007,0,0,0,0,0,0,0,207,506,533,571,2054
q4-join-late,74.000,10002,,10002,0,0,0,0,0,0,0,412,510,536,568,590
q4-join-late,75.000,10016,,10016,0,0,0,0,0,0,0,187,506,534,575,610
q4-join-late,76.000,10009,,9997,0,0,0,0,0,0,0,216,507,533,572,605
q4-join-late,77.000,9997,,10009,0,0,0,0,0,0,0,419,514,542,575,595
q4-join-late,78.000,10012,,10000,0,0,0,0,0,0,0,417,513,538,574,598
q4-join-late,79.000,10009,,10021,0,0,0,0,0,0,0,407,508,531,568,591
q4-join-late,80.000,10014,,10014,0,0,0,0,0,0,0,191,505,530,565,592
q4-join-late,81.000,10006,,9996,0,0,0,0,0,0,0,387,506,530,562,583
q4-join-late,82.000,10000,,10007,0,0,0,0,0,0,0,411,511,535,571,596
q4-join-late,83.000,10003,,10006,0,0,0,0,0,0,0,409,505,531,564,592
q4-join-late,84.000,10003,,10003,0,0,0,0,0,0,0,406,515,537,575,607
q4-join-late,85.000,10020,,10011,0,0,0,0,0,0,0,216,509,533,572,603
q4-join-late,86.000,9999,,10008,0,0,0,0,0,0,0,406,512,535,573,599
q4-join-late,87.000,10020,,10009,0,0,0,0,0,0,0,415,509,533,571,607
q4-join-late,88.000,10014,,10016,0,0,0,0,0,0,0,418,515,538,577,605
q4-join-late,89.000,10006,,10003,0,0,0,0,0,0,0,198,509,538,576,602
q4-join-late,90.000,10006,,10018,0,0,0,0,0,0,0,210,511,537,577,609
q4-join-late,91.000,10007,,10007,0,0,0,0,0,0,0,413,517,543,580,603
