Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时21分56秒   999    120031    9.00    2.00    0.00    0.00   11.00     2     90.00      0.00 2671940  115440   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时21分57秒   999    120031   61.00   17.00    0.00    0.00   78.00     2     87.00      0.00 2671940  115568   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时21分58秒   999    120031   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2670476  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时21分59秒   999    120031   43.00   10.00    0.00    0.00   53.00     2     34.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分00秒   999    120031   39.00   16.00    0.00    0.00   55.00     2     29.00      0.00 2670988  115076   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分01秒   999    120031   45.00   10.00    0.00    0.00   55.00     2    107.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分02秒   999    120031   44.00   10.00    0.00    0.00   54.00     2      0.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分03秒   999    120031   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分04秒   999    120031   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分05秒   999    120031   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2670988  115204   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分06秒   999    120031   44.00   11.00    0.00    0.00   55.00     2    144.00      0.00 2670988  115112   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分07秒   999    120031   43.00   11.00    0.00    0.00   54.00     2     27.00      0.00 2670988  115112   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分08秒   999    120031   43.00   12.00    0.00    0.00   55.00     2     25.00      0.00 2670988  115112   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分09秒   999    120031   43.00   12.00    0.00    0.00   55.00     2     30.00      0.00 2670988  115112   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分10秒   999    120031   43.00   11.00    0.00    0.00   54.00     2     35.00      0.00 2670988  115112   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分11秒   999    120031   39.00   16.00    0.00    0.00   55.00     2    166.00      0.00 2670988  115284   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时22分12秒   999    120031   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2670988  115284   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
