Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分48秒   999    127920   54.00   14.00    0.00    0.00   68.00     0    180.00      0.00 2673144  116540   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分49秒   999    127920  182.00   35.00    0.00    0.00  217.00     0  49983.00      0.00 2704632  139636   0.43  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分50秒   999    127920  175.00   36.00    0.00    0.00  211.00     0  75461.00      0.00 2716796  146868   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分51秒   999    127920  181.00   35.00    0.00    0.00  216.00     0  68581.00      0.00 2723780  153116   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分52秒   999    127920  180.00   34.00    0.00    0.00  214.00     0  77103.00      0.00 2729052  153960   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分53秒   999    127920  181.00   36.00    0.00    0.00  217.00     0  75644.00      0.00 2721844  153328   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分54秒   999    127920  171.00   42.00    0.00    0.00  213.00     0  83426.00      0.00 2719072  150400   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分55秒   999    127920  186.00   31.00    0.00    0.00  217.00     0  79627.00      0.00 2725420  154424   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分56秒   999    127920  179.00   35.00    0.00    0.00  214.00     0  78466.00      0.00 2722384  153212   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分57秒   999    127920  173.00   38.00    0.00    0.00  211.00     0  77107.00      0.00 2719872  153884   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分58秒   999    127920  182.00   33.00    0.00    0.00  215.00     0  74304.00      0.00 2723824  151724   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时43分59秒   999    127920  179.00   34.00    0.00    0.00  213.00     0  75341.00      0.00 2720268  153924   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时44分00秒   999    127920  176.00   32.00    0.00    0.00  208.00     0  78588.00      0.00 2726624  153112   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时44分01秒   999    127920  181.00   33.00    0.00    0.00  214.00     0  74537.00      0.00 2725876  153584   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时44分02秒   999    127920  171.00   40.00    0.00    0.00  211.00     0  75722.00      0.00 2723428  156368   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时44分03秒   999    127920  176.00   36.00    0.00    0.00  212.00     0  76826.00      0.00 2727368  155500   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时44分04秒   999    127920  187.00   29.00    0.00    0.00  216.00     0  78945.00      0.00 2729576  155720   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
