id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,35323,,34823,0,34756,1126,20775,22439,28472,30972,108,4596,8202,11441,15751
warmup,2.000,61042,,61055,0,61243,353,5157,6722,20480,32724,126,6805,7702,9009,13946
warmup,3.000,66995,,66982,0,67038,1318,4645,5357,6763,9667,334,7165,7821,8685,9281
warmup,4.000,67206,,67215,0,67222,2360,4569,5116,6108,8597,1262,7218,7882,8593,9374
warmup,5.000,66276,,66267,0,66294,1705,4506,5092,6230,7646,2732,7247,7898,8859,9641
warmup,6.000,66472,,66472,0,66423,2743,4584,5053,6044,6722,4354,7325,7894,8729,9231
warmup,7.000,67463,,67472,0,67568,2144,4529,5113,5970,7362,2525,7152,7815,8631,9074
warmup,8.000,66336,,66327,0,66284,2546,4525,5110,5996,6816,1161,7323,7920,8709,9325
warmup,9.000,67451,,67451,0,67419,1903,4488,5145,6214,7751,2401,7174,7728,8637,9278
warmup,10.000,65039,,65075,0,65111,2452,4496,5137,6292,7242,590,7493,8122,8932,9671
warmup,11.000,65121,,65133,0,65089,2509,4518,5021,5980,7495,1613,7494,8144,9211,9846
warmup,12.000,65609,,65642,0,65601,2217,4546,5138,6221,7726,1353,7341,8025,9059,9794
warmup,13.000,64704,,64623,0,64607,2517,4616,5193,6182,6927,1034,7394,8076,9208,10006
warmup,14.000,66707,,66709,0,66775,2587,4467,4972,5870,6909,3699,7249,7889,8834,9277
warmup,15.000,65962,,65960,0,65919,2657,4503,5063,5904,6665,3072,7421,7961,8781,9319
warmup,16.000,66255,,66267,0,66313,2499,4554,5064,5989,7045,2355,7365,8033,8964,9625
warmup,17.000,66273,,66288,0,66255,2237,4454,4980,5711,6101,4313,7352,7989,8992,9624
warmup,18.000,65712,,65694,0,65740,2334,4518,4973,5767,6592,3798,7422,8033,8820,9494
warmup,19.000,66415,,66473,0,66447,1966,4515,5037,5790,6751,3590,7315,8028,8866,9271
warmup,20.000,65410,,65343,0,65356,2348,4530,5021,5937,6581,4578,7410,8071,9012,9728
warmup,21.000,64557,,64557,0,64568,2042,4660,5216,6237,6934,3984,7532,8258,9133,9879
warmup,22.000,62113,,62161,0,62146,2462,4800,5309,6451,7874,4495,7848,8641,9459,9875
warmup,23.000,66544,,66496,0,66500,2464,4486,4947,5615,6404,4599,7331,7891,8735,9316
warmup,24.000,66372,,66379,0,66429,2731,4520,5088,5808,7175,3997,7351,7954,8771,9370
warmup,25.000,66823,,66848,0,66788,2411,4528,5000,5625,6081,3971,7207,7895,8713,9264
warmup,26.000,66360,,66341,0,66391,2099,4473,5063,6002,6749,3990,7379,7982,8738,9330
warmup,27.000,66151,,66138,0,66146,2905,4504,5056,5926,6643,4443,7329,7927,8761,9445
warmup,28.000,66414,,66414,0,66347,2746,4534,4995,5681,6334,4927,7325,7915,8799,9351
warmup,29.000,66500,,66500,0,66575,2029,4411,4950,5826,6624,5094,7271,7884,8775,9280
warmup,30.000,67623,,67625,0,67580,2346,4390,4868,5698,6544,4298,7214,7838,8527,8954
warmup,31.000,67124,,67122,0,67123,316,4281,4780,5855,6531,138,7203,7749,8440,8768
warmup,32.000,67642,,67650,0,67622,2890,4388,4825,5553,5942,4786,7115,7705,8453,8860
warmup,33.000,67648,,67640,0,67696,2814,4359,4797,5541,5991,4736,7169,7767,8508,9190
warmup,34.000,67314,,67322,0,67245,2500,4439,4967,5966,6778,3516,7227,7809,8497,9157
warmup,35.000,66680,,66672,0,66653,2575,4502,4940,5869,6697,4206,7317,7929,8776,9361
warmup,36.000,64680,,64754,0,64519,2874,4422,4931,5804,6733,4232,7533,8108,9039,9587
warmup,37.000,66135,,66082,0,66356,2160,4428,4883,6018,7156,1907,7335,7917,8854,9632
warmup,38.000,66680,,66659,0,66661,2568,4550,5082,6026,6775,4109,7188,7829,8757,9379
warmup,39.000,66468,,66470,0,66526,2627,4575,5129,6018,6542,3819,7328,7852,8582,8950
warmup,40.000,65551,,65549,0,65492,3016,4490,5010,6076,6643,3615,7398,8038,8835,9544
warmup,41.000,66023,,66023,0,66093,2685,4570,5117,6240,6989,4000,7426,8012,8789,9279
warmup,42.000,66408,,66411,0,66415,2784,4525,5087,6149,7052,3018,7327,7896,8716,9585
warmup,43.000,66207,,66208,0,66141,2373,4503,5032,5937,6842,2765,7340,8037,8922,9431
warmup,44.000,67040,,67036,0,67038,2638,4600,5127,6394,7209,3664,7248,7850,8620,9441
warmup,45.000,66657,,66721,0,66640,2331,4438,5037,5943,6388,3529,7339,7987,8836,9487
warmup,46.000,65602,,65538,0,65566,2478,4443,4982,5682,6482,3239,7441,8103,8868,9500
warmup,47.000,67458,,67461,0,67540,2644,4401,4890,5776,6649,4706,7190,7813,8650,9182
warmup,48.000,66728,,66725,0,66655,2234,4509,5105,6216,7152,2989,7263,7894,8751,9776
warmup,49.000,66110,,66142,0,66142,2565,4497,5036,6154,7289,4226,7307,7980,8758,9526
warmup,50.000,66138,,66131,0,66213,2432,4304,4796,5500,6103,2956,7358,8019,8886,9437
warmup,51.000,65953,,65931,0,65904,2387,4536,5085,5769,6430,3553,7385,8111,8988,9512
warmup,52.000,65234,,65231,0,65306,2633,4567,5051,5904,6589,4081,7452,8143,8940,9526
warmup,53.000,64869,,64869,0,64847,2935,4519,5022,5734,6370,3967,7491,8063,9017,9647
warmup,54.000,65966,,65967,0,65869,1828,4508,5094,6124,6921,4171,7372,8038,9025,9938
warmup,55.000,62819,,62819,0,62917,2689,4720,5175,6000,6800,4114,7893,8644,9439,9931
warmup,56.000,65295,,65298,0,65154,3007,4530,5076,5897,6510,3729,7441,8008,9094,9663
warmup,57.000,65587,,65583,0,65760,2170,4512,5012,5983,6886,2845,7364,8018,8853,9734
warmup,58.000,66650,,66651,0,66534,2411,4511,5028,6047,7059,3672,7213,7916,8724,9152
warmup,59.000,66406,,66405,0,66449,2323,4589,5038,5802,6322,4888,7314,7959,8696,9098
warmup,60.000,65709,,65709,0,65630,2619,4473,4957,5893,6480,3165,7411,7997,8765,9436
