Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分07秒   999     76541   29.00    7.00    0.00    0.00   36.00     2   1485.00      0.00 2681804  121868   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分08秒   999     76541  213.00   90.00    0.00    0.00  303.00     2  27667.00      0.00 2718776  150844   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分09秒   999     76541  236.00   96.00    0.00    0.00  332.00     2   8524.00      0.00 2718256  151500   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分10秒   999     76541  233.00  103.00    0.00    0.00  336.00     2   4809.00      0.00 2718408  150616   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分11秒   999     76541  232.00  103.00    0.00    0.00  335.00     2   4225.00      0.00 2717016  150412   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分12秒   999     76541  233.00  105.00    0.00    0.00  338.00     2   4277.00      0.00 2718456  151568   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分13秒   999     76541  218.00  114.00    0.00    0.00  332.00     2   3220.00      0.00 2719112  152332   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分14秒   999     76541  219.00  105.00    0.00    0.00  324.00     2   2351.00      0.00 2719384  153256   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分15秒   999     76541  226.00  102.00    0.00    0.00  328.00     2   2085.00      0.00 2717848  152112   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分16秒   999     76541  226.00  105.00    0.00    0.00  331.00     2   1874.00      0.00 2718360  152644   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分17秒   999     76541  229.00  100.00    0.00    0.00  329.00     2   1765.00      0.00 2718872  153328   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分18秒   999     76541  232.00  100.00    0.00    0.00  332.00     2   1328.00      0.00 2719384  153196   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分19秒   999     76541  228.00   98.00    0.00    0.00  326.00     2   1388.00      0.00 2718872  152148   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分20秒   999     76541  224.00   98.00    0.00    0.00  322.00     2   1301.00      0.00 2718508  152736   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分21秒   999     76541  222.00  101.00    0.00    0.00  323.00     2   1785.00      0.00 2718508  152876   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分22秒   999     76541  219.00  106.00    0.00    0.00  325.00     2   1582.00      0.00 2720316  154248   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04时55分23秒   999     76541  229.00  100.00    0.00    0.00  329.00     2   1275.00      0.00 2718780  153320   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
