Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分09秒   999    103368   19.00    7.00    0.00    0.00   26.00     2    948.00      0.00 2677480  120128   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分10秒   999    103368  282.00   87.00    0.00    0.00  369.00     2  64788.00      0.00 2733840  157160   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分11秒   999    103368  272.00  106.00    0.00    0.00  378.00     2  35759.00      0.00 2733892  159436   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分12秒   999    103368  283.00   93.00    0.00    0.00  376.00     2   5654.00      0.00 2729776  158360   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分13秒   999    103368  268.00  110.00    0.00    0.00  378.00     2   2670.00      0.00 2727984  158012   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分14秒   999    103368  270.00  108.00    0.00    0.00  378.00     2   1876.00      0.00 2725552  156724   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分15秒   999    103368  272.00  107.00    0.00    0.00  379.00     2   1367.00      0.00 2726128  156416   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分16秒   999    103368  275.00  105.00    0.00    0.00  380.00     2   1404.00      0.00 2724736  155384   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分17秒   999    103368  266.00  112.00    0.00    0.00  378.00     2   1002.00      0.00 2722760  155868   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分18秒   999    103368  275.00  103.00    0.00    0.00  378.00     2    952.00      0.00 2723564  156096   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分19秒   999    103368  284.00   96.00    0.00    0.00  380.00     2   1041.00      0.00 2722476  156504   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分20秒   999    103368  277.00  102.00    0.00    0.00  379.00     2    690.00      0.00 2723132  157392   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分21秒   999    103368  276.00  103.00    0.00    0.00  379.00     2    254.00      0.00 2722108  156932   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分22秒   999    103368  278.00  101.00    0.00    0.00  379.00     2    808.00      0.00 2722620  156604   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分23秒   999    103368  269.00  111.00    0.00    0.00  380.00     2    965.00      0.00 2722620  156492   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分24秒   999    103368  276.00  102.00    0.00    0.00  378.00     2    638.00      0.00 2723132  156940   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时17分25秒   999    103368  265.00  114.00    0.00    0.00  379.00     2    478.00      0.00 2722892  157200   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
