Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分45秒   999    109764    4.00    1.00    0.00    0.00    5.00     2     67.00      0.00 2671240  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分46秒   999    109764  265.00   83.00    0.00    0.00  348.00     2  75331.00      0.00 2736888  165468   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分47秒   999    109764  296.00   80.00    0.00    0.00  376.00     2  97143.00      0.00 2738464  165104   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分48秒   999    109764  273.00  104.00    0.00    0.00  377.00     2  10941.00      0.00 2732460  160212   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分49秒   999    109764  271.00  107.00    0.00    0.00  378.00     2   6687.00      0.00 2730332  159224   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分50秒   999    109764  271.00  105.00    0.00    0.00  376.00     2   7949.00      0.00 2731912  158824   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分51秒   999    109764  263.00  115.00    0.00    0.00  378.00     2   4691.00      0.00 2731832  158828   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分52秒   999    109764  274.00  104.00    0.00    0.00  378.00     2   6669.00      0.00 2729976  157572   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分53秒   999    109764  260.00  115.00    0.00    0.00  375.00     2   5561.00      0.00 2731788  160476   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分54秒   999    109764  266.00  109.00    0.00    0.00  375.00     2   3690.00      0.00 2728656  158028   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分55秒   999    109764  271.00  106.00    0.00    0.00  377.00     2   1381.00      0.00 2728336  157392   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分56秒   999    109764  275.00  102.00    0.00    0.00  377.00     2   1766.00      0.00 2727232  156568   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分57秒   999    109764  267.00  110.00    0.00    0.00  377.00     2   1807.00      0.00 2725420  155896   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分58秒   999    109764  273.00  104.00    0.00    0.00  377.00     2   1006.00      0.00 2725420  155212   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时41分59秒   999    109764  266.00  112.00    0.00    0.00  378.00     2   1749.00      0.00 2723804  153776   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时42分00秒   999    109764  272.00  105.00    0.00    0.00  377.00     2   1737.00      0.00 2723628  154532   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06时42分01秒   999    109764  271.00  105.00    0.00    0.00  376.00     2    793.00      0.00 2724572  154572   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
