Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分21秒   999    121726   15.00    5.00    0.00    0.00   20.00     2    144.00      0.00 2675804  115940   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分22秒   999    121726   51.00   15.00    0.00    0.00   66.00     2     10.00      0.00 2675292  115740   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分23秒   999    121726   45.00   11.00    0.00    0.00   56.00     2      0.00      0.00 2675292  115740   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分24秒   999    121726   44.00   12.00    0.00    0.00   56.00     2      0.00      0.00 2675292  115740   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分25秒   999    121726   47.00    9.00    0.00    0.00   56.00     2      0.00      0.00 2675292  115740   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分26秒   999    121726   41.00   15.00    0.00    0.00   56.00     2     57.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分27秒   999    121726   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分28秒   999    121726   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分29秒   999    121726   46.00   10.00    0.00    0.00   56.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分30秒   999    121726   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分31秒   999    121726   42.00   14.00    0.00    0.00   56.00     2     18.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分32秒   999    121726   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分33秒   999    121726   46.00    8.00    0.00    0.00   54.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分34秒   999    121726   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分35秒   999    121726   41.00   15.00    0.00    0.00   56.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分36秒   999    121726   41.00   14.00    0.00    0.00   55.00     2     26.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时06分37秒   999    121726   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2674780  115492   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
