Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分46秒   999    125926   21.00    7.00    0.00    0.00   28.00     0    145.00      0.00 2668944  118196   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分47秒   999    125926   52.00    9.00    0.00    0.00   61.00     0     15.00      0.00 2668288  118196   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分48秒   999    125926   43.00   12.00    0.00    0.00   55.00     0     45.00      0.00 2667336  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分49秒   999    125926   40.00   16.00    0.00    0.00   56.00     0      0.00      0.00 2667336  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分50秒   999    125926   45.00   10.00    0.00    0.00   55.00     0      0.00      0.00 2667336  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分51秒   999    125926   42.00   14.00    0.00    0.00   56.00     0     56.00      0.00 2667592  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分52秒   999    125926   43.00   12.00    0.00    0.00   55.00     0     12.00      0.00 2667080  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分53秒   999    125926   44.00   11.00    0.00    0.00   55.00     0     21.00      0.00 2667080  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分54秒   999    125926   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2667080  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分55秒   999    125926   41.00   12.00    0.00    0.00   53.00     0      0.00      0.00 2667080  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分56秒   999    125926   42.00   12.00    0.00    0.00   54.00     0     47.00      0.00 2668104  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分57秒   999    125926   42.00   11.00    0.00    0.00   53.00     0      3.00      0.00 2667592  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分58秒   999    125926   44.00    9.00    0.00    0.00   53.00     0      4.00      0.00 2667592  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时22分59秒   999    125926   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2667592  118024   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
