Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时30分58秒   999    127963    3.00    1.00    0.00    0.00    4.00     3    131.00      0.00 2672640  117944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时30分59秒   999    127963   58.00   14.00    0.00    0.00   72.00     3    176.00      0.00 2674836  117948   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分00秒   999    127963   44.00   12.00    0.00    0.00   56.00     3      1.00      0.00 2673300  117948   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分01秒   999    127963   39.00   17.00    0.00    0.00   56.00     3      1.00      0.00 2672276  117784   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分02秒   999    127963   44.00   11.00    0.00    0.00   55.00     3      1.00      0.00 2671688  117596   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分03秒   999    127963   46.00   10.00    0.00    0.00   56.00     3     95.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分04秒   999    127963   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分05秒   999    127963   46.00    8.00    0.00    0.00   54.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分06秒   999    127963   45.00   11.00    0.00    0.00   56.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分07秒   999    127963   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分08秒   999    127963   46.00   10.00    0.00    0.00   56.00     3     13.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分09秒   999    127963   41.00   13.00    0.00    0.00   54.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分10秒   999    127963   43.00   11.00    0.00    0.00   54.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分11秒   999    127963   42.00   13.00    0.00    0.00   55.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分12秒   999    127963   45.00   10.00    0.00    0.00   55.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分13秒   999    127963   45.00   10.00    0.00    0.00   55.00     3      1.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时31分14秒   999    127963   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2671432  117340   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
