id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-drain,1.001,,,,,81580,17917875,18137026,18254617,18357167,18407829,,,,,
q5-drain,2.000,,,,,88491,17428361,17684894,17799380,17901963,17918045,,,,,
q5-drain,3.001,,,,,89643,16939049,17173949,17301580,17407118,17430691,,,,,
q5-drain,4.001,,,,,90583,16462121,16693035,16805758,16915356,16939455,,,,,
q5-drain,5.001,,,,,91041,15957290,16210778,16339248,16436895,16456786,,,,,
q5-drain,6.001,,,,,87851,15479082,15742084,15846332,15936259,15951437,,,,,
q5-drain,7.000,,,,,89574,14981733,15254184,15365132,15453020,15474089,,,,,
q5-drain,8.000,,,,,90189,14467086,14729878,14862891,14971348,14984411,,,,,
q5-drain,9.000,,,,,90035,13992567,14236660,14353111,14451125,14468836,,,,,
q5-drain,10.000,,,,,90221,13498801,13739274,13873047,13979150,13992741,,,,,
q5-drain,11.000,,,,,91367,12965883,13237447,13368125,13475663,13493996,,,,,
q5-drain,12.000,,,,,19802,12858206,12920499,12942111,12960065,12966289,,,,,
