Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分22秒   999    134929   57.00    9.00    0.00    0.00   66.00     2   1264.00      0.00 2678804  120256   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分23秒   999    134929  179.00   36.00    0.00    0.00  215.00     2  68283.00      0.00 2705944  141248   0.43  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分24秒   999    134929  182.00   39.00    0.00    0.00  221.00     2  94479.00      0.00 2715316  146664   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分25秒   999    134929  179.00   36.00    0.00    0.00  215.00     2  98049.00      0.00 2712452  148372   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分26秒   999    134929  175.00   42.00    0.00    0.00  217.00     2  94446.00      0.00 2710852  146632   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分27秒   999    134929  178.00   38.00    0.00    0.00  216.00     2  84075.00      0.00 2724804  154064   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分28秒   999    134929  182.00   35.00    0.00    0.00  217.00     2  78570.00      0.00 2723260  153680   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分29秒   999    134929  172.00   45.00    0.00    0.00  217.00     2  83212.00      0.00 2721732  154048   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分30秒   999    134929  179.00   33.00    0.00    0.00  212.00     2  80562.00      0.00 2729400  156996   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分31秒   999    134929  178.00   43.00    0.00    0.00  221.00     2  90159.00      0.00 2724524  153052   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分32秒   999    134929  180.00   36.00    0.00    0.00  216.00     2  84398.00      0.00 2720148  151948   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分33秒   999    134929  169.00   49.00    0.00    0.00  218.00     2  99844.00      0.00 2725020  153608   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分34秒   999    134929  169.00   47.00    0.00    0.00  216.00     2  85791.00      0.00 2717100  151716   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分35秒   999    134929  168.00   43.00    0.00    0.00  211.00     2  89048.00      0.00 2726372  150384   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分36秒   999    134929  175.00   41.00    0.00    0.00  216.00     2  91360.00      0.00 2723012  153748   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分37秒   999    134929  181.00   38.00    0.00    0.00  219.00     2  96276.00      0.00 2722696  153024   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时47分38秒   999    134929  175.00   40.00    0.00    0.00  215.00     2  91838.00      0.00 2718848  150872   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
