Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分07秒   999    136468   48.00   11.00    0.00    0.00   59.00     3     35.00      0.00 2670764  115868   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分08秒   999    136468  173.00   42.00    0.00    0.00  215.00     3  48559.00      0.00 2713512  147916   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分09秒   999    136468  169.00   44.00    0.00    0.00  213.00     3  76282.00      0.00 2717396  150364   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分10秒   999    136468  175.00   38.00    0.00    0.00  213.00     3  75951.00      0.00 2725104  154608   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分11秒   999    136468  171.00   38.00    0.00    0.00  209.00     3  73708.00      0.00 2725044  152908   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分12秒   999    136468  154.00   47.00    0.00    0.00  201.00     3  79714.00      0.00 2726288  153488   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分13秒   999    136468  164.00   39.00    0.00    0.00  203.00     3  80240.00      0.00 2720540  151388   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分14秒   999    136468  165.00   41.00    0.00    0.00  206.00     3  78446.00      0.00 2725944  154432   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分15秒   999    136468  174.00   33.00    0.00    0.00  207.00     3  80809.00      0.00 2724772  153884   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分16秒   999    136468  162.00   44.00    0.00    0.00  206.00     3  75721.00      0.00 2720556  151064   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分17秒   999    136468  168.00   40.00    0.00    0.00  208.00     3  75787.00      0.00 2728328  155688   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分18秒   999    136468  166.00   40.00    0.00    0.00  206.00     3  76941.00      0.00 2721780  154100   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分19秒   999    136468  173.00   27.00    0.00    0.00  200.00     3  70685.00      0.00 2721360  151692   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分20秒   999    136468  171.00   36.00    0.00    0.00  207.00     3  75965.00      0.00 2725744  153180   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分21秒   999    136468  172.00   34.00    0.00    0.00  206.00     3  74332.00      0.00 2721788  151876   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分22秒   999    136468  167.00   40.00    0.00    0.00  207.00     3  73738.00      0.00 2726176  153012   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07时50分23秒   999    136468  167.00   40.00    0.00    0.00  207.00     3  77429.00      0.00 2725508  153584   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
