4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets       312294.22          ---          ---         2.56001         2.11100         3.59900         3.79100         4.04700    325054.79 
Gets       312293.67    312293.67         0.00         2.56002         2.11100         3.59900         3.79100         4.04700    323529.32 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     624587.89    312293.67         0.00         2.56001         2.11100         3.59900         3.79100         4.04700    648584.11 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.343        0.000
SET       1.847        5.000
SET       1.887       10.000
SET       1.911       15.000
SET       1.935       20.000
SET       1.959       25.000
SET       1.983       30.000
SET       1.999       35.000
SET       2.031       40.000
SET       2.063       45.000
SET       2.111       50.000
SET       2.143       52.500
SET       2.271       55.000
SET       2.911       57.500
SET       3.007       60.000
SET       3.071       62.500
SET       3.103       65.000
SET       3.151       67.500
SET       3.183       70.000
SET       3.215       72.500
SET       3.247       75.000
SET       3.263       76.250
SET       3.279       77.500
SET       3.295       78.750
SET       3.311       80.000
SET       3.327       81.250
SET       3.343       82.500
SET       3.375       83.750
SET       3.391       85.000
SET       3.423       86.250
SET       3.439       87.500
SET       3.455       88.125
SET       3.471       88.750
SET       3.487       89.375
SET       3.487       90.000
SET       3.503       90.625
SET       3.519       91.250
SET       3.535       91.875
SET       3.535       92.500
SET       3.551       93.125
SET       3.567       93.750
SET       3.567       94.062
SET       3.583       94.375
SET       3.583       94.688
SET       3.599       95.000
SET       3.599       95.312
SET       3.615       95.625
SET       3.615       95.938
SET       3.631       96.250
SET       3.631       96.562
SET       3.647       96.875
SET       3.647       97.031
SET       3.663       97.188
SET       3.663       97.344
SET       3.679       97.500
SET       3.679       97.656
SET       3.695       97.812
SET       3.695       97.969
SET       3.711       98.125
SET       3.711       98.281
SET       3.727       98.438
SET       3.743       98.516
SET       3.743       98.594
SET       3.759       98.672
SET       3.759       98.750
SET       3.775       98.828
SET       3.775       98.906
SET       3.791       98.984
SET       3.807       99.062
SET       3.807       99.141
SET       3.823       99.219
SET       3.839       99.258
SET       3.839       99.297
SET       3.839       99.336
SET       3.855       99.375
SET       3.855       99.414
SET       3.871       99.453
SET       3.871       99.492
SET       3.887       99.531
SET       3.887       99.570
SET       3.903       99.609
SET       3.903       99.629
SET       3.919       99.648
SET       3.919       99.668
SET       3.935       99.688
SET       3.935       99.707
SET       3.935       99.727
SET       3.951       99.746
SET       3.951       99.766
SET       3.967       99.785
SET       3.983       99.805
SET       3.983       99.814
SET       3.983       99.824
SET       3.999       99.834
SET       3.999       99.844
SET       3.999       99.854
SET       4.015       99.863
SET       4.015       99.873
SET       4.031       99.883
SET       4.047       99.893
SET       4.047       99.902
SET       4.063       99.907
SET       4.063       99.912
SET       4.079       99.917
SET       4.079       99.922
SET       4.095       99.927
SET       4.127       99.932
SET       4.127       99.937
SET       4.127       99.941
SET       4.159       99.946
SET       4.191       99.951
SET       4.191       99.954
SET       4.191       99.956
SET       4.223       99.958
SET       4.223       99.961
SET       4.255       99.963
SET       4.287       99.966
SET       4.287       99.968
SET       4.319       99.971
SET       4.351       99.973
SET       4.383       99.976
SET       4.383       99.977
SET       4.415       99.978
SET       4.415       99.979
SET       4.447       99.980
SET       4.447       99.982
SET       4.479       99.983
SET       4.511       99.984
SET       4.543       99.985
SET       4.575       99.987
SET       4.607       99.988
SET       4.607       99.988
SET       4.639       99.989
SET       4.639       99.990
SET       4.671       99.990
SET       4.703       99.991
SET       4.703       99.991
SET       4.735       99.992
SET       4.767       99.993
SET       4.799       99.993
SET       4.863       99.994
SET       4.863       99.994
SET       4.895       99.995
SET       4.959       99.995
SET       4.991       99.995
SET       5.055       99.995
