4         Threads
25        Connections per thread
360       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46965.81          ---          ---         0.73261         0.75100         0.90300         1.49500         1.71100     48884.86 
Gets        46965.66     46965.66         0.00         0.73311         0.75100         0.89500         1.49500         1.71100     48655.38 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93931.47     46965.66         0.00         0.73286         0.75100         0.90300         1.49500         1.71100     97540.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.335        5.000
SET       0.583       10.000
SET       0.687       15.000
SET       0.711       20.000
SET       0.719       25.000
SET       0.727       30.000
SET       0.735       35.000
SET       0.743       40.000
SET       0.743       45.000
SET       0.751       50.000
SET       0.751       52.500
SET       0.751       55.000
SET       0.759       57.500
SET       0.759       60.000
SET       0.759       62.500
SET       0.767       65.000
SET       0.767       67.500
SET       0.767       70.000
SET       0.767       72.500
SET       0.775       75.000
SET       0.775       76.250
SET       0.775       77.500
SET       0.775       78.750
SET       0.783       80.000
SET       0.783       81.250
SET       0.783       82.500
SET       0.791       83.750
SET       0.799       85.000
SET       0.807       86.250
SET       0.823       87.500
SET       0.831       88.125
SET       0.831       88.750
SET       0.839       89.375
SET       0.847       90.000
SET       0.855       90.625
SET       0.855       91.250
SET       0.863       91.875
SET       0.871       92.500
SET       0.879       93.125
SET       0.887       93.750
SET       0.887       94.062
SET       0.895       94.375
SET       0.903       94.688
SET       0.903       95.000
SET       0.911       95.312
SET       0.927       95.625
SET       0.943       95.938
SET       0.959       96.250
SET       0.983       96.562
SET       1.007       96.875
SET       1.023       97.031
SET       1.039       97.188
SET       1.055       97.344
SET       1.087       97.500
SET       1.159       97.656
SET       1.247       97.812
SET       1.343       97.969
SET       1.391       98.125
SET       1.423       98.281
SET       1.439       98.438
SET       1.455       98.516
SET       1.463       98.594
SET       1.471       98.672
SET       1.479       98.750
SET       1.487       98.828
SET       1.487       98.906
SET       1.495       98.984
SET       1.503       99.062
SET       1.511       99.141
SET       1.511       99.219
SET       1.519       99.258
SET       1.519       99.297
SET       1.527       99.336
SET       1.527       99.375
SET       1.527       99.414
SET       1.535       99.453
SET       1.535       99.492
SET       1.543       99.531
SET       1.543       99.570
SET       1.551       99.609
SET       1.551       99.629
SET       1.559       99.648
SET       1.559       99.668
SET       1.567       99.688
SET       1.575       99.707
SET       1.575       99.727
SET       1.583       99.746
SET       1.599       99.766
SET       1.615       99.785
SET       1.631       99.805
SET       1.639       99.814
SET       1.647       99.824
SET       1.655       99.834
SET       1.663       99.844
SET       1.671       99.854
SET       1.679       99.863
SET       1.687       99.873
SET       1.695       99.883
SET       1.711       99.893
SET       1.719       99.902
SET       1.719       99.907
SET       1.727       99.912
SET       1.727       99.917
SET       1.735       99.922
SET       1.735       99.927
SET       1.743       99.932
SET       1.751       99.937
SET       1.751       99.941
SET       1.759       99.946
SET       1.767       99.951
SET       1.767       99.954
SET       1.775       99.956
SET       1.775       99.958
SET       1.783       99.961
SET       1.783       99.963
SET       1.791       99.966
SET       1.799       99.968
SET       1.799       99.971
SET       1.807       99.973
SET       1.815       99.976
SET       1.815       99.977
SET       1.823       99.978
SET       1.831       99.979
SET       1.831       99.980
SET       1.839       99.982
SET       1.847       99.983
SET       1.855       99.984
SET       1.855       99.985
SET       1.871       99.987
SET       1.879       99.988
SET       1.879       99.988
SET       1.887       99.989
SET       1.895       99.990
SET       1.903       99.990
SET       1.911       99.991
SET       1.919       99.991
SET       1.927       99.992
SET       1.943       99.993
SET       1.951       99.993
SET       1.959       99.994
SET       1.967       99.994
SET       1.983       99.995
SET       1.991       99.995
SET       1.999       99.995
SET       2.015       99.995
SET       2.039       99.996
SET       2.063       99.996
SET       2.079       99.996
SET       2.111       99.997
SET       2.127       99.997
SET       2.143       99.997
SET       2.175       99.997
SET       2.191       99.997
SET       2.239       99.998
SET       2.303       99.998
SET       2.399       99.998
SET       2.783       99.998
SET       3.055       99.998
SET       4.255       99.998
SET       4.511       99.998
SET       4.543       99.999
SET       4.607       99.999
SET       4.607       99.999
SET       4.671       99.999
SET       4.831       99.999
SET       4.831       99.999
SET       4.831       99.999
SET       4.831       99.999
SET       7.807       99.999
SET       7.999       99.999
SET       8.063       99.999
SET       8.159       99.999
SET       8.255       99.999
SET       8.383       99.999
SET      79.871       99.999
SET      80.383       99.999
SET      80.383      100.000
SET      80.383      100.000
SET      80.383      100.000
SET      80.895      100.000
SET      80.895      100.000
SET      80.895      100.000
SET      80.895      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
SET     164.863      100.000
