id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.004,40539,,,,39336,6884,40766,50883,60343,77853,,,,,
q1-one-fast,2.001,61123,,,,61642,4719,12112,14726,22537,35736,,,,,
q1-one-fast,3.000,62769,,,,62883,5120,12192,13933,17395,19371,,,,,
q1-one-fast,4.000,63740,,,,63584,4950,12122,14751,18290,20530,,,,,
q1-one-fast,5.000,63334,,,,63353,4676,11893,13774,16287,17281,,,,,
q1-one-fast,6.000,64906,,,,64766,4758,11447,13411,16673,18843,,,,,
q1-one-fast,7.000,65978,,,,65851,5001,11372,13339,15975,18609,,,,,
q1-one-fast,8.000,65017,,,,65189,4199,10789,12868,15616,17987,,,,,
q1-one-fast,9.000,62636,,,,62569,6262,12116,14385,18038,20579,,,,,
q1-one-fast,10.000,63570,,,,63653,5151,12035,14423,21317,24832,,,,,
q1-one-fast,11.000,65732,,,,65726,4348,10743,12725,15944,17598,,,,,
q1-one-fast,12.000,62883,,,,62976,5378,11988,14499,19098,20459,,,,,
q1-one-fast,13.000,62277,,,,61833,5488,12713,14589,17666,19282,,,,,
q1-one-fast,14.000,63224,,,,63564,4821,11528,13512,16161,17811,,,,,
q1-one-fast,15.000,63475,,,,63628,4465,11923,14118,17090,18914,,,,,
q1-one-fast,16.000,64493,,,,64374,5171,11047,12900,17167,19144,,,,,
q1-one-fast,17.000,63388,,,,63365,5180,12477,14502,17688,20324,,,,,
q1-one-fast,18.000,65418,,,,65383,4722,10939,13041,16246,17396,,,,,
q1-one-fast,19.000,62898,,,,62915,4817,11948,14261,17826,19449,,,,,
q1-one-fast,20.000,62496,,,,62603,5539,12359,15078,18710,20785,,,,,
q1-one-fast,21.000,63010,,,,62969,5104,12016,14163,17885,20258,,,,,
q1-one-fast,22.000,63683,,,,63722,4078,11768,13681,18044,20891,,,,,
q1-one-fast,23.000,64533,,,,64591,5280,11233,13360,16857,20629,,,,,
q1-one-fast,24.000,63846,,,,63762,5378,11936,13933,17130,18646,,,,,
q1-one-fast,25.000,63800,,,,63868,4715,11497,14019,17795,20307,,,,,
q1-one-fast,26.000,64547,,,,64208,5262,11348,13823,19975,24442,,,,,
q1-one-fast,27.000,63517,,,,63738,4827,11685,13463,16296,17615,,,,,
q1-one-fast,28.000,65056,,,,65149,5039,11115,13125,15849,17787,,,,,
q1-one-fast,29.000,65170,,,,65172,4659,11005,12856,15854,17719,,,,,
q1-one-fast,30.000,60466,,,,60509,4835,13026,15504,18874,21850,,,,,
q1-one-fast,31.000,65599,,,,65216,4365,11231,13237,15986,17782,,,,,
q1-one-fast,32.000,63961,,,,64434,4015,11017,13610,18247,20728,,,,,
q1-one-fast,33.000,64272,,,,64092,4999,11551,13789,17627,20406,,,,,
q1-one-fast,34.000,65066,,,,65044,5832,11134,13216,16427,18888,,,,,
q1-one-fast,35.000,64821,,,,64855,3659,11568,13905,17168,19645,,,,,
q1-one-fast,36.000,65777,,,,65787,4717,11422,13328,16714,18800,,,,,
q1-one-fast,37.000,65507,,,,65402,4371,11108,13103,16434,18335,,,,,
q1-one-fast,38.000,65855,,,,65963,3941,10746,12260,15237,17610,,,,,
q1-one-fast,39.000,64804,,,,64612,4889,11472,13888,17628,19674,,,,,
