Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分52秒   999     78144   27.00   11.00    0.00    0.00   38.00     3    726.00      0.00 2673928  116876   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分53秒   999     78144  249.00   91.00    0.00    0.00  340.00     3  38875.00      0.00 2723284  154092   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分54秒   999     78144  252.00  121.00    0.00    0.00  373.00     3  11419.00      0.00 2720888  152136   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分55秒   999     78144  252.00  116.00    0.00    0.00  368.00     3   7285.00      0.00 2719476  151736   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分56秒   999     78144  269.00  100.00    0.00    0.00  369.00     3   4982.00      0.00 2717728  151640   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分57秒   999     78144  257.00  107.00    0.00    0.00  364.00     3   4471.00      0.00 2718160  151700   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分58秒   999     78144  258.00  107.00    0.00    0.00  365.00     3   4415.00      0.00 2716624  150524   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时06分59秒   999     78144  257.00  109.00    0.00    0.00  366.00     3   2975.00      0.00 2718128  151716   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分00秒   999     78144  253.00  109.00    0.00    0.00  362.00     3   2757.00      0.00 2718128  151880   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分01秒   999     78144  247.00  112.00    0.00    0.00  359.00     3   2606.00      0.00 2716352  150372   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分02秒   999     78144  254.00  107.00    0.00    0.00  361.00     3   2603.00      0.00 2718400  151804   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分03秒   999     78144  261.00  101.00    0.00    0.00  362.00     3   2677.00      0.00 2717648  151408   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分04秒   999     78144  253.00  110.00    0.00    0.00  363.00     3   1921.00      0.00 2718160  152336   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分05秒   999     78144  249.00  115.00    0.00    0.00  364.00     3   1899.00      0.00 2718160  152168   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分06秒   999     78144  237.00  122.00    0.00    0.00  359.00     3   2163.00      0.00 2718236  151904   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分07秒   999     78144  273.00  100.00    0.00    0.00  373.00     3   2804.00      0.00 2718748  152140   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时07分08秒   999     78144  255.00  109.00    0.00    0.00  364.00     3   1669.00      0.00 2717724  151520   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
