Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分53秒   999     95825   15.00    7.00    0.00    0.00   22.00     3    895.00      0.00 2675784  118648   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分54秒   999     95825  250.00   75.00    0.00    0.00  325.00     3  51217.00      0.00 2721528  153804   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分55秒   999     95825  287.00   93.00    0.00    0.00  380.00     3  59586.00      0.00 2727992  155488   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分56秒   999     95825  269.00  109.00    0.00    0.00  378.00     3   4794.00      0.00 2725928  152616   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分57秒   999     95825  267.00  111.00    0.00    0.00  378.00     3   4004.00      0.00 2724984  151904   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分58秒   999     95825  274.00  103.00    0.00    0.00  377.00     3   2420.00      0.00 2726632  153708   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时47分59秒   999     95825  267.00  113.00    0.00    0.00  380.00     3   2474.00      0.00 2725540  153204   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分00秒   999     95825  265.00  112.00    0.00    0.00  377.00     3   1850.00      0.00 2725684  153732   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分01秒   999     95825  276.00  103.00    0.00    0.00  379.00     3   1437.00      0.00 2722172  152624   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分02秒   999     95825  269.00  109.00    0.00    0.00  378.00     3   2142.00      0.00 2722316  152436   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分03秒   999     95825  278.00  102.00    0.00    0.00  380.00     3   2368.00      0.00 2723164  153136   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分04秒   999     95825  264.00  112.00    0.00    0.00  376.00     3    932.00      0.00 2722800  152956   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分05秒   999     95825  277.00   98.00    0.00    0.00  375.00     3   1603.00      0.00 2723936  154080   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分06秒   999     95825  270.00  108.00    0.00    0.00  378.00     3   1088.00      0.00 2723424  153376   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分07秒   999     95825  271.00  108.00    0.00    0.00  379.00     3    856.00      0.00 2722400  153176   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分08秒   999     95825  267.00  111.00    0.00    0.00  378.00     3    772.00      0.00 2723424  153060   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时48分09秒   999     95825  273.00  105.00    0.00    0.00  378.00     3    605.00      0.00 2724080  154364   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
