Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分05秒   999     99788    7.00    3.00    0.00    0.00   10.00     1    182.00      0.00 2672212  117136   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分06秒   999     99788  259.00   71.00    0.00    0.00  330.00     1  88108.00      0.00 2764572  180656   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分07秒   999     99788  281.00  100.00    0.00    0.00  381.00     1 109343.00      0.00 2740776  163852   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分08秒   999     99788  273.00  105.00    0.00    0.00  378.00     1   7497.00      0.00 2735520  161868   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分09秒   999     99788  264.00  113.00    0.00    0.00  377.00     1   5037.00      0.00 2735856  162096   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分10秒   999     99788  277.00  100.00    0.00    0.00  377.00     1   3348.00      0.00 2733568  162352   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分11秒   999     99788  274.00  106.00    0.00    0.00  380.00     1   2336.00      0.00 2732976  161532   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分12秒   999     99788  284.00   92.00    0.00    0.00  376.00     1   2926.00      0.00 2732880  161496   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分13秒   999     99788  266.00  111.00    0.00    0.00  377.00     1   1784.00      0.00 2733904  162632   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分14秒   999     99788  281.00   94.00    0.00    0.00  375.00     1   3987.00      0.00 2731876  160664   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分15秒   999     99788  269.00  110.00    0.00    0.00  379.00     1   2185.00      0.00 2729892  159236   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分16秒   999     99788  276.00  101.00    0.00    0.00  377.00     1   1774.00      0.00 2731060  159372   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分17秒   999     99788  272.00  106.00    0.00    0.00  378.00     1   1356.00      0.00 2728472  158320   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分18秒   999     99788  264.00  114.00    0.00    0.00  378.00     1    989.00      0.00 2727384  157860   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分19秒   999     99788  266.00  113.00    0.00    0.00  379.00     1    704.00      0.00 2726792  157688   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分20秒   999     99788  258.00  119.00    0.00    0.00  377.00     1    843.00      0.00 2726424  156880   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分21秒   999     99788  273.00  106.00    0.00    0.00  379.00     1    830.00      0.00 2727004  157312   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
