Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分29秒   999    104917   24.00    5.00    0.00    0.00   29.00     3     86.00      0.00 2671056  118456   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分30秒   999    104917   48.00   13.00    0.00    0.00   61.00     3     34.00      0.00 2671056  118376   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分31秒   999    104917   43.00   11.00    0.00    0.00   54.00     3      0.00      0.00 2671056  118376   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分32秒   999    104917   42.00   12.00    0.00    0.00   54.00     3      0.00      0.00 2671056  118376   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分33秒   999    104917   42.00   11.00    0.00    0.00   53.00     3     13.00      0.00 2671056  118376   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分34秒   999    104917   45.00    9.00    0.00    0.00   54.00     3     72.00      0.00 2671312  118504   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分35秒   999    104917   44.00    9.00    0.00    0.00   53.00     3     21.00      0.00 2671312  118632   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分36秒   999    104917   44.00    9.00    0.00    0.00   53.00     3      0.00      0.00 2671312  118632   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分37秒   999    104917   44.00    9.00    0.00    0.00   53.00     3    128.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分38秒   999    104917   45.00    8.00    0.00    0.00   53.00     3      0.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分39秒   999    104917   45.00   10.00    0.00    0.00   55.00     3     16.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分40秒   999    104917   41.00   12.00    0.00    0.00   53.00     3      0.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分41秒   999    104917   41.00   12.00    0.00    0.00   53.00     3     23.00      0.00 2671824  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分42秒   999    104917   39.00   16.00    0.00    0.00   55.00     3     16.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分43秒   999    104917   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2671312  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分44秒   999    104917   42.00   12.00    0.00    0.00   54.00     3     16.00      0.00 2671824  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时12分45秒   999    104917   42.00   13.00    0.00    0.00   55.00     3      0.00      0.00 2671824  118944   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
