Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分53秒   999    109985    3.00    1.00    0.00    0.00    4.00     0    127.00      0.00 2666832  115792   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分54秒   999    109985   65.00   12.00    0.00    0.00   77.00     0    116.00      0.00 2667856  115920   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分55秒   999    109985   43.00   13.00    0.00    0.00   56.00     0      0.00      0.00 2666832  115920   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分56秒   999    109985   42.00   13.00    0.00    0.00   55.00     0      0.00      0.00 2666832  115920   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分57秒   999    109985   40.00   13.00    0.00    0.00   53.00     0      0.00      0.00 2666832  115920   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分58秒   999    109985   45.00   11.00    0.00    0.00   56.00     0     29.00      0.00 2666576  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时28分59秒   999    109985   43.00   11.00    0.00    0.00   54.00     0      0.00      0.00 2666576  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分00秒   999    109985   39.00   15.00    0.00    0.00   54.00     0     26.00      0.00 2667088  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分01秒   999    109985   44.00   11.00    0.00    0.00   55.00     0     10.00      0.00 2667088  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分02秒   999    109985   41.00   13.00    0.00    0.00   54.00     0      0.00      0.00 2666576  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分03秒   999    109985   43.00   11.00    0.00    0.00   54.00     0     27.00      0.00 2666576  115764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分04秒   999    109985   42.00   12.00    0.00    0.00   54.00     0     30.00      0.00 2666576  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分05秒   999    109985   42.00   12.00    0.00    0.00   54.00     0     23.00      0.00 2667088  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分06秒   999    109985   38.00   15.00    0.00    0.00   53.00     0      0.00      0.00 2666576  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分07秒   999    109985   41.00   14.00    0.00    0.00   55.00     0     20.00      0.00 2667088  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分08秒   999    109985   45.00   10.00    0.00    0.00   55.00     0     20.00      0.00 2667088  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时29分09秒   999    109985   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2667088  116020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
