id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.003,30926,,30427,0,29947,348,7732,16226,37894,67756,94,1560,3702,8999,11433
warmup,2.000,56412,,56425,0,56971,2922,7646,14870,43892,47399,454,7367,8553,12880,16954
warmup,3.000,64841,,64828,0,64872,3169,5316,6074,8591,10995,785,7465,8134,9090,10033
warmup,4.000,64214,,64233,0,64341,2381,5038,5626,7005,8136,2406,7586,8233,9113,10080
warmup,5.000,65149,,65153,0,65198,2717,5252,5955,7315,8884,3700,7480,8101,9029,9722
warmup,6.000,64838,,64842,0,64763,2059,5150,5957,7219,7920,1809,7454,7982,8842,9466
warmup,7.000,63728,,63751,0,63643,2677,5132,5904,7508,11475,2776,7660,8271,9245,9830
warmup,8.000,63212,,63203,0,63208,2028,5135,5901,7968,9991,887,7610,8268,9295,10165
warmup,9.000,63818,,63777,0,63837,1890,5382,6331,7781,9235,1163,7561,8205,9234,10266
warmup,10.000,64102,,64102,0,64173,2643,5249,5970,7321,8346,2582,7635,8204,9092,9671
warmup,11.000,64076,,64081,0,64026,2394,5011,5656,6872,7668,795,7653,8259,9195,9824
warmup,12.000,62875,,62870,0,62882,2430,5029,5555,6825,7675,3671,7707,8391,9280,9677
warmup,13.000,63843,,63843,0,63910,1304,5100,5730,7330,9493,1414,7609,8259,9325,10432
warmup,14.000,61685,,61685,0,61617,2855,5494,6818,23287,36532,3087,7832,8574,9896,12846
warmup,15.000,65119,,65131,0,65168,3027,5199,5862,6867,7808,3131,7599,8207,9045,9592
warmup,16.000,64658,,64651,0,64677,1945,5085,5718,6766,7586,3175,7540,8185,9080,10187
warmup,17.000,64934,,64929,0,64915,2796,5100,5730,6996,8340,2894,7416,8010,9056,9730
warmup,18.000,64712,,64712,0,64731,2422,5027,5782,7245,7850,4043,7533,8161,9137,9790
warmup,19.000,64472,,64500,0,64463,1201,5074,5727,7038,8629,2338,7513,8130,8989,9764
warmup,20.000,62764,,62742,0,62689,2724,5241,6120,7849,8774,4027,7767,8442,9294,9791
warmup,21.000,64961,,64957,0,64937,2532,5391,6051,7062,7744,2562,7448,8069,9068,9925
warmup,22.000,65883,,65882,0,65924,2761,5176,5829,6956,7528,2671,7332,7992,8839,9547
warmup,23.000,64183,,64183,0,64040,2410,5013,5694,6933,7912,4214,7569,8204,9043,9646
warmup,24.000,64438,,64440,0,64519,3213,5333,6056,7423,8189,2483,7523,8189,9413,10311
warmup,25.000,64788,,64815,0,64712,2045,5198,5873,7210,7683,3232,7558,8233,9103,9691
warmup,26.000,64634,,64617,0,64845,2848,5125,5970,7507,8374,4442,7579,8142,8991,9447
warmup,27.000,64363,,64365,0,64272,2611,5180,5960,7345,8199,2896,7530,8205,9285,9931
warmup,28.000,65095,,65080,0,65117,2726,5016,5641,7202,8015,4103,7433,8145,8955,9511
warmup,29.000,62075,,62093,0,62058,2092,5182,5999,9143,33189,3402,7735,8405,9350,14472
warmup,30.000,64779,,64761,0,64740,2403,5325,6156,7331,7870,3103,7541,8160,9047,9568
warmup,31.000,64950,,64971,0,65001,2406,5055,5657,6830,7835,3320,7518,8102,8987,9561
warmup,32.000,64505,,64484,0,64453,1910,5294,6068,7554,8790,688,7522,8190,9176,9943
warmup,33.000,64651,,64651,0,64750,1878,5141,5784,6739,7209,2218,7568,8231,9095,9720
warmup,34.001,64357,,64444,0,64385,2667,5227,5978,7248,8349,2982,7442,8159,9248,10058
warmup,35.000,63003,,62921,0,63056,2509,4877,5425,6569,7570,3167,7756,8353,9146,9733
warmup,36.000,64307,,64301,0,64180,2829,5501,6462,7907,9050,2927,7664,8280,9252,9985
warmup,37.000,63409,,63414,0,63184,2498,5125,5810,6960,8183,3320,7745,8409,9282,9785
warmup,38.000,65300,,65298,0,65496,2831,5208,6047,7595,8951,2240,7506,8165,9024,9535
warmup,39.000,63632,,63680,0,63672,2656,5233,6110,7445,8703,3211,7544,8308,9243,9899
warmup,40.000,65524,,65473,0,65430,2372,5288,6060,7919,10433,3527,7372,8033,9034,9813
warmup,41.000,63927,,63927,0,64073,2343,5159,5795,7134,8200,3684,7615,8246,9033,9650
warmup,42.000,64567,,64567,0,64440,2142,5226,6114,7633,8492,3497,7606,8270,9119,9823
warmup,43.000,65858,,65884,0,65930,2321,5520,6352,7765,8790,3033,7355,8098,8900,9870
warmup,44.000,64766,,64763,0,64790,2958,5238,6046,7607,8531,2191,7484,8131,9132,9755
warmup,45.000,62868,,62898,0,62775,2795,5443,6365,20064,36944,2927,7580,8165,9697,15796
warmup,46.000,65102,,65090,0,65154,2496,5075,5842,6820,7421,3484,7575,8093,8877,9389
warmup,47.000,64954,,64913,0,65014,2252,4970,5735,6613,7254,3616,7430,8078,9156,10064
warmup,48.000,64560,,64580,0,64403,2499,5359,6174,8015,8708,3939,7448,8241,9074,9777
warmup,49.000,63516,,63571,0,63736,2527,5084,5788,7106,7908,3889,7738,8357,9109,9696
warmup,50.000,61034,,60958,0,60942,2385,4954,5483,6580,7504,4211,8025,8833,9735,10337
warmup,51.000,62204,,62218,0,62235,2583,5241,6063,7440,8095,3498,7834,8582,9547,10431
warmup,52.000,62771,,62757,0,62674,2552,5144,5756,6862,7704,3133,7784,8487,9341,9956
warmup,53.000,63614,,63614,0,63701,2824,5165,5856,7266,8519,3392,7588,8250,9081,9612
warmup,54.000,63061,,63061,0,62930,2482,5139,5970,7499,8791,2500,7681,8505,9636,10470
warmup,55.000,61520,,61520,0,61671,2790,5284,6081,7367,8666,3937,7867,8719,9575,10189
warmup,56.000,61989,,61991,0,61910,2342,5035,5555,6561,7604,3450,7858,8646,9622,10651
warmup,57.000,62478,,62539,0,62481,3182,5058,5728,6864,7786,4115,7806,8513,9517,10169
warmup,58.000,62382,,62327,0,62359,1859,5288,5961,7614,8844,3528,7797,8565,9532,10068
warmup,59.000,61647,,61639,0,61559,3404,5479,6105,7854,8659,3183,7946,8803,9744,10430
warmup,60.000,60206,,60206,0,60285,3243,5386,6125,7514,8430,4312,7792,8610,9761,10623
