Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分44秒   999    123988    8.00    6.00    0.00    0.00   14.00     2     26.00      0.00 2667244  114640   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分45秒   999    123988  174.00   37.00    0.00    0.00  211.00     2  41385.00      0.00 2697088  136824   0.42  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分46秒   999    123988  169.00   40.00    0.00    0.00  209.00     2  90832.00      0.00 2730796  154244   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分47秒   999    123988  173.00   44.00    0.00    0.00  217.00     2  94304.00      0.00 2716600  149716   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分48秒   999    123988  179.00   36.00    0.00    0.00  215.00     2  91719.00      0.00 2716972  151820   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分49秒   999    123988  181.00   32.00    0.00    0.00  213.00     2  87709.00      0.00 2717868  149632   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分50秒   999    123988  179.00   35.00    0.00    0.00  214.00     2  91874.00      0.00 2716184  150836   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分51秒   999    123988  181.00   37.00    0.00    0.00  218.00     2  95384.00      0.00 2722120  153792   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分52秒   999    123988  180.00   37.00    0.00    0.00  217.00     2  91211.00      0.00 2725104  156224   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分53秒   999    123988  181.00   33.00    0.00    0.00  214.00     2  82521.00      0.00 2718276  151924   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分54秒   999    123988  179.00   38.00    0.00    0.00  217.00     2  90685.00      0.00 2719432  151036   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分55秒   999    123988  178.00   39.00    0.00    0.00  217.00     2 100011.00      0.00 2722840  154916   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分56秒   999    123988  177.00   37.00    0.00    0.00  214.00     2  90011.00      0.00 2726216  150932   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时50分57秒   999    123988  174.00   40.00    0.00    0.00  214.00     2  85828.00      0.00 2722472  152752   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
