4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets       315547.00          ---          ---         2.53375         2.07900         3.59900         3.79100         4.03100    328440.47 
Gets       315546.44    315546.44         0.00         2.53375         2.07900         3.59900         3.79100         4.03100    326899.13 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     631093.44    315546.44         0.00         2.53375         2.07900         3.59900         3.79100         4.03100    655339.60 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.287        0.000
SET       1.847        5.000
SET       1.887       10.000
SET       1.911       15.000
SET       1.927       20.000
SET       1.951       25.000
SET       1.967       30.000
SET       1.991       35.000
SET       2.015       40.000
SET       2.039       45.000
SET       2.079       50.000
SET       2.095       52.500
SET       2.143       55.000
SET       2.671       57.500
SET       2.959       60.000
SET       3.039       62.500
SET       3.087       65.000
SET       3.135       67.500
SET       3.167       70.000
SET       3.199       72.500
SET       3.231       75.000
SET       3.247       76.250
SET       3.263       77.500
SET       3.279       78.750
SET       3.295       80.000
SET       3.311       81.250
SET       3.343       82.500
SET       3.359       83.750
SET       3.375       85.000
SET       3.407       86.250
SET       3.439       87.500
SET       3.455       88.125
SET       3.471       88.750
SET       3.471       89.375
SET       3.487       90.000
SET       3.503       90.625
SET       3.519       91.250
SET       3.535       91.875
SET       3.551       92.500
SET       3.551       93.125
SET       3.567       93.750
SET       3.583       94.062
SET       3.583       94.375
SET       3.599       94.688
SET       3.599       95.000
SET       3.615       95.312
SET       3.615       95.625
SET       3.631       95.938
SET       3.631       96.250
SET       3.647       96.562
SET       3.647       96.875
SET       3.663       97.031
SET       3.663       97.188
SET       3.679       97.344
SET       3.679       97.500
SET       3.679       97.656
SET       3.695       97.812
SET       3.695       97.969
SET       3.711       98.125
SET       3.727       98.281
SET       3.743       98.438
SET       3.743       98.516
SET       3.743       98.594
SET       3.759       98.672
SET       3.759       98.750
SET       3.775       98.828
SET       3.791       98.906
SET       3.791       98.984
SET       3.807       99.062
SET       3.807       99.141
SET       3.823       99.219
SET       3.839       99.258
SET       3.839       99.297
SET       3.839       99.336
SET       3.855       99.375
SET       3.855       99.414
SET       3.871       99.453
SET       3.871       99.492
SET       3.887       99.531
SET       3.887       99.570
SET       3.903       99.609
SET       3.903       99.629
SET       3.903       99.648
SET       3.919       99.668
SET       3.919       99.688
SET       3.935       99.707
SET       3.935       99.727
SET       3.935       99.746
SET       3.951       99.766
SET       3.951       99.785
SET       3.967       99.805
SET       3.967       99.814
SET       3.983       99.824
SET       3.983       99.834
SET       3.983       99.844
SET       3.999       99.854
SET       3.999       99.863
SET       4.015       99.873
SET       4.015       99.883
SET       4.031       99.893
SET       4.047       99.902
SET       4.047       99.907
SET       4.047       99.912
SET       4.063       99.917
SET       4.063       99.922
SET       4.079       99.927
SET       4.095       99.932
SET       4.095       99.937
SET       4.127       99.941
SET       4.127       99.946
SET       4.159       99.951
SET       4.159       99.954
SET       4.191       99.956
SET       4.191       99.958
SET       4.191       99.961
SET       4.223       99.963
SET       4.223       99.966
SET       4.255       99.968
SET       4.287       99.971
SET       4.287       99.973
SET       4.319       99.976
SET       4.351       99.977
SET       4.351       99.978
SET       4.383       99.979
SET       4.383       99.980
SET       4.415       99.982
SET       4.415       99.983
SET       4.447       99.984
SET       4.479       99.985
SET       4.479       99.987
SET       4.511       99.988
SET       4.543       99.988
SET       4.543       99.989
SET       4.575       99.990
SET       4.575       99.990
SET       4.607       99.991
SET       4.607       99.991
SET       4.639       99.992
SET       4.671       99.993
SET       4.703       99.993
SET       4.735       99.994
SET       4.735       99.994
SET       4.735       99.995
SET       4.767       99.995
SET       4.767       99.995
SET       4.799       99.995
SET       4.831       99.996
SET       4.863       99.996
SET       4.895       99.996
SET       4.927       99.997
SET       4.959       99.997
SET       4.959       99.997
SET       4.991       99.997
SET       4.991       99.997
SET       5.023       99.998
SET       5.055       99.998
SET       5.087       99.998
SET       5.119       99.998
SET       5.151       99.998
SET       5.183       99.998
SET       5.247       99.998
SET       5.279       99.999
SET       5.311       99.999
SET       5.375       99.999
SET       5.439       99.999
SET       5.471       99.999
SET       5.535       99.999
SET       5.599       99.999
SET       5.695       99.999
SET       5.951       99.999
SET       6.207       99.999
SET       6.239       99.999
SET       6.303       99.999
SET       6.335       99.999
SET       6.367       99.999
SET       6.431       99.999
SET       6.527       99.999
SET       6.591      100.000
SET       6.687      100.000
SET       6.719      100.000
SET       6.783      100.000
SET       6.783      100.000
SET       6.815      100.000
SET       6.815      100.000
SET       6.847      100.000
SET       6.879      100.000
SET       6.879      100.000
SET       6.911      100.000
SET       7.007      100.000
SET       7.167      100.000
SET       7.231      100.000
SET       7.263      100.000
SET       7.487      100.000
SET       7.615      100.000
SET       7.647      100.000
SET       7.679      100.000
SET       7.903      100.000
SET       7.935      100.000
SET       8.031      100.000
SET       8.063      100.000
SET       8.095      100.000
SET       8.095      100.000
SET       8.127      100.000
SET       8.159      100.000
SET       8.159      100.000
SET       8.255      100.000
SET       8.255      100.000
SET       8.255      100.000
SET       8.319      100.000
SET       8.383      100.000
SET       8.383      100.000
SET       8.383      100.000
SET       8.383      100.000
SET       8.383      100.000
