4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        46970.99          ---          ---         0.82314         0.83900         0.98300         1.69500         2.01500     97838.55 
Gets        46970.83     35117.36     11853.47         0.81921         0.83100         0.96700         1.68700         2.00700     59081.86 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      93941.82     35117.36     11853.47         0.82117         0.83100         0.97500         1.68700         2.00700    156920.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.431        5.000
SET       0.687       10.000
SET       0.767       15.000
SET       0.783       20.000
SET       0.799       25.000
SET       0.807       30.000
SET       0.815       35.000
SET       0.823       40.000
SET       0.831       45.000
SET       0.839       50.000
SET       0.839       52.500
SET       0.839       55.000
SET       0.847       57.500
SET       0.847       60.000
SET       0.855       62.500
SET       0.855       65.000
SET       0.863       67.500
SET       0.863       70.000
SET       0.871       72.500
SET       0.871       75.000
SET       0.879       76.250
SET       0.879       77.500
SET       0.879       78.750
SET       0.887       80.000
SET       0.887       81.250
SET       0.895       82.500
SET       0.895       83.750
SET       0.895       85.000
SET       0.903       86.250
SET       0.911       87.500
SET       0.911       88.125
SET       0.911       88.750
SET       0.919       89.375
SET       0.919       90.000
SET       0.927       90.625
SET       0.927       91.250
SET       0.935       91.875
SET       0.935       92.500
SET       0.943       93.125
SET       0.951       93.750
SET       0.959       94.062
SET       0.967       94.375
SET       0.975       94.688
SET       0.983       95.000
SET       1.007       95.312
SET       1.039       95.625
SET       1.087       95.938
SET       1.143       96.250
SET       1.183       96.562
SET       1.231       96.875
SET       1.255       97.031
SET       1.287       97.188
SET       1.327       97.344
SET       1.415       97.500
SET       1.527       97.656
SET       1.567       97.812
SET       1.591       97.969
SET       1.607       98.125
SET       1.631       98.281
SET       1.639       98.438
SET       1.647       98.516
SET       1.655       98.594
SET       1.663       98.672
SET       1.671       98.750
SET       1.679       98.828
SET       1.687       98.906
SET       1.695       98.984
SET       1.703       99.062
SET       1.711       99.141
SET       1.719       99.219
SET       1.727       99.258
SET       1.727       99.297
SET       1.735       99.336
SET       1.743       99.375
SET       1.743       99.414
SET       1.751       99.453
SET       1.759       99.492
SET       1.767       99.531
SET       1.775       99.570
SET       1.783       99.609
SET       1.783       99.629
SET       1.791       99.648
SET       1.791       99.668
SET       1.799       99.688
SET       1.807       99.707
SET       1.815       99.727
SET       1.823       99.746
SET       1.831       99.766
SET       1.839       99.785
SET       1.855       99.805
SET       1.863       99.814
SET       1.871       99.824
SET       1.887       99.834
SET       1.919       99.844
SET       1.951       99.854
SET       1.975       99.863
SET       1.983       99.873
SET       1.999       99.883
SET       2.007       99.893
SET       2.015       99.902
SET       2.015       99.907
SET       2.023       99.912
SET       2.023       99.917
SET       2.031       99.922
SET       2.039       99.927
SET       2.039       99.932
SET       2.047       99.937
SET       2.063       99.941
SET       2.063       99.946
SET       2.063       99.951
SET       2.079       99.954
SET       2.079       99.956
SET       2.079       99.958
SET       2.079       99.961
SET       2.079       99.963
SET       2.095       99.966
SET       2.095       99.968
SET       2.095       99.971
SET       2.111       99.973
SET       2.127       99.976
SET       2.127       99.977
SET       2.127       99.978
SET       2.143       99.979
SET       2.159       99.980
SET       2.175       99.982
SET       2.255       99.983
SET       2.335       99.984
SET       2.383       99.985
SET       2.431       99.987
SET       2.479       99.988
SET       2.511       99.988
SET       2.559       99.989
SET       2.639       99.990
SET       2.719       99.990
SET       2.783       99.991
SET       2.815       99.991
SET       2.831       99.992
SET       2.863       99.993
SET       2.863       99.993
SET       2.879       99.994
SET       2.895       99.994
SET       2.911       99.995
SET       2.911       99.995
SET       2.927       99.995
SET       2.927       99.995
SET       2.943       99.996
SET       2.959       99.996
SET       2.975       99.996
SET       2.991       99.997
SET       3.023       99.997
SET       3.055       99.997
SET       3.087       99.997
SET       3.087       99.997
SET       3.103       99.998
SET       4.383       99.998
SET       4.383       99.998
SET       4.735       99.998
SET       4.799       99.998
SET       4.863       99.998
SET       4.895       99.998
SET       4.895       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.119       99.999
SET       5.183       99.999
SET       8.159       99.999
SET       8.191       99.999
SET       8.191       99.999
SET       8.191       99.999
SET       8.191       99.999
SET      18.943       99.999
SET      18.943       99.999
SET      18.943       99.999
SET      18.943       99.999
SET      18.943       99.999
SET      18.943      100.000
SET      18.943      100.000
SET      18.943      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
SET      41.215      100.000
