id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.003,50125,,47249,0,38611,340,57517,119361,214572,302453,559,42959,63494,93656,125782
q2-reliable,2.000,49080,,48120,0,49130,6261,201561,297473,522909,587079,5785,68410,93097,161954,199010
q2-reliable,3.001,51727,,52663,0,46710,3004,201704,316908,509612,533371,4797,65324,88452,133677,164908
q2-reliable,4.000,50607,,49935,0,51573,5936,265980,480027,634436,667677,4844,66819,92892,141223,194215
q2-reliable,5.000,49699,,49314,0,53724,13237,229655,396020,651367,697886,9447,69860,105921,139033,200263
q2-reliable,6.000,54034,,53993,0,47600,10004,138378,222794,747883,928618,7595,61609,98750,157949,192715
q2-reliable,7.000,51433,,51433,0,49246,24520,238586,412559,1151999,1234148,5011,67259,100462,162397,193775
q2-reliable,8.000,54593,,54626,0,46469,2736,251995,532232,1591040,1679928,10522,66215,92130,131909,158309
q2-reliable,9.004,49610,,49848,0,54420,5454,374387,1073555,1423230,1567101,7822,73398,104934,157515,197241
q2-reliable,10.000,53064,,52955,0,47589,4555,307777,426867,1630396,1675110,4810,61914,88186,137202,176569
q2-reliable,11.000,53427,,53263,0,50501,6854,325153,796718,1721696,1786293,3910,66972,98209,146905,181299
q2-reliable,12.000,54635,,54635,0,48132,7534,355159,958463,1841250,1941902,4656,63035,89031,128629,175664
q2-reliable,13.000,52076,,53031,0,48220,17612,476669,1029717,2109705,2168269,6246,67951,88965,157728,191277
q2-reliable,14.000,58778,,57824,0,40273,7928,672950,1355530,2281823,2637173,5738,58158,83385,132954,172796
q2-reliable,15.000,51915,,52095,0,49365,135872,987328,1371591,2775005,2848529,6109,61083,95787,164364,205021
q2-reliable,16.000,48149,,47969,0,51655,208219,1101766,1620709,2828214,2885760,4555,63156,95393,170804,215444
q2-reliable,17.000,50147,,50385,0,50962,240453,1048578,1582511,2761081,2872739,7926,69258,97744,173506,298611
q2-reliable,18.000,52785,,52547,0,47735,258770,1031597,1515190,2735336,2796297,10536,64659,96315,164630,206161
q2-reliable,19.000,52245,,52245,0,47233,563331,1027259,1623915,2619398,2662572,7337,64461,91595,142117,225952
