Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分11秒   999     48927    3.00    3.00    0.00    0.00    6.00     2    297.00      0.00 2674272  118640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分12秒   999     48927  172.00   63.00    0.00    0.00  235.00     2  21480.00      0.00 2724168  154140   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分13秒   999     48927  227.00  114.00    0.00    0.00  341.00     2  12677.00      0.00 2719088  151696   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分14秒   999     48927  231.00  100.00    0.00    0.00  331.00     2   6649.00      0.00 2718432  151000   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分15秒   999     48927  234.00   93.00    0.00    0.00  327.00     2   6098.00      0.00 2718948  151668   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分16秒   999     48927  220.00  110.00    0.00    0.00  330.00     2   4448.00      0.00 2719972  152904   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分17秒   999     48927  233.00  100.00    0.00    0.00  333.00     2   4202.00      0.00 2719828  152884   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分18秒   999     48927  229.00  110.00    0.00    0.00  339.00     2   3468.00      0.00 2720852  153560   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分19秒   999     48927  220.00  116.00    0.00    0.00  336.00     2   3800.00      0.00 2718736  152176   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分20秒   999     48927  227.00  107.00    0.00    0.00  334.00     2   2735.00      0.00 2719908  153292   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分21秒   999     48927  230.00   98.00    0.00    0.00  328.00     2   2308.00      0.00 2718884  152776   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分22秒   999     48927  217.00  106.00    0.00    0.00  323.00     2   2980.00      0.00 2718884  152252   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分23秒   999     48927  224.00  105.00    0.00    0.00  329.00     2   2915.00      0.00 2720276  153340   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分24秒   999     48927  234.00   93.00    0.00    0.00  327.00     2   2523.00      0.00 2719252  152860   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分25秒   999     48927  225.00  103.00    0.00    0.00  328.00     2   2933.00      0.00 2720276  153832   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分26秒   999     48927  219.00  103.00    0.00    0.00  322.00     2   2437.00      0.00 2719508  152652   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时00分27秒   999     48927  226.00  103.00    0.00    0.00  329.00     2   2500.00      0.00 2720788  153848   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
