Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分12秒   999     75812   25.00    6.00    0.00    0.00   31.00     3    819.00      0.00 2674744  116204   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分13秒   999     75812  271.00   76.00    0.00    0.00  347.00     3  66758.00      0.00 2743536  166160   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分14秒   999     75812  296.00   85.00    0.00    0.00  381.00     3  99847.00      0.00 2742680  166056   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分15秒   999     75812  280.00   98.00    0.00    0.00  378.00     3  15108.00      0.00 2739596  165576   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分16秒   999     75812  277.00  101.00    0.00    0.00  378.00     3  11408.00      0.00 2738024  163272   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分17秒   999     75812  277.00  100.00    0.00    0.00  377.00     3   7473.00      0.00 2738684  163992   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分18秒   999     75812  280.00   96.00    0.00    0.00  376.00     3   5555.00      0.00 2737232  162844   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分19秒   999     75812  275.00  100.00    0.00    0.00  375.00     3   8688.00      0.00 2734324  160216   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分20秒   999     75812  272.00  106.00    0.00    0.00  378.00     3   5152.00      0.00 2733300  160604   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分21秒   999     75812  272.00  104.00    0.00    0.00  376.00     3   4419.00      0.00 2733492  160936   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分22秒   999     75812  275.00  106.00    0.00    0.00  381.00     3   1667.00      0.00 2732536  160268   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分23秒   999     75812  277.00  101.00    0.00    0.00  378.00     3   2287.00      0.00 2732984  160508   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分24秒   999     75812  269.00  106.00    0.00    0.00  375.00     3   3571.00      0.00 2731864  159284   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分25秒   999     75812  269.00  110.00    0.00    0.00  379.00     3   2643.00      0.00 2731752  160060   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分26秒   999     75812  266.00  113.00    0.00    0.00  379.00     3   2690.00      0.00 2731064  158888   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分27秒   999     75812  271.00  108.00    0.00    0.00  379.00     3   2105.00      0.00 2730376  157712   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时22分28秒   999     75812  281.00   98.00    0.00    0.00  379.00     3   1708.00      0.00 2728328  157680   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
