id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate85,1.001,41889,,41546,0,41641,228,8198,19573,42729,67117,296,7113,18161,41037,54092
q3-rate85,2.000,41472,,41726,0,41660,337,1589,2071,2979,3774,513,2026,2620,3664,4554
q3-rate85,3.001,41449,,41485,0,41467,267,1382,1820,2666,4681,453,1879,2407,3358,4776
q3-rate85,4.000,41499,,41441,0,41468,352,1329,1814,2584,3573,558,1864,2347,3378,4480
q3-rate85,5.000,41489,,41521,0,41521,337,1328,1797,2812,5006,515,1897,2440,3494,4971
q3-rate85,6.000,41497,,41502,0,41485,294,1266,1677,2355,3051,540,1814,2298,3096,4561
q3-rate85,7.000,41484,,41473,0,41471,349,1249,1646,2428,3930,507,1781,2268,3276,4465
q3-rate85,8.000,41444,,41447,0,41453,291,1322,1751,2616,3802,555,1893,2419,3513,4730
q3-rate85,9.000,41502,,41500,0,41497,271,1264,1720,2740,5855,561,1848,2380,3744,6053
q3-rate85,10.000,41441,,41461,0,41456,236,1316,1744,2601,3994,479,1810,2263,3275,4448
q3-rate85,11.000,41500,,41516,0,41510,253,1304,1717,2606,3992,537,1814,2295,3407,5154
q3-rate85,12.000,41498,,41464,0,41473,246,1299,1687,2437,3808,590,1853,2393,3581,5402
q3-rate85,13.000,41445,,41450,0,41451,269,1312,1720,2457,3304,533,1820,2287,3110,4242
q3-rate85,14.000,41495,,41492,0,41485,273,1251,1691,2656,5304,587,1818,2290,3422,5289
q3-rate85,15.000,41456,,41457,0,41464,217,1277,1693,2567,4709,475,1843,2321,3549,7500
q3-rate85,16.000,41476,,41467,0,41484,296,1235,1675,2684,4178,632,1793,2239,3184,4542
q3-rate85,17.000,41509,,41518,0,41508,325,1257,1638,2381,3195,419,1742,2211,3090,4131
q3-rate85,18.000,41434,,41447,0,41455,284,1248,1698,2541,3541,493,1783,2274,3247,4448
q3-rate85,19.000,41508,,41477,0,41464,220,1245,1697,2495,4480,565,1854,2292,3184,4817
q3-rate85,20.000,41430,,41438,0,41442,332,1267,1606,2374,3555,375,1786,2266,3247,3885
q3-rate85,21.000,41515,,41520,0,41515,326,1277,1673,2382,3249,486,1814,2286,3242,4356
q3-rate85,22.000,41451,,41468,0,41462,296,1199,1632,2479,3339,517,1687,2135,2992,4231
q3-rate85,23.000,41495,,41475,0,41481,312,1261,1632,2335,2988,491,1784,2222,3049,3877
q3-rate85,24.000,41428,,41455,0,41450,402,1303,1741,2988,7948,628,1749,2303,3516,7266
q3-rate85,25.000,41496,,41464,0,41487,301,1295,1703,2430,3380,498,1862,2303,3180,3992
q3-rate85,26.000,41458,,41476,0,41460,240,1214,1560,2303,3238,568,1798,2246,3191,4424
q3-rate85,27.000,41493,,41484,0,41490,281,1254,1665,2366,3107,488,1840,2292,3177,4300
q3-rate85,28.000,41441,,41450,0,41459,295,1276,1667,2385,3132,693,1806,2275,3226,4182
q3-rate85,29.000,41501,,41519,0,41499,261,1180,1522,2202,2910,573,1699,2105,3034,4148
q3-rate85,30.000,41488,,41436,0,41453,248,1257,1653,2374,3291,598,1796,2271,3143,3996
q3-rate85,31.000,41502,,41530,0,41512,346,1217,1624,2348,3004,464,1792,2234,3152,3918
q3-rate85,32.000,41449,,41425,0,41434,269,1224,1601,2288,3058,357,1752,2178,3089,3953
q3-rate85,33.000,41495,,41508,0,41504,151,1226,1637,2239,2993,615,1723,2175,3105,4260
q3-rate85,34.000,41471,,41492,0,41498,334,1238,1648,2320,3109,442,1830,2328,3465,5628
q3-rate85,35.000,41501,,41497,0,41490,185,1284,1669,2533,3116,479,1808,2272,3194,4026
q3-rate85,36.000,41448,,41444,0,41437,358,1239,1678,2343,3234,571,1787,2257,3071,3975
q3-rate85,37.000,41482,,41490,0,41506,275,1257,1612,2206,3037,564,1802,2249,3083,3767
q3-rate85,38.000,41471,,41458,0,41449,264,1195,1539,2281,2975,589,1769,2181,3130,3715
q3-rate85,39.000,41475,,41507,0,41499,346,1311,1719,3030,5507,534,1832,2340,3403,5321
