Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分13秒   999     92127   20.00    9.00    0.00    0.00   29.00     1    182.00      0.00 2670252  118148   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分14秒   999     92127   45.00   14.00    0.00    0.00   59.00     1    187.00      0.00 2669740  118660   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分15秒   999     92127   41.00   14.00    0.00    0.00   55.00     1     33.00      0.00 2668788  117676   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分16秒   999     92127   42.00   13.00    0.00    0.00   55.00     1     57.00      0.00 2668788  117676   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分17秒   999     92127   40.00   15.00    0.00    0.00   55.00     1     37.00      0.00 2668788  117676   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分18秒   999     92127   41.00   14.00    0.00    0.00   55.00     1    178.00      0.00 2669300  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分19秒   999     92127   45.00    9.00    0.00    0.00   54.00     1      0.00      0.00 2669300  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分20秒   999     92127   43.00   10.00    0.00    0.00   53.00     1      1.00      0.00 2669300  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分21秒   999     92127   45.00    9.00    0.00    0.00   54.00     1      9.00      0.00 2669300  118316   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分22秒   999     92127   45.00    9.00    0.00    0.00   54.00     1      1.00      0.00 2669300  118316   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分23秒   999     92127   42.00   13.00    0.00    0.00   55.00     1    190.00      0.00 2669812  118828   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分24秒   999     92127   43.00   12.00    0.00    0.00   55.00     1     78.00      0.00 2669812  118828   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分25秒   999     92127   44.00   10.00    0.00    0.00   54.00     1     29.00      0.00 2669812  118828   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分26秒   999     92127   44.00   10.00    0.00    0.00   54.00     1     11.00      0.00 2669812  118828   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分27秒   999     92127   48.00    7.00    0.00    0.00   55.00     1     22.00      0.00 2669812  118828   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分28秒   999     92127   44.00   11.00    0.00    0.00   55.00     1     25.00      0.00 2669812  118956   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时03分29秒   999     92127   43.00   12.00    0.00    0.00   55.00     1      4.00      0.00 2669812  118956   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
