Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分25秒   999     94179   14.00    4.00    0.00    0.00   18.00     1     49.00      0.00 2671856  114924   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分26秒   999     94179   55.00   12.00    0.00    0.00   67.00     1     98.00      0.00 2670392  114644   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分27秒   999     94179   38.00   15.00    0.00    0.00   53.00     1      1.00      0.00 2670392  114644   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分28秒   999     94179   43.00   11.00    0.00    0.00   54.00     1      0.00      0.00 2670392  114644   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分29秒   999     94179   43.00   12.00    0.00    0.00   55.00     1      0.00      0.00 2670392  114644   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分30秒   999     94179   42.00   12.00    0.00    0.00   54.00     1     73.00      0.00 2671416  114644   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分31秒   999     94179   44.00   10.00    0.00    0.00   54.00     1     31.00      0.00 2671672  114772   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分32秒   999     94179   45.00   10.00    0.00    0.00   55.00     1      6.00      0.00 2671416  114772   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分33秒   999     94179   44.00   10.00    0.00    0.00   54.00     1     20.00      0.00 2671160  114772   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分34秒   999     94179   43.00   11.00    0.00    0.00   54.00     1     18.00      0.00 2671416  114772   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分35秒   999     94179   44.00   11.00    0.00    0.00   55.00     1    113.00      0.00 2670392  114724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分36秒   999     94179   40.00   14.00    0.00    0.00   54.00     1      1.00      0.00 2670392  114724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分37秒   999     94179   39.00   15.00    0.00    0.00   54.00     1      1.00      0.00 2670648  114724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分38秒   999     94179   43.00   11.00    0.00    0.00   54.00     1      0.00      0.00 2670648  114724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分39秒   999     94179   43.00   11.00    0.00    0.00   54.00     1      0.00      0.00 2670648  114724   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分40秒   999     94179   43.00   11.00    0.00    0.00   54.00     1    101.00      0.00 2671416  114852   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时11分41秒   999     94179   41.00   13.00    0.00    0.00   54.00     1      0.00      0.00 2670904  114852   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
