id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,36251,,35796,0,35631,975,17051,19538,26575,28415,97,3483,6915,11287,14509
warmup,2.000,56069,,56047,0,56419,2698,5603,7400,24329,27979,220,7728,8839,10322,12719
warmup,3.000,62244,,62259,0,62247,2197,5331,6291,10343,13028,2461,7858,8614,9800,10635
warmup,4.000,64002,,63965,0,63893,2207,5067,5816,7516,9703,2615,7437,8348,9535,10278
warmup,5.000,64950,,64981,0,65116,2240,5636,6736,8294,9196,2026,7455,8183,9251,10184
warmup,6.000,62848,,62817,0,62722,2461,5142,6008,7304,8461,3035,7651,8452,9703,10252
warmup,7.000,63275,,63275,0,63288,2806,4934,5637,6905,7668,1184,7739,8446,9439,10411
warmup,8.000,63493,,63504,0,63548,2415,5185,5914,8281,12225,1308,7639,8411,9518,10318
warmup,9.000,62312,,62326,0,62289,2013,5449,6398,8117,9561,2849,7787,8607,9644,10868
warmup,10.000,62806,,62781,0,62811,2278,5228,5950,8339,13361,2130,7665,8518,9546,10371
warmup,11.000,62808,,62808,0,62734,2795,5423,6200,7782,8467,3617,7631,8481,9441,10415
warmup,12.000,63294,,63294,0,63391,2578,4857,5529,6541,8710,1950,7704,8429,9380,10029
warmup,13.000,63885,,63894,0,63742,2256,5002,5846,7184,8513,3216,7602,8329,9325,9947
warmup,14.000,63416,,63471,0,63563,2662,5016,5845,7658,8975,2132,7659,8365,9374,10280
warmup,15.000,61212,,61165,0,61207,2847,5162,6039,8602,11563,3326,7796,8624,9691,16728
warmup,16.000,63820,,63804,0,63742,2575,5221,6025,7093,7767,4200,7596,8374,9600,10375
warmup,17.000,62338,,62337,0,62262,2415,5289,6078,7386,8496,2712,7822,8670,9620,10162
warmup,18.000,63148,,63202,0,63320,2986,5154,5915,7883,9247,3376,7674,8409,9404,10294
warmup,19.000,60069,,60015,0,60023,3299,5270,5908,6974,8489,3278,8229,9021,9957,10711
warmup,20.000,61529,,61529,0,61562,2597,5336,6077,7420,8879,3214,7831,8593,9853,10586
warmup,21.000,64021,,64021,0,63989,2950,5214,6013,7345,8405,3157,7567,8288,9404,10262
warmup,22.000,63934,,63934,0,63923,2511,5348,6057,7353,8305,3203,7536,8268,9220,9871
warmup,23.000,63774,,63774,0,63607,1796,5189,5931,7475,8992,3446,7632,8380,9322,10207
warmup,24.000,61155,,61202,0,61272,2866,5300,6197,7583,9119,3596,7981,8703,9625,10518
warmup,25.000,61235,,61189,0,61272,2170,5027,5611,6766,7709,3753,8000,8857,9704,10430
warmup,26.000,62475,,62526,0,62337,2819,5341,6326,8125,9195,3499,7780,8572,9710,10777
