id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,36381,,35881,0,35507,310,10303,15927,20551,23044,96,2301,6082,9911,12004
warmup,2.000,58340,,58350,0,58763,196,4932,6457,13081,30883,114,6788,7588,8857,9888
warmup,3.000,64986,,64982,0,65070,2056,4841,5462,6587,7788,1997,7447,8025,9048,9699
warmup,4.000,65325,,65322,0,65369,2087,4713,5270,6335,8169,2964,7459,8000,8905,9652
warmup,5.000,65510,,65581,0,65588,2429,4728,5368,6343,7224,3981,7489,8007,8674,9264
warmup,6.000,65466,,65420,0,65439,2107,4756,5387,6449,7423,1739,7366,8012,8773,9513
warmup,7.000,65121,,65093,0,64934,2076,4874,5563,6857,8215,485,7488,8066,8991,9636
warmup,8.000,64924,,64931,0,65030,2737,5003,5666,7390,8868,2880,7550,8104,8911,9553
warmup,9.000,64913,,64906,0,65016,2740,4997,5572,6598,7555,2016,7568,8142,9164,9857
warmup,10.000,65124,,65124,0,65061,2961,4900,5445,6676,7626,908,7522,8156,8975,9683
warmup,11.000,62565,,62565,0,62536,3026,4844,5471,6454,7293,384,7830,8499,9505,10143
warmup,12.000,64297,,64297,0,64350,2470,5049,5842,7664,8731,3667,7601,8221,9099,9899
warmup,13.000,64901,,64928,0,64799,2296,4837,5375,6507,9245,3322,7488,8052,8903,9581
warmup,14.000,63813,,63794,0,63922,2628,5158,5790,7112,9178,3296,7741,8384,9399,10075
warmup,15.000,62091,,62083,0,62036,2344,4932,5560,7314,8650,5356,7875,8471,9521,10157
warmup,16.000,63276,,63279,0,63286,2928,4874,5527,6350,7086,4627,7731,8347,9288,10054
warmup,17.000,63878,,63980,0,63821,2283,5025,5722,7176,8124,3698,7650,8308,9115,10083
warmup,18.000,61769,,61664,0,61822,2247,4937,5456,6399,7320,2325,7841,8662,9549,10418
warmup,19.000,63363,,63546,0,63442,2924,5064,5828,7089,7991,4084,7666,8366,9397,10084
warmup,20.000,62805,,62622,0,62791,2688,4934,5612,6821,7752,4778,7770,8487,9493,10429
warmup,21.000,62256,,62258,0,62200,2604,4916,5427,6453,7284,2846,7796,8581,9522,10108
warmup,22.000,63490,,63488,0,63529,2147,4858,5389,6263,7081,3677,7658,8311,9251,9908
warmup,23.000,62521,,62664,0,62447,2882,5037,5530,6566,7530,2416,7802,8564,9515,10075
warmup,24.000,63073,,62929,0,63098,2711,4931,5395,6193,7043,3871,7780,8440,9418,9984
warmup,25.000,60383,,60383,0,60392,2787,5047,5602,6694,7469,5249,8059,8879,9712,10423
warmup,26.000,62129,,62129,0,62172,2371,4927,5454,6384,6993,3957,7884,8550,9474,10131
warmup,27.000,61758,,61758,0,61598,2549,4975,5611,6716,7584,3625,7843,8688,9775,10556
warmup,28.000,61720,,61720,0,61884,2236,5092,5821,7100,8036,3002,7977,8646,9666,10262
warmup,29.000,62386,,62387,0,62398,2948,4992,5537,6684,7717,3538,7834,8491,9543,10080
warmup,30.000,63338,,63344,0,63264,2565,5041,5818,7626,8623,2313,7663,8381,9429,9957
warmup,31.000,63040,,63033,0,63011,2324,4942,5524,6606,7736,3542,7807,8462,9420,9935
warmup,32.000,62182,,62274,0,62201,679,4924,5575,7527,9317,295,7593,8478,9501,10294
warmup,33.000,61514,,61460,0,61608,2557,5092,5666,7105,8291,3649,7941,8734,9687,10394
warmup,34.000,64179,,64156,0,64113,2226,4820,5463,6411,7201,3977,7633,8232,9229,10000
warmup,35.000,64508,,64493,0,64537,2375,4917,5418,6388,7307,3638,7570,8113,8985,9768
warmup,36.000,63626,,63699,0,63702,3006,4892,5527,6651,7587,2961,7681,8289,9186,9616
warmup,37.000,64233,,64198,0,64110,2353,4904,5503,6492,7202,3583,7630,8298,9074,9520
warmup,38.000,64311,,64282,0,64354,2274,4820,5363,6172,6981,4064,7571,8176,9250,9943
warmup,39.000,63465,,63456,0,63456,2824,5137,5820,7116,7964,3565,7652,8286,9188,9845
warmup,40.000,65001,,65013,0,65035,2681,5004,5591,6668,7827,4007,7503,8119,8901,9851
warmup,41.000,65098,,65089,0,65036,2773,4926,5561,6956,8096,3528,7497,8099,8931,9720
warmup,42.000,64699,,64696,0,64701,2517,4759,5269,6036,6590,4778,7469,8146,8904,9469
warmup,43.000,65535,,65540,0,65536,1805,4770,5389,6220,7120,3709,7441,7962,9000,9733
warmup,44.000,65423,,65418,0,65351,2887,4735,5326,6339,7153,1989,7408,8045,8753,9291
warmup,45.000,65320,,65328,0,65408,2531,4835,5391,6347,7409,3422,7444,8007,8867,9485
warmup,46.000,64720,,64712,0,64711,2976,4752,5250,6070,6939,4807,7529,8088,8883,9569
warmup,47.000,65714,,65724,0,65645,2442,4894,5449,6384,7308,3451,7381,7945,8703,9317
warmup,48.000,64358,,64363,0,64534,3079,4785,5376,6276,7246,4143,7579,8158,9090,10093
warmup,49.000,62333,,62371,0,62293,2669,4816,5338,6364,7304,3562,7862,8375,9317,10029
warmup,50.000,62522,,62469,0,62519,2174,4911,5442,6327,7138,4187,7738,8527,9549,10003
warmup,51.000,63259,,63265,0,63276,2402,4911,5366,6235,6829,3504,7702,8327,9464,10069
warmup,52.000,63175,,63173,0,63147,2863,4864,5455,6401,7152,4087,7729,8369,9240,9973
warmup,53.000,61475,,61471,0,61463,3153,5089,5596,6530,7161,4301,7946,8615,9605,10120
warmup,54.000,62769,,62769,0,62766,2364,5132,5695,6690,7768,3775,7750,8490,9562,10453
warmup,55.000,61780,,61780,0,61773,2624,5153,5669,6727,7982,3532,7974,8822,9698,10136
warmup,56.000,62211,,62211,0,62171,3146,5096,5703,7024,7951,4776,7888,8574,9509,10188
warmup,57.000,62569,,62569,0,62634,2929,5046,5676,6723,8070,4070,7827,8621,9593,10437
warmup,58.000,62205,,62205,0,62207,2951,4929,5421,6427,7320,4582,7648,8513,9467,10203
warmup,59.000,60701,,60710,0,60638,2931,4927,5406,6249,7380,3999,7938,8860,9904,10354
warmup,60.000,66120,,66127,0,66147,2780,4856,5488,6728,7350,4156,7416,7936,8686,9247
