Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分41秒   999     64698    2.00    2.00    0.00    0.00    4.00     3     99.00      0.00 2669904  114484   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分42秒   999     64698  222.00   77.00    0.00    0.00  299.00     3  28728.00      0.00 2714464  145736   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分43秒   999     64698  229.00  115.00    0.00    0.00  344.00     3  17808.00      0.00 2715436  145540   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分44秒   999     64698  207.00  126.00    0.00    0.00  333.00     3   6588.00      0.00 2713536  144968   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分45秒   999     64698  226.00  101.00    0.00    0.00  327.00     3   6465.00      0.00 2715488  145992   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分46秒   999     64698  233.00  102.00    0.00    0.00  335.00     3   5146.00      0.00 2716528  147876   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分47秒   999     64698  222.00  113.00    0.00    0.00  335.00     3   3575.00      0.00 2716528  147792   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分48秒   999     64698  237.00  102.00    0.00    0.00  339.00     3   4267.00      0.00 2715136  146732   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分49秒   999     64698  230.00  103.00    0.00    0.00  333.00     3   2125.00      0.00 2715136  146132   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分50秒   999     64698  221.00  110.00    0.00    0.00  331.00     3   3822.00      0.00 2715792  147080   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分51秒   999     64698  222.00  108.00    0.00    0.00  330.00     3   2480.00      0.00 2714480  146340   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分52秒   999     64698  225.00  109.00    0.00    0.00  334.00     3   3215.00      0.00 2716016  146964   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分53秒   999     64698  225.00  105.00    0.00    0.00  330.00     3   3455.00      0.00 2713968  146024   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分54秒   999     64698  226.00  103.00    0.00    0.00  329.00     3   2854.00      0.00 2715872  146976   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分55秒   999     64698  223.00  105.00    0.00    0.00  328.00     3   2341.00      0.00 2714608  146616   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分56秒   999     64698  219.00  104.00    0.00    0.00  323.00     3   2070.00      0.00 2716144  147468   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时05分57秒   999     64698  227.00  100.00    0.00    0.00  327.00     3   2136.00      0.00 2714096  146804   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
