Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分06秒   999     94344    2.00    0.00    0.00    0.00    2.00     3     15.00      0.00 2667588  117800   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分07秒   999     94344   42.00   11.00    0.00    0.00   53.00     3    338.00      0.00 2670224  118568   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分08秒   999     94344   51.00    8.00    0.00    0.00   59.00     3     89.00      0.00 2669200  118560   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分09秒   999     94344   39.00   16.00    0.00    0.00   55.00     3      0.00      0.00 2668176  117848   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分10秒   999     94344   44.00   10.00    0.00    0.00   54.00     3     22.00      0.00 2668688  117848   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分11秒   999     94344   45.00   11.00    0.00    0.00   56.00     3     93.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分12秒   999     94344   47.00    7.00    0.00    0.00   54.00     3     21.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分13秒   999     94344   41.00   14.00    0.00    0.00   55.00     3      2.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分14秒   999     94344   45.00    9.00    0.00    0.00   54.00     3     11.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分15秒   999     94344   43.00   12.00    0.00    0.00   55.00     3      0.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分16秒   999     94344   36.00   18.00    0.00    0.00   54.00     3      3.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分17秒   999     94344   34.00   21.00    0.00    0.00   55.00     3      0.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分18秒   999     94344   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分19秒   999     94344   45.00   10.00    0.00    0.00   55.00     3      0.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分20秒   999     94344   44.00   11.00    0.00    0.00   55.00     3      0.00      0.00 2667844  117896   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分21秒   999     94344   43.00   11.00    0.00    0.00   54.00     3     93.00      0.00 2668356  117548   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时44分22秒   999     94344   43.00   13.00    0.00    0.00   56.00     3      0.00      0.00 2667844  117548   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
