id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-fill,1.001,52891,,52402,0,,,,,,,240,2182,5557,8345,11477
q5-fill,2.001,60545,,60534,0,,,,,,,388,6375,8048,11436,12753
q5-fill,3.001,61537,,61537,0,,,,,,,313,6405,7956,10899,12983
q5-fill,4.001,62342,,62383,0,,,,,,,526,6481,7888,10767,12324
q5-fill,5.001,62428,,62387,0,,,,,,,470,6507,7768,10598,13230
q5-fill,6.001,62435,,62476,0,,,,,,,453,6536,7984,11360,12636
q5-fill,7.001,61383,,61365,0,,,,,,,337,6745,8321,11398,12741
q5-fill,8.001,60184,,60408,0,,,,,,,325,6792,8214,11886,13319
q5-fill,9.001,61108,,60874,0,,,,,,,353,6623,8072,11157,12581
q5-fill,10.001,61462,,61449,0,,,,,,,434,6582,8023,11676,12776
q5-fill,11.001,62776,,62784,0,,,,,,,370,6591,8044,11287,12928
q5-fill,12.001,62180,,62172,0,,,,,,,478,6488,7978,11662,13299
q5-fill,13.001,62011,,62049,0,,,,,,,269,6507,7982,11853,13072
q5-fill,14.001,61352,,61353,0,,,,,,,249,6452,7955,11028,12539
q5-fill,15.001,61831,,61792,0,,,,,,,551,6608,7871,11377,13044
q5-fill,16.001,62617,,62638,0,,,,,,,500,6542,7676,11072,12654
