id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,31592,,31318,0,30865,231,9737,19097,25780,29071,87,2422,5843,11681,15313
warmup,2.000,57904,,57757,0,58345,3350,7435,10174,19413,31137,238,7188,8191,9533,12105
warmup,3.000,62554,,62512,0,62329,2907,6967,8175,9861,11127,2299,7650,8565,9732,10666
warmup,4.000,64788,,64751,0,64985,2928,6105,7217,9741,11105,2093,7315,8111,9418,10442
warmup,5.000,61673,,61674,0,61534,1806,6535,7871,12271,35396,1849,7696,8437,10337,16737
warmup,6.000,62976,,62988,0,62981,2926,6714,7825,9729,11602,895,7698,8549,9619,10521
warmup,7.000,63455,,63443,0,63498,2669,6249,7400,8816,9637,2798,7666,8344,9491,10246
warmup,8.000,64669,,64693,0,64567,2469,6300,7702,9684,11457,2249,7390,8060,9257,10629
warmup,9.000,63614,,63589,0,63611,2516,6037,7070,9543,12063,487,7539,8342,9620,10708
warmup,10.000,63840,,63937,0,64067,3503,6364,7543,10093,11508,877,7608,8358,9536,10621
warmup,11.000,65594,,65498,0,65429,2231,6432,7523,9432,10529,2431,7347,8079,9473,10660
warmup,12.000,63818,,63838,0,63827,2108,5934,7034,9080,10398,2988,7607,8410,9373,10103
warmup,13.000,63862,,63842,0,63899,3280,7186,8467,10042,11182,1757,7504,8247,9427,10014
warmup,14.000,64022,,64021,0,64006,3042,7123,8300,10242,11316,3063,7588,8373,9462,10402
warmup,15.000,63202,,63209,0,63202,2639,6061,7111,9100,10927,3826,7686,8392,9512,10080
warmup,16.000,63847,,63846,0,63888,3363,6169,6894,8039,9243,3626,7581,8357,9453,10405
warmup,17.000,64015,,64009,0,63949,2712,5933,6917,8699,10901,1867,7619,8402,9277,10178
warmup,18.000,64065,,64065,0,64171,2584,6173,7157,8802,9786,3517,7628,8236,9278,9830
warmup,19.000,64561,,64562,0,64472,2268,6438,7837,9494,10714,3494,7575,8248,9292,10909
warmup,20.000,63675,,63680,0,63612,2551,6230,7267,9553,24670,3122,7317,8052,9325,10701
warmup,21.000,65293,,65287,0,65158,2840,5759,6726,8499,9417,2837,7441,8095,9046,9658
warmup,22.000,65645,,65645,0,65843,3207,6113,7289,9192,10452,3382,7283,7966,9091,9899
warmup,23.000,65170,,65176,0,65018,3354,7538,8490,10224,11064,2354,7445,8223,9411,10474
warmup,24.000,65834,,65834,0,66048,2673,5694,6429,7843,8676,1059,7348,8076,9140,9884
warmup,25.000,63850,,63844,0,63861,2869,5912,6951,8544,9482,2166,7614,8290,9402,10399
warmup,26.000,64488,,64489,0,64493,2723,6378,7775,9485,11529,3309,7429,8238,9379,10132
warmup,27.000,63637,,63641,0,63558,2945,6123,7491,8891,9844,3162,7669,8346,9531,10385
warmup,28.000,64302,,64297,0,64203,3049,6772,7904,9406,11214,3951,7521,8235,9321,10088
warmup,29.000,63806,,63819,0,63721,2583,6822,8018,10365,11835,2721,7611,8397,9645,10980
warmup,30.000,63265,,63255,0,63405,2276,6568,7868,10025,10967,2474,7686,8381,9423,10397
warmup,31.000,63218,,63224,0,63285,3014,6343,7362,9141,10552,3137,7637,8339,9499,10502
warmup,32.000,62718,,62709,0,62743,952,6663,8059,9868,11769,176,7671,8509,9895,10834
warmup,33.000,63454,,63531,0,63267,3289,6124,7214,9770,11946,3210,7529,8462,9602,11161
warmup,34.000,61783,,61743,0,62019,2987,6572,7561,9468,11010,4000,7736,8556,9769,10598
warmup,35.000,62600,,62569,0,62603,2930,6539,7939,9929,11231,2796,7657,8388,9487,11114
warmup,36.000,63955,,64017,0,63874,3213,6611,7794,9813,10849,2883,7563,8420,9580,10380
warmup,37.000,64743,,64675,0,64691,2736,6017,7255,9544,11035,3588,7551,8165,9050,9757
warmup,38.000,63955,,63955,0,64002,2312,5995,7181,9007,10063,3879,7690,8372,9391,10068
warmup,39.000,63616,,63616,0,63577,3350,6165,7310,9818,10884,3613,7650,8214,9376,10277
warmup,40.000,63645,,63658,0,63715,3191,6239,7409,9146,9747,3437,7626,8299,9612,10437
warmup,41.000,64889,,64889,0,64932,3287,6445,7315,8525,10553,3773,7441,8123,9052,9712
warmup,42.000,65171,,65160,0,65179,2664,5758,6523,7676,8521,3466,7422,8065,9247,10048
warmup,43.000,63695,,63701,0,63693,2552,6222,7231,9295,10553,3142,7592,8339,9725,10776
warmup,44.000,64742,,64734,0,64554,2948,6731,8041,9618,10592,3710,7396,8155,9308,10432
warmup,45.000,64168,,64168,0,64365,2663,7144,8294,10017,11252,3374,7543,8265,9475,10256
warmup,46.000,64884,,64884,0,64804,3210,6453,7606,9546,10463,3649,7446,8136,9246,10001
warmup,47.000,65750,,65768,0,65658,3075,6347,7415,9293,10180,2739,7450,8206,9270,9694
warmup,48.000,65177,,65279,0,65429,2818,6296,7594,9119,9780,2255,7498,8106,9183,10187
warmup,49.000,65282,,65162,0,64929,3073,6169,7401,9255,10309,3030,7395,8118,9220,9945
warmup,50.000,62916,,62946,0,62972,2798,6447,7978,9936,10886,3355,7685,8480,9857,10787
warmup,51.000,62514,,62484,0,62786,3763,7029,8917,29357,36675,3241,7554,8376,10548,15300
warmup,52.000,64724,,64739,0,64593,3141,6034,7121,9648,10931,1884,7468,8227,9412,10272
warmup,53.000,64069,,64054,0,63966,2508,6771,7877,9439,10918,4068,7485,8228,9457,10261
warmup,54.000,63457,,63457,0,63418,2492,6326,8129,9643,10655,3563,7599,8343,9587,10588
warmup,55.000,62294,,62294,0,62597,2859,5783,6496,7917,8806,2911,7843,8557,9675,10484
warmup,56.000,63006,,63006,0,62876,3120,5864,6968,8478,9009,3310,7578,8338,9560,10568
warmup,57.000,63653,,63653,0,63657,2923,6679,7837,9691,11126,3815,7559,8371,9492,10732
warmup,58.000,65639,,65639,0,65359,2781,6136,7119,8997,10410,2501,7335,8069,9279,10228
warmup,59.000,64279,,64296,0,64403,2914,6693,7795,9813,10533,2961,7476,8241,9525,10700
warmup,60.000,64285,,64268,0,64508,2382,6479,7628,9505,10859,3370,7586,8289,9423,10094
