id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,36201,,35711,0,35568,3177,21174,25715,29010,43684,114,4613,8002,12660,16452
warmup,2.000,57804,,57796,0,58039,142,5412,7365,15352,22083,128,7341,8299,9628,11243
warmup,3.000,63625,,63623,0,63753,2269,5078,5662,7539,9599,333,7577,8341,9526,10069
warmup,4.000,63300,,63302,0,63199,2330,4922,5540,7023,8362,1255,7727,8349,9399,10114
warmup,5.000,65385,,65383,0,65506,1007,4902,5604,6595,7212,1562,7429,8078,8988,9636
warmup,6.000,64277,,64301,0,64212,2836,5073,5910,7808,10153,486,7493,8269,9204,9823
warmup,7.000,60219,,60204,0,60287,2028,4848,5432,8477,32881,1003,7923,8607,9794,21293
warmup,8.000,62044,,62035,0,61891,463,5011,5797,7317,8407,556,7741,8563,9730,10312
warmup,9.000,62599,,62615,0,62768,2122,5018,5686,6846,7994,1750,7738,8505,9526,10453
warmup,10.000,64938,,64924,0,64778,1986,5004,5710,7196,8945,1662,7453,8167,9155,10070
warmup,11.000,63895,,63893,0,63971,2212,4963,5550,6406,7130,3669,7594,8272,9187,9826
warmup,12.000,62776,,62787,0,62742,2731,4941,5609,6644,7775,3536,7691,8431,9431,10236
warmup,13.000,63401,,63403,0,63468,2093,4859,5561,6473,7283,3510,7680,8300,9130,9731
warmup,14.000,63265,,63252,0,63282,2745,5046,5734,6898,8293,3860,7640,8359,9652,10763
warmup,15.000,60372,,60379,0,60282,2922,4983,5483,6683,7823,1349,8033,8967,10012,10755
warmup,16.000,64567,,64563,0,64626,2506,4771,5331,6142,7098,4395,7547,8235,9172,9815
warmup,17.000,64905,,64902,0,64875,2505,4855,5550,6502,7167,1778,7502,8113,9048,9525
warmup,18.000,64938,,64938,0,64999,2662,4769,5336,6341,7119,2651,7420,8145,9323,9746
warmup,19.000,63954,,63954,0,63889,2568,4973,5520,6548,7228,2965,7453,8166,9366,10375
warmup,20.000,59899,,59899,0,59907,3120,4985,5588,7156,7963,4205,8173,8994,9869,10306
warmup,21.000,62734,,62825,0,62643,2552,5109,5861,7036,8514,1448,7697,8590,9639,10252
warmup,22.000,60597,,60509,0,60661,2464,5192,5839,9772,32580,3234,7800,8769,10110,13398
warmup,23.000,62169,,62166,0,62243,2679,4941,5493,6731,7515,3325,7696,8638,9713,10513
warmup,24.000,63392,,63396,0,63318,2703,5028,5683,7302,8030,3554,7644,8389,9538,10356
warmup,25.000,64018,,64044,0,64075,2618,4908,5570,6816,7918,2426,7538,8225,9374,9912
warmup,26.000,65498,,65470,0,65509,2977,4813,5530,6748,8002,4152,7430,8040,9037,9733
warmup,27.000,64002,,64001,0,64015,2982,5029,5641,7032,8248,3590,7588,8244,9298,9817
warmup,28.000,63064,,63063,0,63060,1865,5010,5566,6635,7491,3668,7628,8330,9341,9845
warmup,29.000,64597,,64606,0,64466,2560,4878,5430,6653,7872,3987,7583,8142,9182,9973
warmup,30.000,65714,,65740,0,65845,2779,4860,5513,6510,7367,3981,7339,8015,8843,9647
warmup,31.000,65814,,65779,0,65763,2623,4793,5389,6238,7248,458,7366,7936,8710,9926
warmup,32.000,64864,,64864,0,64870,255,4690,5310,6655,7758,227,7388,8108,8931,9595
warmup,33.000,65744,,65744,0,65644,2721,4913,5516,6728,7889,4557,7353,8008,8825,9485
warmup,34.000,65581,,65587,0,65751,2179,4825,5330,6403,7070,2909,7381,8045,8924,9452
warmup,35.000,65197,,65195,0,65020,2725,4799,5471,6604,7302,3652,7516,8253,9113,9616
warmup,36.000,66025,,66045,0,66066,2511,4885,5498,6608,7520,3153,7416,7957,8753,9767
warmup,37.000,65078,,65064,0,65148,2084,4980,5603,6740,7677,2783,7457,8062,8952,9526
warmup,38.000,63369,,63359,0,63371,2910,4931,5628,15345,34081,4623,7546,8162,9157,14858
warmup,39.000,65634,,65676,0,65672,2486,4904,5542,6919,7784,4440,7348,8017,8925,9685
warmup,40.000,64513,,64471,0,64469,2984,4849,5511,6574,7398,4226,7506,8206,9215,9953
warmup,41.000,65984,,65999,0,66030,2630,4701,5374,6365,7223,2506,7391,8032,8830,9624
warmup,42.000,66033,,66036,0,66010,2421,4841,5491,6767,7364,3975,7439,8055,8773,9477
