Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分17秒   999     71824    9.00    5.00    0.00    0.00   14.00     3    361.00      0.00 2671652  120544   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分18秒   999     71824  266.00   88.00    0.00    0.00  354.00     3  21679.00      0.00 2714752  149124   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分19秒   999     71824  249.00  123.00    0.00    0.00  372.00     3   4392.00      0.00 2710220  147744   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分20秒   999     71824  256.00  111.00    0.00    0.00  367.00     3   2652.00      0.00 2708880  145680   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分21秒   999     71824  248.00  119.00    0.00    0.00  367.00     3   2903.00      0.00 2709616  146940   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分22秒   999     71824  250.00  111.00    0.00    0.00  361.00     3   1998.00      0.00 2711152  147268   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分23秒   999     71824  251.00  110.00    0.00    0.00  361.00     3   2472.00      0.00 2711152  147324   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分24秒   999     71824  247.00  115.00    0.00    0.00  362.00     3   1459.00      0.00 2711520  147948   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分25秒   999     71824  256.00  106.00    0.00    0.00  362.00     3   1387.00      0.00 2711008  147620   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分26秒   999     71824  250.00  113.00    0.00    0.00  363.00     3   1287.00      0.00 2711008  147404   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分27秒   999     71824  253.00  110.00    0.00    0.00  363.00     3   1301.00      0.00 2712032  148288   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分28秒   999     71824  249.00  113.00    0.00    0.00  362.00     3    941.00      0.00 2710496  146928   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分29秒   999     71824  251.00  112.00    0.00    0.00  363.00     3    834.00      0.00 2710432  146696   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分30秒   999     71824  257.00  108.00    0.00    0.00  365.00     3   1491.00      0.00 2711456  147832   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分31秒   999     71824  254.00  103.00    0.00    0.00  357.00     3   1132.00      0.00 2710688  147888   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分32秒   999     71824  252.00  114.00    0.00    0.00  366.00     3   1344.00      0.00 2712224  149452   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时23分33秒   999     71824  259.00  103.00    0.00    0.00  362.00     3    731.00      0.00 2712640  149664   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
