Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分06秒   999     85496   27.00   12.00    0.00    0.00   39.00     2    678.00      0.00 2673196  121760   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分07秒   999     85496  237.00   66.00    0.00    0.00  303.00     2  66956.00      0.00 2739856  171816   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分08秒   999     85496  268.00  107.00    0.00    0.00  375.00     2  28602.00      0.00 2728124  162760   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分09秒   999     85496  266.00  106.00    0.00    0.00  372.00     2   5240.00      0.00 2729000  162328   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分10秒   999     85496  271.00  104.00    0.00    0.00  375.00     2   3191.00      0.00 2727752  161748   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分11秒   999     85496  255.00  116.00    0.00    0.00  371.00     2   2457.00      0.00 2726648  161420   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分12秒   999     85496  258.00  110.00    0.00    0.00  368.00     2   2158.00      0.00 2727256  161356   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分13秒   999     85496  259.00  109.00    0.00    0.00  368.00     2   1283.00      0.00 2726808  160168   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分14秒   999     85496  257.00  112.00    0.00    0.00  369.00     2   1423.00      0.00 2724248  160196   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分15秒   999     85496  261.00  103.00    0.00    0.00  364.00     2   1526.00      0.00 2724168  159688   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分16秒   999     85496  264.00  104.00    0.00    0.00  368.00     2   1531.00      0.00 2723800  160204   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分17秒   999     85496  257.00  111.00    0.00    0.00  368.00     2   1733.00      0.00 2722340  159236   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分18秒   999     85496  261.00  109.00    0.00    0.00  370.00     2   1235.00      0.00 2723412  160204   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分19秒   999     85496  260.00  103.00    0.00    0.00  363.00     2    844.00      0.00 2720924  158524   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分20秒   999     85496  267.00   96.00    0.00    0.00  363.00     2    722.00      0.00 2721804  159628   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分21秒   999     85496  264.00  104.00    0.00    0.00  368.00     2    778.00      0.00 2719316  159584   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时56分22秒   999     85496  273.00   94.00    0.00    0.00  367.00     2   1069.00      0.00 2717724  157132   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
