Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分18秒   999     98207    3.00    1.00    0.00    0.00    4.00     2     34.00      0.00 2671736  117224   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分19秒   999     98207   56.00   17.00    0.00    0.00   73.00     2    552.00      0.00 2674788  119144   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分20秒   999     98207   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2673764  118580   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分21秒   999     98207   38.00   18.00    0.00    0.00   56.00     2      0.00      0.00 2672740  117812   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分22秒   999     98207   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2671640  117332   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分23秒   999     98207   43.00   14.00    0.00    0.00   57.00     2    209.00      0.00 2672520  117844   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分24秒   999     98207   43.00   12.00    0.00    0.00   55.00     2     27.00      0.00 2672156  117844   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分25秒   999     98207   43.00   11.00    0.00    0.00   54.00     2      3.00      0.00 2671568  117416   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分26秒   999     98207   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2671568  117416   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分27秒   999     98207   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2671568  117416   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分28秒   999     98207   39.00   16.00    0.00    0.00   55.00     2     12.00      0.00 2671568  117416   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分29秒   999     98207   38.00   15.00    0.00    0.00   53.00     2     13.00      0.00 2671568  117544   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分30秒   999     98207   44.00   11.00    0.00    0.00   55.00     2      1.00      0.00 2671568  117544   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分31秒   999     98207   43.00   12.00    0.00    0.00   55.00     2     18.00      0.00 2671568  117544   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分32秒   999     98207   44.00   10.00    0.00    0.00   54.00     2     13.00      0.00 2671568  117544   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分33秒   999     98207   42.00   12.00    0.00    0.00   54.00     2     68.00      0.00 2672080  117300   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时45分34秒   999     98207   46.00    8.00    0.00    0.00   54.00     2     37.00      0.00 2671568  117428   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
