Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分02秒   999    114408   49.00   13.00    0.00    0.00   62.00     3   3995.00      0.00 2691000  128936   0.40  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分03秒   999    114408  175.00   41.00    0.00    0.00  216.00     3  89821.00      0.00 2707700  143280   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分04秒   999    114408  174.00   39.00    0.00    0.00  213.00     3  97746.00      0.00 2719312  150020   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分05秒   999    114408  176.00   38.00    0.00    0.00  214.00     3  95800.00      0.00 2716956  149600   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分06秒   999    114408  174.00   41.00    0.00    0.00  215.00     3  96263.00      0.00 2718944  152876   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分07秒   999    114408  170.00   40.00    0.00    0.00  210.00     3  92773.00      0.00 2719044  151140   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分08秒   999    114408  176.00   37.00    0.00    0.00  213.00     3  87211.00      0.00 2723124  155652   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分09秒   999    114408  172.00   42.00    0.00    0.00  214.00     3  84372.00      0.00 2724876  152528   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分10秒   999    114408  172.00   39.00    0.00    0.00  211.00     3 101538.00      0.00 2719488  152808   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分11秒   999    114408  177.00   35.00    0.00    0.00  212.00     3  91238.00      0.00 2717464  149936   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分12秒   999    114408  179.00   39.00    0.00    0.00  218.00     3  97299.00      0.00 2725348  153144   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分13秒   999    114408  169.00   43.00    0.00    0.00  212.00     3  94981.00      0.00 2717264  151548   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分14秒   999    114408  173.00   42.00    0.00    0.00  215.00     3  97426.00      0.00 2716844  151524   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分15秒   999    114408  182.00   33.00    0.00    0.00  215.00     3  98298.00      0.00 2728016  155564   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时29分16秒   999    114408  168.00   43.00    0.00    0.00  211.00     3  97544.00      0.00 2717288  150624   0.46  beam.smp

