Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分46秒   999    115901   48.00   14.00    0.00    0.00   62.00     3    910.00      0.00 2676460  119328   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分47秒   999    115901  177.00   36.00    0.00    0.00  213.00     3  61747.00      0.00 2714132  151404   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分48秒   999    115901  176.00   40.00    0.00    0.00  216.00     3  90663.00      0.00 2720200  153648   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分49秒   999    115901  176.00   38.00    0.00    0.00  214.00     3  84466.00      0.00 2725848  157372   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分50秒   999    115901  165.00   44.00    0.00    0.00  209.00     3  85274.00      0.00 2718928  150900   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分51秒   999    115901  183.00   33.00    0.00    0.00  216.00     3  94566.00      0.00 2717280  152264   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分52秒   999    115901  174.00   41.00    0.00    0.00  215.00     3  88781.00      0.00 2718576  154140   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分53秒   999    115901  175.00   38.00    0.00    0.00  213.00     3  86848.00      0.00 2719188  150876   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分54秒   999    115901  175.00   38.00    0.00    0.00  213.00     3  88748.00      0.00 2724444  156532   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分55秒   999    115901  177.00   36.00    0.00    0.00  213.00     3  92159.00      0.00 2722908  155360   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分56秒   999    115901  174.00   41.00    0.00    0.00  215.00     3  84923.00      0.00 2722052  151208   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分57秒   999    115901  180.00   37.00    0.00    0.00  217.00     3  80889.00      0.00 2721728  152448   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分58秒   999    115901  178.00   36.00    0.00    0.00  214.00     3  80470.00      0.00 2725912  154344   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时31分59秒   999    115901  177.00   36.00    0.00    0.00  213.00     3  78151.00      0.00 2727756  153012   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时32分00秒   999    115901  183.00   31.00    0.00    0.00  214.00     3  78402.00      0.00 2726040  155140   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时32分01秒   999    115901  174.00   39.00    0.00    0.00  213.00     3  85252.00      0.00 2727236  152156   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10时32分02秒   999    115901  178.00   39.00    0.00    0.00  217.00     3  92893.00      0.00 2717040  153944   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
