Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时39分57秒   999     83088   32.00   11.00    0.00    0.00   43.00     0   1177.00      0.00 2681032  122520   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时39分58秒   999     83088  226.00   90.00    0.00    0.00  316.00     0  17327.00      0.00 2719604  151396   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时39分59秒   999     83088  224.00  112.00    0.00    0.00  336.00     0   9779.00      0.00 2719468  150516   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分00秒   999     83088  226.00  111.00    0.00    0.00  337.00     0   4879.00      0.00 2719100  151284   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分01秒   999     83088  213.00  119.00    0.00    0.00  332.00     0   4970.00      0.00 2718732  151156   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分02秒   999     83088  218.00  107.00    0.00    0.00  325.00     0   4556.00      0.00 2719244  152504   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分03秒   999     83088  228.00  101.00    0.00    0.00  329.00     0   2755.00      0.00 2720780  152332   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分04秒   999     83088  228.00  103.00    0.00    0.00  331.00     0   3787.00      0.00 2719900  151784   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分05秒   999     83088  223.00  103.00    0.00    0.00  326.00     0   3565.00      0.00 2721148  152508   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分06秒   999     83088  228.00  102.00    0.00    0.00  330.00     0   1658.00      0.00 2720272  152508   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分07秒   999     83088  227.00   98.00    0.00    0.00  325.00     0   1431.00      0.00 2718496  152072   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分08秒   999     83088  224.00  102.00    0.00    0.00  326.00     0   1483.00      0.00 2720544  152168   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分09秒   999     83088  231.00   98.00    0.00    0.00  329.00     0   1989.00      0.00 2719520  152768   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分10秒   999     83088  232.00   95.00    0.00    0.00  327.00     0   2290.00      0.00 2719520  152600   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分11秒   999     83088  217.00  111.00    0.00    0.00  328.00     0   1713.00      0.00 2720032  152396   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分12秒   999     83088  217.00  100.00    0.00    0.00  317.00     0   1437.00      0.00 2721568  153204   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时40分13秒   999     83088  218.00  106.00    0.00    0.00  324.00     0   1743.00      0.00 2721056  153780   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
