Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分21秒   999     92483    4.00    1.00    0.00    0.00    5.00     2    117.00      0.00 2671200  115092   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分22秒   999     92483  222.00   87.00    0.00    0.00  309.00     2  24843.00      0.00 2712104  141420   0.43  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分23秒   999     92483  234.00  102.00    0.00    0.00  336.00     2  11397.00      0.00 2713300  142720   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分24秒   999     92483  232.00   96.00    0.00    0.00  328.00     2   8459.00      0.00 2712328  142952   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分25秒   999     92483  224.00  101.00    0.00    0.00  325.00     2   5976.00      0.00 2713480  144488   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分26秒   999     92483  232.00   96.00    0.00    0.00  328.00     2   3806.00      0.00 2714616  145060   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分27秒   999     92483  216.00  110.00    0.00    0.00  326.00     2   4789.00      0.00 2713612  145024   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分28秒   999     92483  218.00  109.00    0.00    0.00  327.00     2   3346.00      0.00 2715592  145640   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分29秒   999     92483  225.00  100.00    0.00    0.00  325.00     2   4038.00      0.00 2713800  144624   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分30秒   999     92483  224.00  100.00    0.00    0.00  324.00     2   3963.00      0.00 2713800  144532   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分31秒   999     92483  222.00  101.00    0.00    0.00  323.00     2   3548.00      0.00 2713804  144664   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分32秒   999     92483  224.00  103.00    0.00    0.00  327.00     2   2836.00      0.00 2713804  144752   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分33秒   999     92483  213.00  112.00    0.00    0.00  325.00     2   3108.00      0.00 2713292  144756   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分34秒   999     92483  213.00  104.00    0.00    0.00  317.00     2   2570.00      0.00 2714076  145616   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分35秒   999     92483  213.00  111.00    0.00    0.00  324.00     2   1345.00      0.00 2714588  145324   0.44  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分36秒   999     92483  217.00  107.00    0.00    0.00  324.00     2   1646.00      0.00 2715008  146268   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时56分37秒   999     92483  224.00  100.00    0.00    0.00  324.00     2   1963.00      0.00 2716304  147020   0.45  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
